time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	distance	antenna	LoS
8.398948	7.0	3.0	80.0	-55.0	250875.994048	975.0	7.0	17.0	0.0	2537.0	17.0	10714.0	10	fan	1
9.019438	7.0	3.0	80.0	-54.0	5012.169386	975.0	115.0	1.0	0.0	7445.0	1.0	3351.0	10	fan	1
9.159868	7.0	3.0	80.0	-54.75	77632.932993	975.0	125.0	4.0	1.0	1508.0	3.0	460.0	10	fan	1
9.260702	7.0	3.0	80.0	-55.380952	646148.882644	975.0	11.0	21.0	1.0	1257.0	20.0	22731.0	10	fan	1
9.413379	7.0	3.0	80.0	-55.0	234128.273029	975.0	11.0	12.0	0.0	1745.0	12.0	22243.0	10	fan	1
9.649552	7.0	3.0	80.0	-54.769231	170883.400237	975.0	13.0	13.0	0.0	2362.0	12.0	10542.0	10	fan	1
10.325949	7.0	3.0	80.0	-54.666667	13758.205932	975.0	75.0	3.0	0.0	7200.0	3.0	3103.0	10	fan	1
10.487581	7.0	3.0	80.0	-55.0	268930.443802	975.0	14.0	14.0	0.0	2028.0	14.0	18401.0	10	fan	1
10.589908	7.0	3.0	80.0	-54.892857	833975.051815	975.0	0.0	28.0	1.0	1251.0	27.0	17608.0	10	fan	1
10.903768	7.0	3.0	80.0	-54.375	79156.458766	975.0	34.0	8.0	1.0	3828.0	7.0	7917.0	10	fan	1
11.008393	7.0	3.0	80.0	-55.052632	563742.775666	975.0	8.0	19.0	0.0	1309.0	19.0	13547.0	10	fan	1
11.112238	7.0	3.0	80.0	-54.846154	388406.990243	975.0	30.0	13.0	0.0	1256.0	13.0	9210.0	10	fan	1
11.336271	7.0	3.0	80.0	-55.066667	201095.391397	975.0	12.0	15.0	0.0	2712.0	15.0	15211.0	10	fan	1
11.477321	7.0	3.0	80.0	-55.090909	231633.477625	975.0	17.0	11.0	0.0	1473.0	11.0	10711.0	10	fan	1
11.598013	7.0	3.0	80.0	-55.25	90428.6959	975.0	24.0	4.0	1.0	1128.0	3.0	8293.0	10	fan	1
11.990046	7.0	3.0	80.0	-54.0	15866.006828	975.0	78.0	2.0	0.0	4029.0	2.0	3531.0	10	fan	1
12.092401	7.0	3.0	80.0	-54.85	606517.211108	975.0	4.0	20.0	3.0	1374.0	17.0	10043.0	10	fan	1
12.193328	7.0	3.0	80.0	-54.333333	446145.577853	975.0	11.0	15.0	4.0	1279.0	11.0	13557.0	10	fan	1
12.296868	9.0	2.0	80.0	-56.684211	1138839.006385	866.0	34.0	38.0	3.0	1353.0	31.0	21800.0	10	fan	1
12.400716	5.143541	2.980861	80.0	-53.550239	6006754.910233	788.177033	33.0	209.0	8.0	1323.0	14.0	5217.0	10	fan	1
13.212027	7.0	3.0	80.0	-54.933333	57410.741396	975.0	166.0	15.0	1.0	10593.0	14.0	10582.0	10	fan	1
13.463793	7.0	3.0	80.0	-55.0	73926.037817	975.0	25.0	6.0	0.0	3224.0	6.0	7315.0	10	fan	1
13.565798	7.0	3.0	80.0	-55.047619	624476.633192	975.0	1.0	21.0	1.0	1379.0	20.0	30065.0	10	fan	1
13.681986	7.0	3.0	80.0	-54.909091	293921.144408	975.0	0.0	11.0	3.0	1560.0	8.0	5617.0	10	fan	1
13.846144	7.0	3.0	80.0	-54.5	37890.286859	975.0	10.0	2.0	1.0	2041.0	1.0	154.0	10	fan	1
14.038528	7.0	3.0	80.0	-55.25	129199.507019	975.0	59.0	8.0	0.0	2483.0	8.0	4393.0	10	fan	1
14.251910	7.0	3.0	80.0	-55.076923	189359.909518	975.0	66.0	13.0	1.0	2797.0	12.0	4803.0	10	fan	1
14.907505	7.0	3.0	80.0	-55.0	71028.649963	975.0	142.0	15.0	2.0	8547.0	12.0	14680.0	10	fan	1
15.084292	7.0	3.0	80.0	-54.95	342592.773287	975.0	11.0	20.0	0.0	2305.0	20.0	22763.0	10	fan	1
15.185912	7.0	3.0	80.0	-54.823529	504429.696715	975.0	19.0	17.0	0.0	1329.0	17.0	17698.0	10	fan	1
15.294773	7.0	3.0	80.0	-54.8	285134.740955	975.0	2.0	10.0	1.0	1421.0	8.0	9858.0	10	fan	1
15.546069	7.0	3.0	80.0	-54.857143	86296.563365	975.0	48.0	7.0	1.0	3247.0	6.0	5378.0	10	fan	1
15.649266	7.0	3.0	80.0	-54.888889	270763.601031	975.0	0.0	9.0	0.0	1384.0	9.0	7175.0	10	fan	1
16.127519	7.0	3.0	80.0	-56.0	19483.431177	975.0	103.0	3.0	0.0	6036.0	3.0	1939.0	10	fan	1
16.228102	8.483871	2.258065	80.0	-55.83871	926729.650361	894.129032	37.0	31.0	3.0	1313.0	27.0	5382.0	10	fan	1
16.341903	8.944444	2.027778	80.0	-56.583333	954793.209362	869.027778	4.0	36.0	1.0	1530.0	31.0	17615.0	10	fan	1
17.011330	7.0	3.0	80.0	-55.4	23157.120236	975.0	190.0	5.0	1.0	12828.0	4.0	803.0	10	fan	1
17.382902	7.0	3.0	80.0	-53.0	8337.550753	975.0	33.0	1.0	0.0	4891.0	1.0	759.0	10	fan	1
17.592004	7.0	3.0	80.0	-55.25	59320.30759	975.0	6.0	4.0	0.0	2757.0	4.0	2790.0	10	fan	1
17.810024	7.0	3.0	80.0	-55.366667	413173.188665	975.0	20.0	30.0	4.0	2860.0	24.0	11026.0	10	fan	1
18.007656	7.0	3.0	80.0	-55.4	157059.573572	975.0	18.0	10.0	0.0	2602.0	10.0	10784.0	10	fan	1
18.114882	7.0	3.0	80.0	-55.543478	1274468.891557	975.0	5.0	46.0	0.0	1435.0	42.0	21870.0	10	fan	1
