time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	distance	antenna	LoS
8.166050	5.699301	2.891608	43.776224	-71.125874	8556536.286866	395.751748	52.0	286.0	79.0	549.0	76.0	24919.0	17	horizontal3	1
8.266970	4.161538	2.989423	77.192308	-72.299038	30979752.473197	572.365385	26.0	1040.0	63.0	1149.0	39.0	4268.0	17	horizontal3	1
8.367377	4.0	3.0	80.0	-72.356304	38257991.148015	585.0	0.0	1277.0	58.0	1286.0	8.0	67.0	17	horizontal3	1
8.468732	4.0	3.0	80.0	-72.406766	37670198.946472	585.0	0.0	1271.0	48.0	1280.0	6.0	57.0	17	horizontal3	1
8.569131	4.0	3.0	80.0	-72.458034	37669017.817909	585.0	0.0	1251.0	60.0	1275.0	8.0	85.0	17	horizontal3	1
8.669606	4.0	3.0	80.0	-72.451737	38892077.539834	585.0	0.0	1295.0	52.0	1295.0	7.0	52.0	17	horizontal3	1
8.769635	4.0	3.0	80.0	-72.544744	34589475.340153	585.0	1.0	1151.0	45.0	1190.0	8.0	84.0	17	horizontal3	1
8.869682	4.0	3.0	80.0	-72.423769	38623228.409502	585.0	1.0	1279.0	50.0	1277.0	6.0	49.0	17	horizontal3	1
8.969692	4.0	3.0	80.0	-72.464957	35321095.70237	585.0	0.0	1170.0	48.0	1196.0	7.0	75.0	17	horizontal3	1
9.070241	4.0	3.0	80.0	-72.47729	38835474.21663	585.0	1.0	1299.0	41.0	1306.0	5.0	47.0	17	horizontal3	1
9.171100	4.0	3.0	80.0	-72.549414	35641012.9932	585.0	0.0	1194.0	51.0	1217.0	6.0	74.0	17	horizontal3	1
9.271102	4.0	3.0	80.0	-72.494932	35518423.922437	585.0	0.0	1184.0	43.0	1185.0	9.0	49.0	17	horizontal3	1
9.371996	4.0	3.0	80.0	-72.535163	34753849.374276	585.0	0.0	1166.0	59.0	1205.0	6.0	94.0	17	horizontal3	1
9.472523	4.0	3.0	80.0	-72.556748	39134106.472828	585.0	1.0	1304.0	48.0	1302.0	6.0	47.0	17	horizontal3	1
9.572787	4.0	3.0	80.0	-72.559611	37041542.54652	585.0	2.0	1233.0	51.0	1271.0	9.0	89.0	17	horizontal3	1
9.673052	4.0	3.0	80.0	-72.533539	38989885.788449	585.0	0.0	1297.0	55.0	1296.0	6.0	54.0	17	horizontal3	1
9.773059	4.0	3.0	80.0	-72.447581	37428799.626027	585.0	1.0	1240.0	53.0	1256.0	8.0	71.0	17	horizontal3	1
9.874312	4.0	3.0	80.0	-72.460473	36438175.288758	585.0	0.0	1227.0	41.0	1245.0	9.0	66.0	17	horizontal3	1
9.974539	4.0	3.0	80.0	-72.591416	34819179.975357	585.0	0.0	1165.0	34.0	1203.0	6.0	64.0	17	horizontal3	1
10.074955	4.0	3.0	80.0	-72.552308	38932994.000599	585.0	1.0	1300.0	49.0	1300.0	7.0	49.0	17	horizontal3	1
10.175204	4.0	3.0	80.0	-72.557058	35638576.372992	585.0	0.0	1183.0	68.0	1203.0	10.0	89.0	17	horizontal3	1
10.275318	4.0	3.0	80.0	-72.584556	39092023.92022	585.0	7.0	1295.0	55.0	1296.0	7.0	56.0	17	horizontal3	1
10.375951	4.0	3.0	80.0	-72.548822	35400559.592179	585.0	0.0	1188.0	75.0	1210.0	9.0	97.0	17	horizontal3	1
10.476170	4.0	3.0	80.0	-72.544153	37832101.122606	585.0	0.0	1257.0	56.0	1256.0	7.0	56.0	17	horizontal3	1
10.576335	4.0	3.0	80.0	-72.520068	35175310.591139	585.0	0.0	1171.0	37.0	1217.0	7.0	83.0	17	horizontal3	1
10.676941	4.0	3.0	80.0	-72.52767	38546753.360518	585.0	0.0	1283.0	42.0	1303.0	7.0	62.0	17	horizontal3	1
10.777174	4.0	3.0	80.0	-72.623711	35117292.110422	585.0	1.0	1164.0	53.0	1194.0	8.0	84.0	17	horizontal3	1
10.877463	4.0	3.0	80.0	-72.581135	37575184.8153	585.0	1.0	1251.0	59.0	1250.0	7.0	58.0	17	horizontal3	1
10.980099	4.0	3.0	80.0	-72.559812	37618258.869798	585.0	1.0	1279.0	57.0	1286.0	8.0	83.0	17	horizontal3	1
11.080243	4.0	3.0	80.0	-72.520968	37244201.385475	585.0	0.0	1240.0	57.0	1270.0	8.0	68.0	17	horizontal3	1
11.186897	4.0	3.0	80.0	-72.567106	36364746.150405	585.0	0.0	1289.0	55.0	1288.0	7.0	54.0	17	horizontal3	1
11.286904	4.0	3.0	80.0	-72.641005	38467357.292554	585.0	1.0	1273.0	66.0	1313.0	8.0	115.0	17	horizontal3	1
11.387445	4.0	3.0	80.0	-72.662257	38438252.167163	585.0	1.0	1285.0	45.0	1292.0	6.0	44.0	17	horizontal3	1
11.488668	4.0	3.0	80.0	-72.661945	31158190.016033	585.0	0.0	1059.0	40.0	1102.0	9.0	84.0	17	horizontal3	1
11.589090	4.0	3.0	80.0	-72.608974	37449045.251523	585.0	0.0	1248.0	48.0	1248.0	7.0	48.0	17	horizontal3	1
11.689135	4.0	3.0	80.0	-72.612707	34552950.196374	585.0	1.0	1149.0	65.0	1156.0	7.0	72.0	17	horizontal3	1
11.789327	4.0	3.0	80.0	-72.612954	38120304.191909	585.0	0.0	1266.0	46.0	1272.0	7.0	53.0	17	horizontal3	1
11.889341	4.0	3.0	80.0	-72.556184	37227569.487213	585.0	0.0	1237.0	71.0	1254.0	7.0	88.0	17	horizontal3	1
11.989476	4.0	3.0	80.0	-72.621236	38123241.687901	585.0	0.0	1262.0	57.0	1266.0	8.0	61.0	17	horizontal3	1
12.089737	4.0	3.0	80.0	-72.643092	36487643.169483	585.0	7.0	1216.0	46.0	1239.0	7.0	69.0	17	horizontal3	1
12.190764	4.0	3.0	80.0	-72.598655	39953077.126998	585.0	0.0	1338.0	48.0	1337.0	5.0	47.0	17	horizontal3	1
12.291242	4.0	3.0	80.0	-72.569421	36103710.843235	585.0	0.0	1210.0	42.0	1248.0	8.0	81.0	17	horizontal3	1
12.391516	4.0	3.0	80.0	-72.623648	38877859.714015	585.0	2.0	1294.0	61.0	1292.0	8.0	59.0	17	horizontal3	1
12.491758	4.0	3.0	80.0	-72.487326	36726435.008788	585.0	1.0	1223.0	66.0	1236.0	8.0	80.0	17	horizontal3	1
12.592079	4.0	3.0	80.0	-72.578304	39337994.024543	585.0	0.0	1309.0	58.0	1309.0	7.0	58.0	17	horizontal3	1
12.692760	4.0	3.0	80.0	-72.502419	37239054.545611	585.0	0.0	1240.0	47.0	1263.0	6.0	69.0	17	horizontal3	1
12.793231	4.0	3.0	80.0	-72.485194	39511259.073832	585.0	1.0	1317.0	52.0	1316.0	8.0	53.0	17	horizontal3	1
12.893298	4.0	3.0	80.0	-72.572284	35225027.646513	585.0	0.0	1169.0	49.0	1206.0	6.0	86.0	17	horizontal3	1
12.993810	4.0	3.0	80.0	-72.613653	40078032.087721	585.0	1.0	1333.0	65.0	1332.0	7.0	64.0	17	horizontal3	1
13.094007	4.0	3.0	80.0	-72.673123	37266294.59369	585.0	0.0	1239.0	68.0	1262.0	9.0	92.0	17	horizontal3	1
13.195675	4.0	3.0	80.0	-72.505246	36729415.810156	585.0	0.0	1239.0	56.0	1239.0	6.0	56.0	17	horizontal3	1
13.296260	4.0	3.0	80.0	-72.657343	38542599.535537	585.0	0.0	1287.0	48.0	1297.0	7.0	58.0	17	horizontal3	1
13.396375	4.0	3.0	80.0	-72.680122	39558207.013821	585.0	9.0	1313.0	47.0	1319.0	7.0	54.0	17	horizontal3	1
13.496379	4.0	3.0	80.0	-72.5575	36312630.789395	585.0	1.0	1200.0	37.0	1222.0	5.0	60.0	17	horizontal3	1
13.596952	4.0	3.0	80.0	-72.625861	39404062.344623	585.0	0.0	1307.0	58.0	1308.0	7.0	58.0	17	horizontal3	1
13.697214	4.0	3.0	80.0	-72.732538	35205479.581852	585.0	1.0	1174.0	46.0	1201.0	7.0	73.0	17	horizontal3	1
13.797221	4.0	3.0	80.0	-72.640175	34173202.390767	585.0	0.0	1145.0	47.0	1138.0	7.0	50.0	17	horizontal3	1
13.901681	4.0	3.0	80.0	-72.619651	36428741.308791	585.0	0.0	1262.0	56.0	1281.0	9.0	90.0	17	horizontal3	1
14.002362	4.0	3.0	80.0	-72.729708	36709637.606086	585.0	1.0	1232.0	57.0	1255.0	7.0	56.0	17	horizontal3	1
14.102691	4.0	3.0	80.0	-72.659004	39286601.652772	585.0	2.0	1305.0	40.0	1321.0	6.0	57.0	17	horizontal3	1
14.203443	4.0	3.0	80.0	-72.570124	35926647.652723	585.0	0.0	1205.0	63.0	1252.0	9.0	110.0	17	horizontal3	1
14.303982	4.0	3.0	80.0	-72.814758	39051109.251011	585.0	0.0	1301.0	54.0	1314.0	8.0	67.0	17	horizontal3	1
14.404320	4.0	3.0	80.0	-72.762871	38527453.252434	585.0	0.0	1282.0	64.0	1286.0	6.0	69.0	17	horizontal3	1
14.504352	4.0	3.0	80.0	-72.69485	39173512.702373	585.0	0.0	1301.0	62.0	1301.0	6.0	62.0	17	horizontal3	1
14.604359	4.0	3.0	80.0	-72.761047	36797744.874138	585.0	10.0	1222.0	33.0	1231.0	6.0	49.0	17	horizontal3	1
14.704661	4.0	3.0	80.0	-72.728	37569568.280407	585.0	1.0	1250.0	53.0	1255.0	7.0	52.0	17	horizontal3	1
14.804674	4.0	3.0	80.0	-72.719342	36577286.180874	585.0	0.0	1215.0	51.0	1239.0	8.0	75.0	17	horizontal3	1
14.904691	4.0	3.0	80.0	-72.798425	38160108.699622	585.0	0.0	1270.0	41.0	1270.0	6.0	41.0	17	horizontal3	1
15.005444	4.0	3.0	80.0	-72.806854	38445169.869744	585.0	8.0	1284.0	68.0	1297.0	8.0	81.0	17	horizontal3	1
15.105676	4.0	3.0	80.0	-72.88872	39496003.096417	585.0	0.0	1312.0	53.0	1311.0	7.0	53.0	17	horizontal3	1
15.206298	4.0	3.0	80.0	-72.751244	36274555.354212	585.0	0.0	1206.0	59.0	1230.0	7.0	83.0	17	horizontal3	1
15.306323	4.0	3.0	80.0	-72.757599	38815441.734488	585.0	0.0	1283.0	54.0	1291.0	7.0	61.0	17	horizontal3	1
15.406848	4.0	3.0	80.0	-72.775662	36220558.744227	585.0	0.0	1208.0	40.0	1239.0	6.0	73.0	17	horizontal3	1
15.507270	4.0	3.0	80.0	-72.807165	39451500.087191	585.0	0.0	1312.0	45.0	1312.0	6.0	45.0	17	horizontal3	1
15.607533	4.0	3.0	80.0	-72.795816	36033719.406262	585.0	0.0	1195.0	49.0	1241.0	7.0	95.0	17	horizontal3	1
15.708308	4.0	3.0	80.0	-72.807662	38314196.85164	585.0	2.0	1279.0	58.0	1276.0	6.0	56.0	17	horizontal3	1
15.808471	4.0	3.0	80.0	-72.725523	35888695.813095	585.0	0.0	1195.0	47.0	1225.0	7.0	77.0	17	horizontal3	1
15.908962	4.0	3.0	80.0	-72.9125	33403735.304166	585.0	0.0	1120.0	40.0	1127.0	8.0	47.0	17	horizontal3	1
16.009094	4.0	3.0	80.0	-72.794665	37426091.50562	585.0	0.0	1237.0	40.0	1258.0	7.0	62.0	17	horizontal3	1
16.109452	4.0	3.0	80.0	-72.697981	38706636.542836	585.0	0.0	1288.0	47.0	1289.0	7.0	48.0	17	horizontal3	1
16.209905	4.0	3.0	80.0	-72.81072	35814088.647765	585.0	1.0	1194.0	42.0	1230.0	7.0	78.0	17	horizontal3	1
16.309929	4.0	3.0	80.0	-72.860896	38974920.808098	585.0	2.0	1294.0	61.0	1302.0	8.0	69.0	17	horizontal3	1
16.410923	4.0	3.0	80.0	-72.757372	35513486.503545	585.0	1.0	1187.0	71.0	1194.0	8.0	88.0	17	horizontal3	1
16.511072	4.0	3.0	80.0	-72.840157	38109724.163362	585.0	0.0	1270.0	61.0	1279.0	7.0	61.0	17	horizontal3	1
16.611417	4.0	3.0	80.0	-72.813262	39466377.595388	585.0	0.0	1312.0	46.0	1321.0	6.0	55.0	17	horizontal3	1
16.711642	4.0	3.0	80.0	-72.884304	37224382.908888	585.0	0.0	1236.0	73.0	1244.0	6.0	82.0	17	horizontal3	1
16.811726	4.0	3.0	80.0	-72.910938	38533757.846364	585.0	1.0	1280.0	62.0	1288.0	8.0	70.0	17	horizontal3	1
16.912217	4.0	3.0	80.0	-72.880498	36110772.08078	585.0	0.0	1205.0	43.0	1231.0	7.0	69.0	17	horizontal3	1
