time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.100224	5.0	3.0	80.0	-67.0	15924.4	780.0	2.0	1.0	0.0	1594.0	1.0	1063.0	0.0	11	horizontal	1
8.201805		Nan		Nan			0.0	0.0	0.0	1362.0	0.0	0.0	0.0	11	horizontal	1
8.301882		Nan		Nan			6.0	0.0	0.0	1361.0	0.0	0.0	0.0	11	horizontal	1
8.402118		Nan		Nan			0.0	0.0	0.0	1357.0	0.0	0.0	0.0	11	horizontal	1
8.502401		Nan		Nan			1.0	0.0	0.0	1373.0	0.0	0.0	0.0	11	horizontal	1
8.602623		Nan		Nan			2.0	0.0	0.0	1358.0	0.0	0.0	0.0	11	horizontal	1
8.702675		Nan		Nan			9.0	0.0	0.0	1318.0	0.0	0.0	0.0	11	horizontal	1
8.802713	5.0	3.0	80.0	-67.5	47042.1	780.0	2.0	2.0	0.0	1380.0	2.0	1443.0	0.0	11	horizontal	1
8.902984		Nan		Nan			6.0	0.0	0.0	1378.0	0.0	0.0	0.0	11	horizontal	1
9.004533	5.0	3.0	80.0	-67.0	15716.6	780.0	18.0	1.0	0.0	1355.0	1.0	3428.0	0.0	11	horizontal	1
9.104974		Nan		Nan			31.0	0.0	0.0	1387.0	0.0	0.0	0.0	11	horizontal	1
9.205187	5.0	3.0	80.0	-68.0	15926.0	780.0	20.0	1.0	0.0	1346.0	1.0	2381.0	0.0	11	horizontal	1
9.305500		Nan		Nan			44.0	0.0	0.0	1332.0	0.0	0.0	0.0	11	horizontal	1
9.405695		Nan		Nan			7.0	0.0	0.0	1373.0	0.0	0.0	0.0	11	horizontal	1
9.507595		Nan		Nan			4.0	0.0	0.0	1363.0	0.0	0.0	0.0	11	horizontal	1
9.608002		Nan		Nan			27.0	0.0	0.0	1406.0	0.0	0.0	0.0	11	horizontal	1
9.708226		Nan		Nan			2.0	0.0	0.0	1364.0	0.0	0.0	0.0	11	horizontal	1
9.809612	5.0	3.0	80.0	-68.0	30674.8	780.0	18.0	1.0	0.0	1318.0	1.0	1609.0	0.0	11	horizontal	1
9.911019		Nan		Nan			14.0	0.0	0.0	1238.0	0.0	0.0	0.0	11	horizontal	1
10.012350		Nan		Nan			4.0	0.0	0.0	1337.0	0.0	0.0	0.0	11	horizontal	1
10.112751	5.0	3.0	80.0	-66.0	30856.3	780.0	0.0	1.0	0.0	1356.0	1.0	1185.0	0.0	11	horizontal	1
10.214092		Nan		Nan			2.0	0.0	0.0	1369.0	0.0	0.0	0.0	11	horizontal	1
10.314492		Nan		Nan			1.0	0.0	0.0	1375.0	0.0	0.0	0.0	11	horizontal	1
10.414768	5.0	3.0	80.0	-68.0	31014.3	780.0	28.0	1.0	0.0	1392.0	1.0	190.0	0.0	11	horizontal	1
10.515013		Nan		Nan			58.0	0.0	0.0	1407.0	0.0	0.0	0.0	11	horizontal	1
10.615469		Nan		Nan			19.0	0.0	0.0	1423.0	0.0	0.0	0.0	11	horizontal	1
10.715470		Nan		Nan			0.0	0.0	0.0	1403.0	0.0	0.0	0.0	11	horizontal	1
10.815791		Nan		Nan			24.0	0.0	0.0	1447.0	0.0	0.0	0.0	11	horizontal	1
10.915932		Nan		Nan			58.0	0.0	0.0	1402.0	0.0	0.0	0.0	11	horizontal	1
11.016502		Nan		Nan			62.0	0.0	0.0	1425.0	0.0	0.0	0.0	11	horizontal	1
11.116503		Nan		Nan			9.0	0.0	0.0	1447.0	0.0	0.0	0.0	11	horizontal	1
11.216603		Nan		Nan			2.0	0.0	0.0	1435.0	0.0	0.0	0.0	11	horizontal	1
11.317859	5.0	3.0	80.0	-66.0	30595.6	780.0	0.0	1.0	0.0	1431.0	1.0	1379.0	0.0	11	horizontal	1
11.418109	5.0	3.0	80.0	-68.0	30902.8	780.0	2.0	1.0	0.0	1438.0	1.0	1079.0	0.0	11	horizontal	1
11.518318		Nan		Nan			1.0	0.0	0.0	1410.0	0.0	0.0	0.0	11	horizontal	1
11.619324		Nan		Nan			0.0	0.0	0.0	1430.0	0.0	0.0	0.0	11	horizontal	1
11.719377		Nan		Nan			1.0	0.0	0.0	1445.0	0.0	0.0	0.0	11	horizontal	1
11.819686		Nan		Nan			0.0	0.0	0.0	1451.0	0.0	0.0	0.0	11	horizontal	1
11.919825	5.0	3.0	80.0	-68.0	30936.8	780.0	20.0	1.0	0.0	1387.0	1.0	2432.0	0.0	11	horizontal	1
12.020088		Nan		Nan			27.0	0.0	0.0	1439.0	0.0	0.0	0.0	11	horizontal	1
12.121603	5.0	3.0	80.0	-67.0	30635.9	780.0	3.0	1.0	0.0	1390.0	1.0	2649.0	0.0	11	horizontal	1
12.222752	5.0	3.0	80.0	-65.0	30746.8	780.0	11.0	1.0	0.0	1299.0	1.0	1664.0	0.0	11	horizontal	1
12.323149	5.0	3.0	80.0	-67.0	30857.6	780.0	12.0	1.0	0.0	1410.0	1.0	1600.0	0.0	11	horizontal	1
12.423481		Nan		Nan			36.0	0.0	0.0	1390.0	0.0	0.0	0.0	11	horizontal	1
12.524544	5.0	3.0	80.0	-64.0	30654.3	780.0	0.0	1.0	0.0	1394.0	1.0	2753.0	0.0	11	horizontal	1
12.624967	5.0	3.0	80.0	-67.0	30968.9	780.0	8.0	1.0	0.0	1423.0	1.0	1344.0	0.0	11	horizontal	1
12.725438	5.0	3.0	80.0	-67.0	30834.6	780.0	0.0	1.0	0.0	1435.0	1.0	2352.0	0.0	11	horizontal	1
12.825740	5.0	3.0	80.0	-66.0	185560.0	780.0	1.0	6.0	0.0	1447.0	6.0	1133.0	0.0	11	horizontal	1
12.925893	5.0	3.0	80.0	-68.0	30932.7	780.0	0.0	1.0	0.0	1436.0	1.0	409.0	0.0	11	horizontal	1
13.026214	5.0	3.0	80.0	-68.0	30880.9	780.0	1.0	1.0	0.0	1447.0	1.0	1462.0	0.0	11	horizontal	1
13.126562		Nan		Nan			0.0	0.0	0.0	1443.0	0.0	0.0	0.0	11	horizontal	1
13.226951		Nan		Nan			0.0	0.0	0.0	1450.0	0.0	0.0	0.0	11	horizontal	1
13.327269	5.0	3.0	80.0	-68.0	31001.3	780.0	27.0	1.0	0.0	1360.0	1.0	589.0	0.0	11	horizontal	1
13.427597	5.0	3.0	80.0	-67.0	30998.3	780.0	1.0	1.0	0.0	1391.0	1.0	1436.0	0.0	11	horizontal	1
13.527729	5.0	3.0	80.0	-67.8	154935.0	780.0	0.0	5.0	0.0	1425.0	4.0	6350.0	0.0	11	horizontal	1
13.627887	5.0	3.0	80.0	-67.5	62101.9	780.0	3.0	2.0	0.0	1432.0	2.0	128.0	0.0	11	horizontal	1
13.728284	5.0	3.0	80.0	-66.2	139447.0	780.0	1.0	5.0	0.0	1446.0	5.0	2253.0	0.0	11	horizontal	1
13.828696	5.0	3.0	80.0	-68.0	15894.5	780.0	0.0	1.0	0.0	1436.0	1.0	1752.0	0.0	11	horizontal	1
13.930596		Nan		Nan			0.0	0.0	0.0	1433.0	0.0	0.0	0.0	11	horizontal	1
14.030781		Nan		Nan			20.0	0.0	0.0	1425.0	0.0	0.0	0.0	11	horizontal	1
14.130993		Nan		Nan			24.0	0.0	0.0	1461.0	0.0	0.0	0.0	11	horizontal	1
14.232267		Nan		Nan			0.0	0.0	0.0	1444.0	0.0	0.0	0.0	11	horizontal	1
14.332354		Nan		Nan			0.0	0.0	0.0	1476.0	0.0	0.0	0.0	11	horizontal	1
14.433693		Nan		Nan			2.0	0.0	0.0	1310.0	0.0	0.0	0.0	11	horizontal	1
14.534059		Nan		Nan			0.0	0.0	0.0	1427.0	0.0	0.0	0.0	11	horizontal	1
14.634110		Nan		Nan			12.0	0.0	0.0	1369.0	0.0	0.0	0.0	11	horizontal	1
14.734182		Nan		Nan			3.0	0.0	0.0	1449.0	0.0	0.0	0.0	11	horizontal	1
14.834188		Nan		Nan			0.0	0.0	0.0	1445.0	0.0	0.0	0.0	11	horizontal	1
14.935980		Nan		Nan			16.0	0.0	0.0	1430.0	0.0	0.0	0.0	11	horizontal	1
15.036603		Nan		Nan			59.0	0.0	0.0	1320.0	0.0	0.0	0.0	11	horizontal	1
15.137058		Nan		Nan			2.0	0.0	0.0	1413.0	0.0	0.0	0.0	11	horizontal	1
15.237163		Nan		Nan			33.0	0.0	0.0	1429.0	0.0	0.0	0.0	11	horizontal	1
15.337750		Nan		Nan			2.0	0.0	0.0	1401.0	0.0	0.0	0.0	11	horizontal	1
15.437933		Nan		Nan			9.0	0.0	0.0	1483.0	0.0	0.0	0.0	11	horizontal	1
15.537935		Nan		Nan			7.0	0.0	0.0	1428.0	0.0	0.0	0.0	11	horizontal	1
15.637942		Nan		Nan			3.0	0.0	0.0	1412.0	0.0	0.0	0.0	11	horizontal	1
15.738242		Nan		Nan			2.0	0.0	0.0	1427.0	0.0	0.0	0.0	11	horizontal	1
15.838416		Nan		Nan			1.0	0.0	0.0	1440.0	0.0	0.0	0.0	11	horizontal	1
15.938696		Nan		Nan			0.0	0.0	0.0	1453.0	0.0	0.0	0.0	11	horizontal	1
16.039086		Nan		Nan			17.0	0.0	0.0	1436.0	0.0	0.0	0.0	11	horizontal	1
16.139216		Nan		Nan			8.0	0.0	0.0	1451.0	0.0	0.0	0.0	11	horizontal	1
16.239449		Nan		Nan			1.0	0.0	0.0	1442.0	0.0	0.0	0.0	11	horizontal	1
16.339912		Nan		Nan			5.0	0.0	0.0	1443.0	0.0	0.0	0.0	11	horizontal	1
16.441719		Nan		Nan			25.0	0.0	0.0	1423.0	0.0	0.0	0.0	11	horizontal	1
16.542079		Nan		Nan			0.0	0.0	0.0	1454.0	0.0	0.0	0.0	11	horizontal	1
16.642298		Nan		Nan			2.0	0.0	0.0	1353.0	0.0	0.0	0.0	11	horizontal	1
16.742457		Nan		Nan			2.0	0.0	0.0	1369.0	0.0	0.0	0.0	11	horizontal	1
16.843971		Nan		Nan			3.0	0.0	0.0	1239.0	0.0	0.0	0.0	11	horizontal	1
16.944366		Nan		Nan			4.0	0.0	0.0	1449.0	0.0	0.0	0.0	11	horizontal	1
17.044672		Nan		Nan			1.0	0.0	0.0	1409.0	0.0	0.0	0.0	11	horizontal	1
17.144694		Nan		Nan			0.0	0.0	0.0	1333.0	0.0	0.0	0.0	11	horizontal	1
17.246434		Nan		Nan			3.0	0.0	0.0	1356.0	0.0	0.0	0.0	11	horizontal	1
17.346869		Nan		Nan			0.0	0.0	0.0	1409.0	0.0	0.0	0.0	11	horizontal	1
17.446913		Nan		Nan			3.0	0.0	0.0	1376.0	0.0	0.0	0.0	11	horizontal	1
17.546975		Nan		Nan			1.0	0.0	0.0	1377.0	0.0	0.0	0.0	11	horizontal	1
17.647088		Nan		Nan			0.0	0.0	0.0	1296.0	0.0	0.0	0.0	11	horizontal	1
17.748741		Nan		Nan			0.0	0.0	0.0	1309.0	0.0	0.0	0.0	11	horizontal	1
17.848751		Nan		Nan			1.0	0.0	0.0	1422.0	0.0	0.0	0.0	11	horizontal	1
17.950211		Nan		Nan			4.0	0.0	0.0	1409.0	0.0	0.0	0.0	11	horizontal	1
18.050622		Nan		Nan			1.0	0.0	0.0	1471.0	0.0	0.0	0.0	11	horizontal	1
18.151170		Nan		Nan			1.0	0.0	0.0	1410.0	0.0	0.0	0.0	11	horizontal	1
18.252226		Nan		Nan			0.0	0.0	0.0	1440.0	0.0	0.0	0.0	11	horizontal	1
18.352495		Nan		Nan			16.0	0.0	0.0	1424.0	0.0	0.0	0.0	11	horizontal	1
18.452979		Nan		Nan			7.0	0.0	0.0	1438.0	0.0	0.0	0.0	11	horizontal	1
18.553068		Nan		Nan			37.0	0.0	0.0	1332.0	0.0	0.0	0.0	11	horizontal	1
