time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	distance	antenna	LoS
8.113675	9.0	3.0	80.0	-52.977117	38675705.212045	1300.0	5.0	1311.0	32.0	1415.0	64.0	20616.0	1	horizontal	1
8.213676	8.838028	3.0	80.0	-52.991393	37926689.987283	1278.943662	14.0	1278.0	43.0	1409.0	74.0	20658.0	1	horizontal	1
8.313992	8.801282	3.0	80.0	-52.904647	36819239.788305	1274.166667	7.0	1248.0	29.0	1382.0	68.0	12448.0	1	horizontal	1
8.414098	8.73978	3.0	80.0	-53.038522	37383086.638705	1266.171384	13.0	1272.0	30.0	1414.0	59.0	8364.0	1	horizontal	1
8.514450	8.960587	3.0	80.0	-52.824575	38212026.133993	1294.876352	13.0	1294.0	43.0	1411.0	69.0	28833.0	1	horizontal	1
8.614957	9.0	3.0	80.0	-52.664625	38372896.093457	1300.0	7.0	1306.0	17.0	1420.0	49.0	131.0	1	horizontal	1
8.715347	8.993803	3.0	80.0	-52.636716	38029334.360492	1299.194423	14.0	1291.0	42.0	1395.0	62.0	24723.0	1	horizontal	1
8.815829	8.797904	3.0	80.0	-52.741766	39323335.606028	1273.727545	13.0	1336.0	62.0	1397.0	41.0	4220.0	1	horizontal	1
8.916449	8.902552	3.0	80.0	-53.138438	38092650.521528	1287.331787	16.0	1293.0	80.0	1359.0	48.0	4242.0	1	horizontal	1
9.016739	9.0	3.0	80.0	-53.025298	39720873.599693	1300.0	17.0	1344.0	31.0	1447.0	55.0	20614.0	1	horizontal	1
9.117614	8.90798	3.0	80.0	-53.039088	36047881.06696	1288.037459	8.0	1228.0	41.0	1319.0	50.0	20613.0	1	horizontal	1
9.218980	8.921053	3.0	80.0	-53.109907	37844122.88206	1289.736842	20.0	1292.0	45.0	1384.0	46.0	8329.0	1	horizontal	1
9.320141	9.0	3.0	80.0	-53.082405	39485521.861638	1300.0	14.0	1347.0	37.0	1434.0	51.0	16508.0	1	horizontal	1
9.420870	9.0	3.0	80.0	-53.433022	37672903.929855	1300.0	9.0	1284.0	21.0	1435.0	52.0	12461.0	1	horizontal	1
9.521234	8.660689	3.0	80.0	-53.174319	40932924.867272	1255.889527	21.0	1394.0	70.0	1422.0	27.0	8290.0	1	horizontal	1
9.622121	8.273743	3.0	80.0	-53.213687	42024188.560769	1205.586592	20.0	1432.0	46.0	1422.0	17.0	36.0	1	horizontal	1
9.722200	8.005913	3.0	80.0	-52.821138	40007549.23897	1170.768662	2.0	1353.0	39.0	1376.0	14.0	63.0	1	horizontal	1
9.822507	8.961246	3.0	79.696049	-52.869301	38817430.636916	1289.642857	11.0	1316.0	53.0	1405.0	53.0	16527.0	1	horizontal	1
9.922782	8.915625	3.0	80.0	-52.679688	37733011.957646	1289.03125	21.0	1280.0	61.0	1361.0	39.0	8334.0	1	horizontal	1
10.022789	8.521168	3.0	80.0	-52.583942	40472125.737035	1237.751825	19.0	1370.0	34.0	1436.0	40.0	8294.0	1	horizontal	1
10.123228	8.755839	3.0	80.0	-52.914367	41488681.770543	1268.259023	30.0	1413.0	101.0	1407.0	22.0	4189.0	1	horizontal	1
10.223364	8.588698	3.0	80.0	-53.008584	41241366.779838	1246.530758	21.0	1398.0	39.0	1448.0	35.0	8285.0	1	horizontal	1
10.323375	8.406461	3.0	80.0	-53.122464	39487851.394398	1222.83997	19.0	1331.0	83.0	1340.0	27.0	4187.0	1	horizontal	1
10.423381	8.889722	3.0	80.0	-52.949737	39644936.629182	1285.663916	26.0	1333.0	46.0	1410.0	38.0	8314.0	1	horizontal	1
10.523715	8.058653	3.0	80.0	-52.97176	40679742.748903	1177.624909	17.0	1381.0	39.0	1402.0	28.0	8253.0	1	horizontal	1
10.624180	8.005682	3.0	80.0	-52.965909	41505803.851889	1170.738636	17.0	1408.0	35.0	1417.0	17.0	44.0	1	horizontal	1
10.725506	8.0	3.0	80.0	-52.956738	41004625.230187	1170.0	3.0	1410.0	18.0	1455.0	24.0	4158.0	1	horizontal	1
10.826303	8.002992	3.0	80.0	-52.878085	39409434.587112	1170.38893	9.0	1337.0	54.0	1411.0	46.0	8322.0	1	horizontal	1
10.927105	8.00436	3.0	80.0	-52.901163	40427088.616777	1170.56686	20.0	1376.0	55.0	1425.0	32.0	4200.0	1	horizontal	1
11.027409	8.0	3.0	80.0	-52.713102	39219962.704615	1170.0	10.0	1328.0	32.0	1405.0	40.0	16493.0	1	horizontal	1
11.127582	8.391496	3.0	80.0	-53.255865	40566604.963284	1220.894428	31.0	1364.0	54.0	1409.0	41.0	8292.0	1	horizontal	1
11.227868	8.068823	3.0	80.0	-52.760496	42937448.772126	1178.947006	24.0	1453.0	101.0	1400.0	12.0	4144.0	1	horizontal	1
11.327877	7.741144	3.0	80.0	-52.576975	43431725.954263	1119.346049	29.0	1468.0	72.0	1416.0	10.0	20.0	1	horizontal	1
11.428971	7.033654	3.0	80.0	-52.43109	36372836.805666	981.5625	1.0	1248.0	16.0	1238.0	3.0	7.0	1	horizontal	1
11.529075	7.813936	3.0	80.0	-53.156412	39707985.843887	1133.428466	17.0	1349.0	31.0	1356.0	13.0	38.0	1	horizontal	1
11.630302	8.0	3.0	80.0	-53.175316	41743152.523381	1170.0	37.0	1426.0	64.0	1409.0	20.0	4143.0	1	horizontal	1
11.731162	7.824093	3.0	80.0	-53.195756	42924813.002458	1134.986311	52.0	1461.0	92.0	1422.0	18.0	54.0	1	horizontal	1
11.831174	8.008895	3.0	80.0	-53.355078	39925355.259488	1171.156412	10.0	1349.0	42.0	1385.0	25.0	4174.0	1	horizontal	1
11.931759	8.002903	3.0	80.0	-53.394049	40576397.004332	1170.377358	8.0	1378.0	36.0	1419.0	27.0	8269.0	1	horizontal	1
12.032768	8.060958	3.0	80.0	-53.724238	40509319.530394	1177.924528	30.0	1378.0	77.0	1402.0	31.0	8294.0	1	horizontal	1
12.132780	8.015515	3.0	80.0	-53.17842	41956457.529303	1172.016925	61.0	1418.0	110.0	1363.0	25.0	64.0	1	horizontal	1
12.233830	7.544506	3.0	80.0	-52.69541	42033032.600131	1081.17872	37.0	1438.0	71.0	1420.0	18.0	8236.0	1	horizontal	1
12.334419	7.127778	3.0	80.0	-52.472917	42317750.493725	999.916667	10.0	1440.0	24.0	1417.0	3.0	4097.0	1	horizontal	1
12.435573	8.002793	3.0	80.0	-53.164804	41881231.732407	1170.363128	47.0	1432.0	99.0	1418.0	24.0	86.0	1	horizontal	1
12.535681	8.002901	3.0	80.0	-53.015954	40877348.983602	1170.377085	16.0	1379.0	27.0	1399.0	18.0	47.0	1	horizontal	1
12.636131	8.0	3.0	80.0	-53.277778	39797466.429929	1170.0	10.0	1350.0	21.0	1400.0	24.0	72.0	1	horizontal	1
12.736141	8.008608	3.0	80.0	-53.004304	41064128.549011	1171.119082	9.0	1394.0	21.0	1443.0	25.0	70.0	1	horizontal	1
12.837570	8.0	3.0	80.0	-53.221022	40530760.08019	1170.0	10.0	1389.0	10.0	1397.0	8.0	4114.0	1	horizontal	1
12.937938	8.002833	3.0	80.0	-53.630312	41548180.487283	1170.368272	3.0	1412.0	30.0	1441.0	26.0	8252.0	1	horizontal	1
13.038570	8.002913	3.0	80.0	-53.197378	40477729.746066	1170.378733	20.0	1373.0	74.0	1376.0	27.0	4175.0	1	horizontal	1
13.151600	8.019541	3.0	80.0	-53.175871	30863420.174766	1172.540357	9.0	1177.0	42.0	1190.0	18.0	53.0	1	horizontal	1
13.251604	8.008584	3.0	80.0	-53.136481	34168264.090267	1171.11588	4.0	1165.0	12.0	1179.0	20.0	27.0	1	horizontal	1
13.352930	8.056604	3.0	80.0	-53.024151	38287128.952174	1177.358491	27.0	1325.0	42.0	1335.0	25.0	52.0	1	horizontal	1
13.453407	8.0	3.0	80.0	-53.155914	37975861.09708	1170.0	20.0	1302.0	51.0	1307.0	21.0	56.0	1	horizontal	1
13.553807	8.022154	3.0	80.0	-53.568373	38026038.048229	1172.880061	15.0	1309.0	33.0	1330.0	17.0	55.0	1	horizontal	1
13.654338	8.013245	3.0	79.602649	-53.182947	35164981.245489	1164.768212	33.0	1208.0	28.0	1217.0	15.0	36.0	1	horizontal	1
13.754449	7.440934	3.0	80.0	-52.695742	43091926.766056	1060.982143	16.0	1456.0	38.0	1436.0	7.0	19.0	1	horizontal	1
13.855142	8.016266	3.0	80.0	-53.51768	41563170.270278	1172.114569	35.0	1414.0	90.0	1405.0	25.0	4178.0	1	horizontal	1
13.955380	8.178311	3.0	80.0	-53.40393	40818547.772271	1193.180495	27.0	1374.0	73.0	1365.0	20.0	64.0	1	horizontal	1
14.056217	8.007968	3.0	80.0	-53.154714	44407601.288578	1171.035857	39.0	1506.0	118.0	1433.0	28.0	12334.0	1	horizontal	1
14.156376	8.002787	3.0	80.0	-53.813937	42419659.952018	1170.362369	48.0	1435.0	80.0	1432.0	15.0	78.0	1	horizontal	1
14.256941	7.716408	3.0	80.0	-53.176907	43516842.133147	1114.699527	23.0	1481.0	52.0	1447.0	13.0	18.0	1	horizontal	1
14.357541	7.483782	3.0	80.0	-53.194617	42633979.684493	1069.337474	55.0	1449.0	114.0	1379.0	14.0	4140.0	1	horizontal	1
14.458535	7.002774	3.0	80.0	-52.875867	42493972.683824	975.540915	2.0	1442.0	2.0	1451.0	2.0	12.0	1	horizontal	1
14.559292	7.15632	3.0	80.0	-52.669409	39515038.51364	1005.482423	4.0	1337.0	16.0	1369.0	13.0	48.0	1	horizontal	1
14.659783	8.0	3.0	80.0	-52.617647	24061668.573916	1170.0	2.0	816.0	5.0	1443.0	190.0	37498.0	1	horizontal	1
14.768641	8.063636	3.0	80.0	-52.190909	2967460.835464	1178.272727	7.0	110.0	2.0	1439.0	59.0	17462.0	1	horizontal	1
14.872579	8.384615	3.0	80.0	-51.333333	1106028.884963	1220.0	8.0	39.0	1.0	1482.0	34.0	26275.0	1	horizontal	1
14.974138	9.0	3.0	80.0	-51.315789	566092.344656	1300.0	3.0	19.0	0.0	1398.0	18.0	13668.0	1	horizontal	1
15.083322	9.0	3.0	80.0	-52.489362	1322693.183055	1300.0	7.0	47.0	5.0	1513.0	42.0	51002.0	1	horizontal	1
15.192480	9.0	3.0	80.0	-50.772727	612485.362687	1300.0	9.0	22.0	2.0	1496.0	20.0	21386.0	1	horizontal	1
15.293391	9.0	3.0	80.0	-51.884615	800473.291626	1300.0	2.0	26.0	1.0	1434.0	25.0	13783.0	1	horizontal	1
15.394098	9.0	3.0	80.0	-52.089286	1710645.90452	1300.0	6.0	56.0	5.0	1363.0	48.0	38285.0	1	horizontal	1
15.494455	8.17096	3.0	80.0	-51.302108	12726364.753562	1192.224824	0.0	427.0	12.0	1439.0	170.0	46077.0	1	horizontal	1
15.595472	9.0	3.0	80.0	-52.048309	6177585.186483	1300.0	3.0	207.0	5.0	1364.0	164.0	50315.0	1	horizontal	1
15.696242	9.0	3.0	80.0	-52.187702	9226815.43658	1300.0	2.0	309.0	1.0	1292.0	214.0	73691.0	1	horizontal	1
15.797897	9.0	3.0	80.0	-52.328185	7694645.479229	1300.0	3.0	259.0	6.0	1259.0	171.0	59371.0	1	horizontal	1
15.898344	8.884774	3.0	80.0	-52.288066	7353917.909421	1285.020576	2.0	243.0	9.0	1115.0	153.0	45939.0	1	horizontal	1
16.000453	8.209953	3.0	80.0	-51.762053	18578865.283997	1197.293935	3.0	643.0	4.0	1321.0	171.0	53931.0	1	horizontal	1
16.101733	8.212894	3.0	80.0	-51.631184	19538754.022172	1197.676162	3.0	667.0	19.0	1320.0	155.0	53907.0	1	horizontal	1
16.202155	8.720339	3.0	80.0	-51.740113	10677620.327217	1263.644068	8.0	354.0	12.0	1276.0	190.0	74675.0	1	horizontal	1
16.303138	8.486542	3.0	80.0	-51.792961	14234965.168562	1233.250518	23.0	483.0	5.0	1319.0	190.0	74606.0	1	horizontal	1
16.403141	8.152956	3.0	80.0	-51.777635	22987661.407173	1189.884319	4.0	778.0	15.0	1295.0	159.0	33267.0	1	horizontal	1
16.504963	8.762712	3.0	80.0	-52.504237	6892955.801166	1269.152542	9.0	236.0	7.0	1344.0	139.0	103514.0	1	horizontal	1
16.607960	9.0	3.0	80.0	-52.287129	2927432.380689	1300.0	4.0	101.0	2.0	1205.0	88.0	83027.0	1	horizontal	1
16.708632	9.0	3.0	80.0	-51.990566	3193090.890904	1300.0	6.0	106.0	1.0	1289.0	92.0	66720.0	1	horizontal	1
