time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	distance	antenna	LoS
8.169533	5.0	3.0	80.0	-60.199005	18086124.763991	780.0	16.0	603.0	20.0	1418.0	315.0	70469.0	17	left	1
8.269662	5.0	3.0	80.0	-60.213483	15898612.126748	780.0	19.0	534.0	27.0	1450.0	293.0	46000.0	17	left	1
8.370446	5.0	3.0	80.0	-60.205426	15213885.558921	780.0	10.0	516.0	20.0	1275.0	270.0	78604.0	17	left	1
8.471154	5.0	3.0	80.0	-60.232082	17364559.095251	780.0	27.0	586.0	23.0	1410.0	291.0	62287.0	17	left	1
8.571420	5.0	3.0	80.0	-60.246575	17394165.258513	780.0	6.0	584.0	21.0	1420.0	299.0	54110.0	17	left	1
8.673143	5.0	3.0	80.0	-60.253996	16504765.692921	780.0	4.0	563.0	10.0	1413.0	314.0	33627.0	17	left	1
8.774390	5.0	3.0	80.0	-60.367003	17591059.08755	780.0	16.0	594.0	21.0	1434.0	300.0	37715.0	17	left	1
8.874394	5.0	3.0	80.0	-60.355401	17310178.378006	780.0	15.0	574.0	21.0	1395.0	313.0	45910.0	17	left	1
8.974567	5.0	3.0	80.0	-60.340102	17670689.915274	780.0	5.0	591.0	20.0	1423.0	304.0	62289.0	17	left	1
9.074968	5.0	3.0	80.0	-60.37	18043521.34	780.0	14.0	600.0	24.0	1416.0	325.0	78666.0	17	left	1
9.177033	5.0	3.0	80.0	-60.390572	17552614.694879	780.0	8.0	594.0	30.0	1387.0	319.0	70458.0	17	left	1
9.277357	5.0	3.0	80.0	-60.349291	16915929.058214	780.0	6.0	564.0	15.0	1410.0	292.0	78685.0	17	left	1
9.378494	5.0	3.0	80.0	-60.360075	15698465.992855	780.0	16.0	536.0	21.0	1303.0	278.0	45845.0	17	left	1
9.478763	5.0	3.0	80.0	-60.410745	17100533.230788	780.0	22.0	577.0	23.0	1371.0	309.0	62261.0	17	left	1
9.580082	5.0	3.0	80.0	-60.3861	15282633.374933	780.0	16.0	518.0	13.0	1322.0	281.0	45878.0	17	left	1
9.681022	5.0	3.0	80.0	-60.441536	16893387.125902	780.0	17.0	573.0	23.0	1352.0	297.0	66335.0	17	left	1
9.781198	5.0	3.0	80.0	-60.42596	16294844.933332	780.0	23.0	547.0	26.0	1302.0	297.0	45838.0	17	left	1
9.881249	5.0	3.0	80.0	-60.378571	16505982.937557	780.0	7.0	560.0	13.0	1364.0	292.0	49969.0	17	left	1
9.981283	5.0	3.0	80.0	-60.483389	17913826.77964	780.0	10.0	602.0	21.0	1339.0	293.0	49911.0	17	left	1
10.081411	5.0	3.0	80.0	-60.407285	17930866.339381	780.0	14.0	604.0	23.0	1357.0	306.0	82696.0	17	left	1
10.182106	5.0	3.0	80.0	-60.326493	15960767.545626	780.0	7.0	536.0	11.0	1260.0	276.0	62181.0	17	left	1
