time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	distance	antenna	LoS
8.064255	7.0	3.0	80.0	-66.0	17017.110157	975.0	35.0	1.0	0.0	2567.0	1.0	1558.0	16	vertical2	1
8.636924	7.0	3.0	80.0	-64.0	5409.761768	975.0	100.0	1.0	0.0	7417.0	1.0	3320.0	16	vertical2	1
8.737063	5.0	3.0	80.0	-63.581132	7767016.894967	780.0	68.0	265.0	25.0	1168.0	50.0	9125.0	16	vertical2	1
8.837568	5.0	3.0	80.0	-63.850455	22891844.366286	780.0	29.0	769.0	6.0	1334.0	175.0	25142.0	16	vertical2	1
9.047673	5.125	3.0	80.0	-64.1625	1115719.865986	792.1875	46.0	80.0	0.0	2933.0	23.0	10010.0	16	vertical2	1
9.219532	7.0	3.0	80.0	-65.0	18026.399074	975.0	38.0	1.0	0.0	2343.0	1.0	3376.0	16	vertical2	1
9.505772	5.0	3.0	80.0	-64.0	10823.097509	780.0	84.0	1.0	1.0	3975.0	0.0	0.0	16	vertical2	1
9.606218	5.0	3.0	80.0	-63.991416	27873655.556141	780.0	0.0	932.0	14.0	1487.0	250.0	41413.0	16	vertical2	1
9.997224	5.008696	3.0	80.0	-63.895652	3504025.008367	780.847826	96.0	460.0	1.0	5235.0	139.0	8877.0	16	vertical2	1
10.401691	7.0	3.0	80.0	-67.0	7689.130216	975.0	119.0	1.0	0.0	5449.0	1.0	1354.0	16	vertical2	1
10.667996	7.0	3.0	80.0	-65.0	23356.696438	975.0	101.0	2.0	0.0	3666.0	2.0	3624.0	16	vertical2	1
10.782444	7.0	3.0	80.0	-66.333333	81311.653255	975.0	25.0	3.0	0.0	1451.0	3.0	3534.0	16	vertical2	1
10.944940	7.0	3.0	80.0	-65.0	38204.142877	975.0	35.0	2.0	0.0	2078.0	2.0	4127.0	16	vertical2	1
11.242434	7.0	3.0	50.0	-63.0	20827.303522	595.5	100.0	2.0	1.0	3933.0	1.0	381.0	16	vertical2	1
11.440712	7.0	3.0	30.0	-61.166667	86232.429745	342.5	51.0	6.0	5.0	2624.0	1.0	1962.0	16	vertical2	1
11.609211	6.0	3.0	80.0	-64.0	36843.00919	877.5	38.0	2.0	1.0	2192.0	1.0	1088.0	16	vertical2	1
11.764469	5.013158	3.0	80.0	-63.802632	2927956.898805	781.282895	36.0	152.0	11.0	2057.0	43.0	15423.0	16	vertical2	1
11.880894	7.0	3.0	80.0	-64.5	40420.883263	975.0	27.0	2.0	0.0	1411.0	2.0	1408.0	16	vertical2	1
12.118576	5.0	3.0	80.0	-63.0	13034.211886	780.0	105.0	1.0	1.0	3054.0	0.0	0.0	16	vertical2	1
12.292964	5.007605	3.0	80.0	-63.86692	4476206.551511	780.741445	51.0	263.0	4.0	2445.0	66.0	9138.0	16	vertical2	1
12.475115	7.0	3.0	80.0	-48.0	9574.461521	975.0	77.0	2.0	1.0	2443.0	1.0	2130.0	16	vertical2	1
