time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.100236	5.02441	3.0	79.5118	-60.4237	34305900.0	776.613	42.0	1147.0	23.0	4276.0	45.0	15505.0	0.0	12	vertical	1
8.200470	5.0	3.0	80.0	-60.5117	39781400.0	780.0	4.0	1325.0	9.0	1406.0	70.0	12377.0	0.0	12	vertical	1
8.300770	5.0	3.0	80.0	-60.4332	41398400.0	780.0	6.0	1385.0	7.0	1488.0	83.0	8303.0	0.0	12	vertical	1
8.402216	5.01727	3.0	80.0	-60.5653	30762800.0	781.684	23.0	1042.0	2.0	1458.0	51.0	8596.0	0.0	12	vertical	1
8.502606	5.15745	3.0	80.0	-60.5042	17891300.0	795.352	60.0	597.0	15.0	1426.0	72.0	82779.0	0.0	12	vertical	1
8.603958	5.34686	3.0	80.0	-61.0148	8050070.0	813.819	124.0	271.0	8.0	1305.0	51.0	58560.0	0.0	12	vertical	1
8.704069	5.00954	3.0	80.0	-60.5461	37648600.0	780.93	26.0	1258.0	10.0	1463.0	69.0	20522.0	0.0	12	vertical	1
8.805506	5.0	3.0	80.0	-60.5182	36278100.0	780.0	0.0	1233.0	2.0	1333.0	73.0	4197.0	0.0	12	vertical	1
8.905729	5.0	3.0	80.0	-60.5608	40948700.0	780.0	0.0	1366.0	2.0	1465.0	72.0	4198.0	0.0	12	vertical	1
9.006227	5.0	3.0	80.0	-60.5302	40062500.0	780.0	7.0	1339.0	14.0	1398.0	61.0	4171.0	0.0	12	vertical	1
9.106711	5.00147	3.0	80.0	-60.5828	40644000.0	780.143	5.0	1364.0	15.0	1458.0	69.0	12398.0	0.0	12	vertical	1
9.207924	6.05455	3.0	80.0	-61.6091	3266180.0	882.818	75.0	110.0	11.0	1366.0	51.0	74981.0	0.0	12	vertical	1
9.308390	7.0	3.0	80.0	-62.4068	1806770.0	975.0	96.0	59.0	6.0	1384.0	52.0	70949.0	0.0	12	vertical	1
9.408716	5.01184	3.0	80.0	-60.5956	35311500.0	781.155	32.0	1182.0	14.0	1432.0	49.0	12581.0	0.0	12	vertical	1
9.508984	5.02124	3.0	80.0	-60.5396	30879000.0	782.07	37.0	1036.0	12.0	1439.0	43.0	8607.0	0.0	12	vertical	1
9.610691	5.0	3.0	80.0	-60.4641	37393200.0	780.0	0.0	1267.0	8.0	1379.0	75.0	8313.0	0.0	12	vertical	1
9.712467	5.02074	3.0	80.0	-60.5627	31238100.0	782.022	13.0	1061.0	15.0	1385.0	55.0	20625.0	0.0	12	vertical	1
9.813262	5.20513	3.0	80.0	-60.9145	10242600.0	800.0	87.0	351.0	16.0	1229.0	54.0	37952.0	0.0	12	vertical	1
9.913262	5.07962	3.0	80.0	-60.7404	18515800.0	787.763	57.0	628.0	3.0	1350.0	46.0	29286.0	0.0	12	vertical	1
10.014202	7.0	3.0	80.0	-62.7213	1932170.0	975.0	115.0	61.0	13.0	1390.0	48.0	58802.0	0.0	12	vertical	1
10.115394	7.0	3.0	80.0	-62.6935	1870700.0	975.0	62.0	62.0	7.0	1468.0	55.0	95687.0	0.0	12	vertical	1
