time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	distance	antenna	LoS
7.980042	7.0	3.0	80.0	-50.714983	41925371.653027	975.0	0.0	1435.0	4.0	1436.0	2.0	5.0	5	vertical	1
8.080693	7.002825	3.0	80.0	-57.500706	41733369.471609	975.550847	13.0	1416.0	25.0	1404.0	7.0	14.0	5	vertical	1
8.181011	7.0	3.0	80.0	-56.204512	40349419.793474	975.0	24.0	1374.0	88.0	1294.0	2.0	9.0	5	vertical	1
8.281150	7.002158	3.0	80.0	-55.460432	41065815.607267	975.420863	1.0	1390.0	30.0	1379.0	9.0	4115.0	5	vertical	1
8.381205	7.0	3.0	80.0	-56.379501	43075539.338255	975.0	11.0	1444.0	63.0	1402.0	12.0	4116.0	5	vertical	1
8.481345	7.0	3.0	80.0	-55.619811	40929878.507738	975.0	18.0	1373.0	75.0	1397.0	36.0	8293.0	5	vertical	1
8.582439	7.002095	3.0	80.0	-55.264665	42011009.68484	975.40852	2.0	1432.0	36.0	1422.0	10.0	26.0	5	vertical	1
8.682984	7.007236	3.0	80.0	-50.637482	41044612.273773	976.410999	2.0	1382.0	64.0	1350.0	9.0	32.0	5	vertical	1
8.784326	7.002827	3.0	80.0	-49.659364	41254654.305307	975.551237	5.0	1415.0	25.0	1389.0	0.0	0.0	5	vertical	1
8.885236	7.0	3.0	80.0	-49.415395	42304836.997429	975.0	0.0	1442.0	1.0	1441.0	0.0	0.0	5	vertical	1
8.986109	7.002819	3.0	80.0	-48.766032	41749214.072429	975.549683	4.0	1419.0	14.0	1405.0	0.0	0.0	5	vertical	1
9.086779	7.0	3.0	80.0	-49.655343	41513281.596082	975.0	4.0	1413.0	4.0	1418.0	5.0	10.0	5	vertical	1
9.187483	7.0	3.0	80.0	-49.479181	41756843.212705	975.0	3.0	1417.0	7.0	1419.0	4.0	9.0	5	vertical	1
9.288901	7.029861	3.0	80.0	-48.354861	42328011.965024	980.822917	10.0	1440.0	92.0	1378.0	11.0	30.0	5	vertical	1
9.389651	7.0	3.0	80.0	-47.916321	42599766.502873	975.0	6.0	1446.0	21.0	1424.0	0.0	0.0	5	vertical	1
9.490643	7.014825	3.0	80.0	-47.993935	43647502.094771	977.890836	14.0	1484.0	77.0	1420.0	3.0	13.0	5	vertical	1
9.590651	7.024613	3.0	80.0	-47.718706	42277859.07417	979.799578	6.0	1422.0	64.0	1371.0	1.0	17.0	5	vertical	1
9.691913	7.0	3.0	80.0	-49.040773	40959799.882418	975.0	4.0	1398.0	24.0	1386.0	3.0	12.0	5	vertical	1
9.792093	7.0	3.0	80.0	-49.579609	42394035.79797	975.0	2.0	1432.0	34.0	1407.0	3.0	6.0	5	vertical	1
9.892344	7.086093	3.0	80.0	-48.40103	40167902.210285	991.788079	2.0	1359.0	6.0	1422.0	31.0	8247.0	5	vertical	1
9.992384	7.023521	3.0	80.0	-48.858161	41676134.60183	979.5866	9.0	1403.0	63.0	1364.0	8.0	39.0	5	vertical	1
10.093151	7.815642	2.592179	80.0	-50.99162	42311531.12418	930.547486	4.0	1432.0	26.0	1411.0	1.0	5.0	5	vertical	1
10.194751	8.983134	2.008433	80.0	-52.631764	41556586.560761	866.919185	0.0	1423.0	0.0	1431.0	7.0	8.0	5	vertical	1
10.294811	8.973856	2.013072	80.0	-51.027233	27067348.825571	867.424837	0.0	918.0	9.0	1324.0	126.0	37281.0	5	vertical	1
10.395096	7.437018	2.783205	80.0	-50.784919	33998533.02051	952.037704	8.0	1167.0	40.0	1149.0	7.0	22.0	5	vertical	1
