time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	distance	antenna	LoS
7.483820	7.0	3.0	78.497317	-56.379249	16558346.779204	955.277281	23.0	559.0	27.0	1178.0	222.0	70278.0	4	vertical	0
7.584019	7.0	3.0	77.068702	-56.261069	19393014.183126	936.526718	23.0	655.0	26.0	1302.0	229.0	86688.0	4	vertical	0
7.690120	7.0	3.0	62.957983	-55.156303	16755779.934002	751.467227	34.0	595.0	68.0	997.0	170.0	41425.0	4	vertical	0
7.790557	7.0	3.0	58.550725	-54.676329	12265039.691491	693.478261	33.0	414.0	57.0	763.0	91.0	16794.0	4	vertical	0
7.892837	7.0	3.0	66.778947	-55.501053	13747616.015682	801.473684	17.0	475.0	38.0	860.0	132.0	25005.0	4	vertical	0
7.993002	7.0	3.0	70.091743	-55.807339	13101314.049919	844.954128	39.0	436.0	75.0	906.0	121.0	21024.0	4	vertical	0
8.093505	7.0	3.0	56.685714	-54.791429	10418386.047354	669.0	18.0	350.0	28.0	652.0	79.0	20787.0	4	vertical	0
8.194593	7.0	3.0	66.192469	-55.372385	14061461.349604	793.776151	40.0	478.0	39.0	900.0	150.0	45546.0	4	vertical	0
8.295034	6.574312	3.0	69.431193	-55.256881	16053933.76235	794.779817	43.0	545.0	54.0	925.0	133.0	33197.0	4	vertical	0
8.396052	7.0	3.0	62.181818	-55.188636	12979604.125509	741.136364	2.0	440.0	36.0	777.0	140.0	24948.0	4	vertical	0
8.497109	7.0	3.0	66.276151	-55.682008	7091132.891616	794.874477	48.0	239.0	55.0	637.0	68.0	16828.0	4	vertical	0
8.598251	7.0	3.0	80.0	-56.548134	14591814.582459	975.0	24.0	509.0	27.0	1039.0	189.0	45625.0	4	vertical	0
8.700716	7.0	3.0	80.0	-56.517179	15717228.086748	975.0	21.0	553.0	15.0	1140.0	191.0	37467.0	4	vertical	0
8.801981	7.0	3.0	80.0	-56.571429	15861267.966464	975.0	7.0	553.0	15.0	1092.0	212.0	57898.0	4	vertical	0
8.901983	7.0	3.0	80.0	-56.522769	15981190.26102	975.0	28.0	549.0	18.0	1125.0	212.0	49746.0	4	vertical	0
9.003027	7.0	3.0	80.0	-56.543233	15548823.248788	975.0	13.0	532.0	7.0	1124.0	196.0	41559.0	4	vertical	0
9.103547	7.0	3.0	80.0	-56.653768	14126726.79128	975.0	8.0	491.0	8.0	1085.0	198.0	29274.0	4	vertical	0
9.204165	7.0	3.0	80.0	-56.598344	14046234.776583	975.0	9.0	483.0	21.0	1071.0	204.0	78433.0	4	vertical	0
9.305144	7.0	3.0	80.0	-56.547576	16117985.912392	975.0	9.0	557.0	12.0	1136.0	216.0	66128.0	4	vertical	0
9.405837	7.0	3.0	80.0	-56.609174	16049289.399589	975.0	10.0	545.0	27.0	1040.0	192.0	57866.0	4	vertical	0
9.505917	7.0	3.0	80.0	-56.650964	13594901.286022	975.0	17.0	467.0	21.0	1076.0	186.0	56954.0	4	vertical	0
9.605924	7.0	3.0	80.0	-56.548323	14845135.132803	975.0	10.0	507.0	12.0	1103.0	211.0	46687.0	4	vertical	0
