time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.100587	7.0	3.0	58.9744	-57.0128	2329580.0	699.038	8.0	78.0	5.0	2576.0	35.0	14716.0	0.0	5	vertical	0
8.201444	7.0	3.0	76.0	-58.575	1200440.0	922.5	4.0	40.0	3.0	1492.0	32.0	22037.0	0.0	5	vertical	0
8.302175	7.0	3.0	61.3333	-57.0667	908214.0	730.0	10.0	30.0	0.0	1491.0	21.0	10111.0	0.0	5	vertical	0
8.402179	7.0	3.0	63.0	-57.25	1225220.0	751.875	22.0	40.0	2.0	1517.0	29.0	29427.0	0.0	5	vertical	0
8.502414	7.0	3.0	64.7059	-57.0588	1036700.0	774.265	0.0	34.0	7.0	1492.0	22.0	22291.0	0.0	5	vertical	0
8.603508	7.0	3.0	80.0	-58.1765	506814.0	975.0	17.0	17.0	0.0	1522.0	17.0	5539.0	0.0	5	vertical	0
8.703650	7.0	3.0	80.0	-58.3889	542451.0	975.0	17.0	18.0	0.0	1455.0	17.0	13698.0	0.0	5	vertical	0
8.804004	7.0	3.0	80.0	-58.0	557327.0	975.0	1.0	19.0	2.0	1492.0	16.0	1484.0	0.0	5	vertical	0
8.904032	7.0	3.0	80.0	-58.1724	869819.0	975.0	4.0	29.0	0.0	5595.0	28.0	26018.0	0.0	5	vertical	0
9.005085	7.0	3.0	80.0	-57.6471	522241.0	975.0	7.0	17.0	0.0	1507.0	17.0	13941.0	0.0	5	vertical	0
9.105866	7.0	3.0	78.3333	-57.7917	724043.0	953.125	5.0	24.0	1.0	1485.0	23.0	14488.0	0.0	5	vertical	0
9.206635	7.0	3.0	52.6829	-55.0488	1201940.0	616.463	0.0	41.0	6.0	1516.0	20.0	12880.0	0.0	5	vertical	0
9.307092	7.0	3.0	62.8571	-56.4286	1065850.0	750.0	16.0	35.0	0.0	1512.0	26.0	27091.0	0.0	5	vertical	0
9.407134	7.0	3.0	53.6364	-55.0227	1303210.0	628.977	0.0	44.0	1.0	1504.0	28.0	20962.0	0.0	5	vertical	0
9.508163	7.0	3.0	80.0	-57.7333	461276.0	975.0	9.0	15.0	0.0	1271.0	15.0	17499.0	0.0	5	vertical	0
9.609486	7.0	3.0	80.0	-56.6667	168747.0	975.0	0.0	6.0	1.0	5370.0	5.0	1310.0	0.0	5	vertical	0
9.710360	7.0	3.0	80.0	-57.0909	293635.0	975.0	16.0	11.0	1.0	1333.0	10.0	9639.0	0.0	5	vertical	0
9.810415	7.0	3.0	80.0	-56.75	248303.0	975.0	0.0	8.0	0.0	1321.0	7.0	5001.0	0.0	5	vertical	0
9.910862	7.0	3.0	80.0	-57.1875	464282.0	975.0	23.0	16.0	1.0	1357.0	15.0	5784.0	0.0	5	vertical	0
10.010955	7.0	3.0	80.0	-57.3684	543894.0	975.0	38.0	19.0	0.0	1359.0	18.0	13317.0	0.0	5	vertical	0
10.111232	7.0	3.0	80.0	-56.9375	495031.0	975.0	0.0	16.0	2.0	1365.0	13.0	5902.0	0.0	5	vertical	0
10.211507	7.0	3.0	80.0	-57.0	341382.0	975.0	3.0	12.0	2.0	1353.0	10.0	5193.0	0.0	5	vertical	0
10.312053	7.0	3.0	80.0	-56.6667	277902.0	975.0	0.0	9.0	0.0	1358.0	9.0	5529.0	0.0	5	vertical	0
10.413566	7.0	3.0	80.0	-56.8095	612237.0	975.0	4.0	21.0	1.0	1367.0	20.0	5475.0	0.0	5	vertical	0
10.514164	7.0	3.0	80.0	-56.4545	339350.0	975.0	8.0	11.0	1.0	1370.0	10.0	11505.0	0.0	5	vertical	0
10.615432	7.0	3.0	80.0	-56.8182	322037.0	975.0	25.0	11.0	0.0	1352.0	11.0	7585.0	0.0	5	vertical	0
10.716294	7.0	3.0	80.0	-56.0	240279.0	975.0	5.0	8.0	1.0	1360.0	7.0	6327.0	0.0	5	vertical	0
10.816935	7.0	3.0	80.0	-56.375	246618.0	975.0	8.0	8.0	2.0	1348.0	6.0	8523.0	0.0	5	vertical	0
10.917311	7.0	3.0	80.0	-55.8889	278373.0	975.0	70.0	9.0	1.0	1358.0	8.0	5592.0	0.0	5	vertical	0
11.018414	7.0	3.0	80.0	-56.6	430632.0	975.0	5.0	15.0	1.0	1353.0	14.0	9294.0	0.0	5	vertical	0
11.119235	7.0	3.0	80.0	-56.25	369445.0	975.0	6.0	12.0	0.0	1360.0	11.0	13811.0	0.0	5	vertical	0
11.219371	7.0	3.0	59.3548	-55.2258	945156.0	704.032	11.0	31.0	6.0	1329.0	19.0	17764.0	0.0	5	vertical	0
11.320542	7.0	3.0	65.7143	-55.0	414445.0	787.5	33.0	14.0	1.0	1380.0	11.0	9549.0	0.0	5	vertical	0
11.421744	7.0	3.0	62.8571	-55.2857	643569.0	750.0	6.0	21.0	0.0	5475.0	16.0	9314.0	0.0	5	vertical	0
11.522211	7.0	3.0	80.0	-56.0	247046.0	975.0	14.0	8.0	0.0	1358.0	8.0	1589.0	0.0	5	vertical	0
11.622221	7.0	3.0	80.0	-56.5	248295.0	975.0	7.0	8.0	0.0	1443.0	8.0	9125.0	0.0	5	vertical	0
11.723678	7.0	3.0	80.0	-55.6	137989.0	975.0	3.0	5.0	1.0	1373.0	4.0	5483.0	0.0	5	vertical	0
11.825185	7.0	3.0	80.0	-56.5556	535747.0	975.0	16.0	18.0	3.0	1477.0	15.0	9943.0	0.0	5	vertical	0
11.925927	7.0	3.0	80.0	-56.0	123246.0	975.0	22.0	4.0	0.0	1501.0	4.0	1523.0	0.0	5	vertical	0
12.026692	7.0	3.0	80.0	-56.2222	262153.0	975.0	27.0	9.0	1.0	5600.0	8.0	1368.0	0.0	5	vertical	0
12.127372	7.0	3.0	80.0	-55.5	184983.0	975.0	33.0	6.0	1.0	1456.0	5.0	5553.0	0.0	5	vertical	0
12.227477	7.0	3.0	80.0	-55.7143	216992.0	975.0	7.0	7.0	2.0	9680.0	5.0	5774.0	0.0	5	vertical	0
12.327492	7.0	3.0	80.0	-55.1667	171074.0	975.0	20.0	6.0	1.0	1474.0	5.0	5620.0	0.0	5	vertical	0
12.428178	7.0	3.0	80.0	-55.0	324136.0	975.0	10.0	11.0	2.0	5572.0	9.0	9219.0	0.0	5	vertical	0
12.529006	7.0	3.0	80.0	-55.5	61451.5	975.0	36.0	2.0	0.0	5581.0	2.0	1593.0	0.0	5	vertical	0
12.630120	7.0	3.0	80.0	-55.5714	199973.0	975.0	22.0	7.0	2.0	1503.0	5.0	5884.0	0.0	5	vertical	0
12.730862	7.0	3.0	80.0	-55.0	92374.4	975.0	55.0	3.0	0.0	1492.0	3.0	1093.0	0.0	5	vertical	0
12.832056	7.0	3.0	80.0	-55.2	153072.0	975.0	34.0	5.0	1.0	1503.0	4.0	5769.0	0.0	5	vertical	0
12.933941	7.0	3.0	80.0	-55.2857	213319.0	975.0	17.0	7.0	0.0	1454.0	7.0	4808.0	0.0	5	vertical	0
13.034586	7.0	3.0	80.0	-55.2	293367.0	975.0	16.0	10.0	2.0	1503.0	8.0	10412.0	0.0	5	vertical	0
13.135073	7.0	3.0	80.0	-55.25	123797.0	975.0	13.0	4.0	1.0	1424.0	3.0	5523.0	0.0	5	vertical	0
13.235681	7.0	3.0	80.0	-54.6667	355300.0	975.0	26.0	12.0	2.0	1519.0	10.0	1619.0	0.0	5	vertical	0
13.335802	7.0	3.0	80.0	-55.1111	233718.0	975.0	13.0	9.0	0.0	1464.0	9.0	9791.0	0.0	5	vertical	0
13.436849	7.0	3.0	80.0	-54.7778	276286.0	975.0	21.0	9.0	1.0	1493.0	8.0	1446.0	0.0	5	vertical	0
13.537015	7.0	3.0	80.0	-55.1429	201626.0	975.0	20.0	7.0	1.0	1497.0	6.0	1514.0	0.0	5	vertical	0
13.637149	7.0	3.0	80.0	-54.4545	340563.0	975.0	32.0	11.0	0.0	5538.0	11.0	13748.0	0.0	5	vertical	0
13.737823	7.0	3.0	80.0	-54.6667	92556.0	975.0	8.0	3.0	0.0	1484.0	3.0	1462.0	0.0	5	vertical	0
13.838712	7.0	3.0	80.0	-54.1667	184838.0	975.0	21.0	6.0	1.0	1505.0	5.0	5235.0	0.0	5	vertical	0
13.938950	7.0	3.0	80.0	-54.6667	170573.0	975.0	14.0	6.0	0.0	1388.0	6.0	5782.0	0.0	5	vertical	0
14.039405	7.0	3.0	80.0	-54.2353	480372.0	975.0	5.0	17.0	3.0	1363.0	14.0	17784.0	0.0	5	vertical	0
14.140217	7.0	3.0	80.0	-54.7143	215471.0	975.0	19.0	7.0	1.0	1479.0	6.0	5722.0	0.0	5	vertical	0
14.241179	7.0	3.0	80.0	-54.3333	353934.0	975.0	12.0	12.0	2.0	1477.0	10.0	16440.0	0.0	5	vertical	0
14.342744	7.0	3.0	80.0	-54.5714	213754.0	975.0	18.0	7.0	0.0	1438.0	7.0	10924.0	0.0	5	vertical	0
14.443406	7.0	3.0	80.0	-54.1667	539648.0	975.0	7.0	18.0	3.0	1476.0	15.0	30171.0	0.0	5	vertical	0
14.544155	7.0	3.0	80.0	-54.65	615828.0	975.0	23.0	20.0	3.0	1480.0	16.0	9554.0	0.0	5	vertical	0
14.645431	7.0	3.0	80.0	-54.5	306491.0	975.0	12.0	10.0	1.0	1417.0	9.0	5551.0	0.0	5	vertical	0
14.746467	7.0	3.0	80.0	-54.2667	445663.0	975.0	32.0	15.0	2.0	1462.0	13.0	13763.0	0.0	5	vertical	0
14.847286	7.0	3.0	80.0	-54.55	600617.0	975.0	17.0	20.0	4.0	1455.0	16.0	9673.0	0.0	5	vertical	0
14.948288	7.0	3.0	80.0	-54.3	306846.0	975.0	58.0	10.0	0.0	1495.0	10.0	21679.0	0.0	5	vertical	0
15.049748	7.0	3.0	80.0	-54.6875	474218.0	975.0	26.0	16.0	1.0	1482.0	15.0	13969.0	0.0	5	vertical	0
15.149753	7.0	3.0	80.0	-54.3	310263.0	975.0	8.0	10.0	0.0	1494.0	10.0	14935.0	0.0	5	vertical	0
15.249850	7.0	3.0	80.0	-54.7	604712.0	975.0	12.0	20.0	3.0	1498.0	17.0	16707.0	0.0	5	vertical	0
15.350891	7.0	3.0	80.0	-54.2667	891407.0	975.0	38.0	30.0	4.0	1478.0	26.0	30179.0	0.0	5	vertical	0
15.452230	7.0	3.0	80.0	-54.5	398702.0	975.0	29.0	14.0	3.0	1482.0	11.0	5575.0	0.0	5	vertical	0
15.552968	7.0	3.0	80.0	-54.5	724233.0	975.0	11.0	24.0	3.0	1495.0	21.0	21786.0	0.0	5	vertical	0
15.654431	7.0	3.0	80.0	-54.4815	810182.0	975.0	22.0	27.0	0.0	5569.0	26.0	22063.0	0.0	5	vertical	0
15.755790	7.0	3.0	80.0	-54.2	750724.0	975.0	13.0	25.0	2.0	1498.0	23.0	21986.0	0.0	5	vertical	0
15.857186	7.0	3.0	80.0	-54.7222	550906.0	975.0	8.0	18.0	3.0	1483.0	15.0	9574.0	0.0	5	vertical	0
15.957756	7.0	3.0	80.0	-54.381	647612.0	975.0	34.0	21.0	3.0	1479.0	18.0	25947.0	0.0	5	vertical	0
16.058748	7.0	3.0	80.0	-54.7143	415419.0	975.0	13.0	14.0	1.0	1489.0	13.0	5446.0	0.0	5	vertical	0
16.159047	7.0	3.0	80.0	-54.303	975443.0	975.0	13.0	33.0	2.0	1480.0	31.0	18076.0	0.0	5	vertical	0
16.259730	7.0	3.0	80.0	-54.5833	694790.0	975.0	6.0	24.0	4.0	1276.0	20.0	21780.0	0.0	5	vertical	0
16.360847	7.0	3.0	80.0	-54.303	997740.0	975.0	15.0	33.0	3.0	5603.0	29.0	38182.0	0.0	5	vertical	0
16.462423	7.0	3.0	80.0	-54.4545	671930.0	975.0	12.0	22.0	1.0	1533.0	21.0	17941.0	0.0	5	vertical	0
16.563305	7.0	3.0	80.0	-54.2273	632362.0	975.0	35.0	22.0	3.0	1517.0	19.0	13909.0	0.0	5	vertical	0
16.664842	7.0	3.0	80.0	-54.2083	688596.0	975.0	10.0	24.0	1.0	1514.0	22.0	22214.0	0.0	5	vertical	0
16.765900	7.0	3.0	80.0	-53.9688	907260.0	975.0	5.0	32.0	4.0	1504.0	28.0	45965.0	0.0	5	vertical	0
16.866528	7.0	3.0	80.0	-54.4091	648646.0	975.0	67.0	22.0	4.0	1502.0	18.0	14118.0	0.0	5	vertical	0
16.967233	7.0	3.0	80.0	-54.25	694765.0	975.0	2.0	24.0	3.0	1359.0	21.0	25815.0	0.0	5	vertical	0
17.067519	7.0	3.0	80.0	-54.1429	634704.0	975.0	8.0	21.0	1.0	1369.0	20.0	21849.0	0.0	5	vertical	0
17.167857	7.0	3.0	80.0	-54.4444	819985.0	975.0	29.0	27.0	0.0	1358.0	27.0	29978.0	0.0	5	vertical	0
17.268232	7.0	3.0	80.0	-53.8333	525868.0	975.0	18.0	18.0	3.0	1363.0	15.0	17531.0	0.0	5	vertical	0
17.369143	7.0	3.0	80.0	-54.48	753579.0	975.0	4.0	25.0	1.0	1369.0	24.0	34401.0	0.0	5	vertical	0
17.469987	7.0	3.0	80.0	-54.1667	708098.0	975.0	1.0	24.0	2.0	1366.0	22.0	17743.0	0.0	5	vertical	0
17.571062	7.0	3.0	80.0	-54.4286	644730.0	975.0	1.0	21.0	1.0	1376.0	18.0	25883.0	0.0	5	vertical	0
17.672029	7.0	3.0	80.0	-54.0	460725.0	975.0	0.0	15.0	2.0	1367.0	13.0	9209.0	0.0	5	vertical	0
17.772104	7.0	3.0	80.0	-54.2308	791305.0	975.0	19.0	26.0	1.0	1376.0	25.0	54978.0	0.0	5	vertical	0
17.873086	7.0	3.0	80.0	-54.0741	829758.0	975.0	10.0	27.0	3.0	1378.0	24.0	27976.0	0.0	5	vertical	0
17.973792	7.0	3.0	80.0	-54.3571	802889.0	975.0	6.0	28.0	2.0	1356.0	26.0	32028.0	0.0	5	vertical	0
18.074019	7.0	3.0	80.0	-53.7778	527124.0	975.0	3.0	18.0	2.0	1344.0	16.0	24147.0	0.0	5	vertical	0
18.174561	7.0	3.0	80.0	-54.3077	712456.0	975.0	28.0	26.0	2.0	1365.0	24.0	27684.0	0.0	5	vertical	0
18.274805	7.0	3.0	80.0	-53.9474	588502.0	975.0	12.0	19.0	1.0	1368.0	18.0	25817.0	0.0	5	vertical	0
18.375010	7.0	3.0	80.0	-54.2857	605244.0	975.0	3.0	21.0	2.0	1325.0	19.0	23519.0	0.0	5	vertical	0
18.475870	7.0	3.0	80.0	-54.25	585719.0	975.0	1.0	20.0	2.0	1223.0	18.0	23982.0	0.0	5	vertical	0
18.576152	7.0	3.0	80.0	-54.0385	728931.0	975.0	1.0	26.0	3.0	1303.0	23.0	29974.0	0.0	5	vertical	0
18.676544	7.0	3.0	80.0	-54.0	727781.0	975.0	18.0	25.0	1.0	1373.0	24.0	38359.0	0.0	5	vertical	0
18.776562	7.0	3.0	80.0	-54.2105	589714.0	975.0	2.0	19.0	0.0	1343.0	19.0	14626.0	0.0	5	vertical	0
18.877839	7.0	3.0	80.0	-54.4138	858855.0	975.0	8.0	29.0	1.0	1371.0	28.0	39281.0	0.0	5	vertical	0
18.978701	7.0	3.0	80.0	-54.2941	492854.0	975.0	4.0	17.0	1.0	1385.0	16.0	23877.0	0.0	5	vertical	0
19.079041	7.0	3.0	80.0	-54.3913	711077.0	975.0	36.0	23.0	2.0	1360.0	21.0	42206.0	0.0	5	vertical	0
19.180144	7.0	3.0	80.0	-54.125	491106.0	975.0	21.0	16.0	0.0	1363.0	16.0	17779.0	0.0	5	vertical	0
