time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	distance	antenna	LoS
8.655961	7.42623	3.0	71.47541	-51.57377	1693497.850509	895.081967	21.0	61.0	5.0	1104.0	11.0	1048.0	11	fan	1
8.760063	8.8	3.0	48.0	-50.6	149026.341861	714.0	14.0	5.0	0.0	1110.0	5.0	13393.0	11	fan	1
8.865186	9.0	3.0	40.0	-50.333333	177164.788624	600.0	11.0	6.0	0.0	960.0	4.0	956.0	11	fan	1
8.969491	9.0	3.0	40.0	-50.25	118805.143918	600.0	7.0	4.0	1.0	1090.0	3.0	1086.0	11	fan	1
9.070402	7.033708	3.0	79.357945	-52.272873	17707212.632532	969.29374	12.0	623.0	3.0	1013.0	13.0	12681.0	11	fan	1
9.171058	7.777778	3.0	66.666667	-51.555556	232475.502372	871.666667	13.0	9.0	0.0	930.0	4.0	2906.0	11	fan	1
9.282799	7.207792	3.0	75.844156	-52.071429	3976041.19451	936.038961	26.0	154.0	3.0	1069.0	12.0	3029.0	11	fan	1
9.387876	8.857143	3.0	45.714286	-50.571429	192544.30608	681.428571	8.0	7.0	1.0	989.0	6.0	4735.0	11	fan	1
9.487922	7.20098	3.0	76.078431	-52.147059	5794803.082786	939.191176	7.0	204.0	5.0	975.0	12.0	1122.0	11	fan	1
9.595888	8.8	3.0	48.0	-50.6	143915.166631	714.0	14.0	5.0	1.0	987.0	4.0	5078.0	11	fan	1
9.696975	8.933333	3.0	42.666667	-50.266667	400746.565824	638.0	18.0	15.0	2.0	926.0	9.0	2962.0	11	fan	1
9.805430	8.888889	3.0	44.444444	-51.0	229606.778982	663.333333	20.0	9.0	0.0	1014.0	7.0	3055.0	11	fan	1
9.910159	9.0	3.0	40.0	-50.090909	297280.280736	600.0	12.0	11.0	2.0	1037.0	5.0	784.0	11	fan	1
10.051352	7.666667	3.0	80.0	-53.333333	65824.788352	1105.0	27.0	3.0	2.0	1372.0	1.0	371.0	11	fan	1
10.152683	7.014721	3.0	79.705573	-52.333333	27122290.836353	972.239748	0.0	951.0	9.0	977.0	10.0	9469.0	11	fan	1
10.278712	7.215385	3.0	76.307692	-52.153846	1503610.214161	946.384615	14.0	65.0	0.0	1218.0	9.0	5251.0	11	fan	1
10.382054	8.928571	3.0	42.857143	-50.285714	391206.13735	640.714286	8.0	14.0	0.0	1003.0	11.0	9180.0	11	fan	1
10.486389	8.8	3.0	48.0	-50.2	148809.733472	714.0	14.0	5.0	0.0	978.0	3.0	976.0	11	fan	1
10.590874	9.0	3.0	40.0	-50.076923	357158.46418	600.0	13.0	13.0	0.0	1012.0	9.0	998.0	11	fan	1
10.696420	8.5	3.0	60.0	-51.875	220814.058607	885.0	26.0	8.0	0.0	994.0	8.0	9178.0	11	fan	1
10.800920	8.833333	3.0	46.666667	-50.833333	356670.870155	695.0	14.0	12.0	0.0	931.0	12.0	919.0	11	fan	1
10.904938	8.666667	3.0	53.333333	-51.111111	239516.037245	790.0	17.0	9.0	0.0	1015.0	5.0	5102.0	11	fan	1
11.008569	8.888889	3.0	44.444444	-50.222222	255250.912796	663.333333	22.0	9.0	1.0	994.0	7.0	3702.0	11	fan	1
11.113799	8.6	3.0	56.0	-51.0	147544.171642	828.0	15.0	5.0	0.0	942.0	5.0	6414.0	11	fan	1
11.218129	8.888889	3.0	44.444444	-50.111111	267709.008417	663.333333	14.0	9.0	1.0	986.0	8.0	5074.0	11	fan	1
11.322244	9.0	3.0	40.0	-50.4	149007.697005	600.0	13.0	5.0	1.0	986.0	4.0	468.0	11	fan	1
11.451447	9.0	3.0	40.0	-50.0625	360673.499092	600.0	19.0	16.0	1.0	1285.0	12.0	5881.0	11	fan	1
11.551450	7.049315	3.0	79.123288	-52.290411	10624272.533553	967.849315	8.0	365.0	14.0	957.0	9.0	4704.0	11	fan	1
11.660583	7.033113	3.0	79.470199	-52.344371	7945138.774611	971.324503	11.0	302.0	0.0	1055.0	6.0	751.0	11	fan	1
11.761893	8.5	3.0	60.0	-51.7	306505.434727	885.0	11.0	10.0	2.0	967.0	7.0	5568.0	11	fan	1
11.862706	8.857143	3.0	45.714286	-50.142857	185431.139401	681.428571	12.0	7.0	0.0	1004.0	5.0	4581.0	11	fan	1
11.962772	7.088983	3.0	78.305085	-52.194915	6666421.894819	959.936441	12.0	236.0	15.0	905.0	12.0	4780.0	11	fan	1
12.063039	7.002494	3.0	79.950125	-52.389027	22461429.686376	974.532419	0.0	802.0	0.0	811.0	6.0	9.0	11	fan	1
12.179499	7.03533	3.0	79.385561	-52.3149	15808962.218646	970.138249	0.0	651.0	4.0	972.0	13.0	4422.0	11	fan	1
12.286904	8.75	3.0	50.0	-51.125	189022.84509	742.5	5.0	8.0	0.0	874.0	7.0	4961.0	11	fan	1
12.387733	7.073394	3.0	78.53211	-52.266055	9338215.438845	961.238532	17.0	327.0	7.0	876.0	11.0	4653.0	11	fan	1
12.495953	7.092308	3.0	78.153846	-51.969231	1750720.50823	957.692308	21.0	65.0	1.0	1104.0	4.0	1040.0	11	fan	1
12.600677	8.928571	3.0	42.857143	-50.428571	400269.465246	640.714286	17.0	14.0	1.0	1061.0	12.0	5144.0	11	fan	1
12.719345	8.6	3.0	56.0	-51.8	130734.189777	828.0	7.0	5.0	0.0	760.0	5.0	1644.0	11	fan	1
12.836591	8.916667	3.0	43.333333	-50.833333	304880.857139	647.5	13.0	12.0	0.0	1118.0	10.0	4331.0	11	fan	1
12.939060	8.75	3.0	50.0	-50.75	121285.092653	742.5	14.0	4.0	1.0	1086.0	3.0	3216.0	11	fan	1
13.041655	8.846154	3.0	46.153846	-50.230769	378498.420194	687.692308	24.0	13.0	3.0	972.0	9.0	11149.0	11	fan	1
13.202391	8.8	3.0	48.0	-50.8	87099.735344	714.0	9.0	5.0	0.0	1569.0	4.0	9710.0	11	fan	1
13.306491	8.571429	3.0	57.142857	-51.142857	194351.084668	844.285714	11.0	7.0	1.0	1007.0	6.0	5095.0	11	fan	1
13.410894	8.0	3.0	63.529412	-52.0	461863.560849	855.0	15.0	17.0	3.0	1012.0	9.0	5098.0	11	fan	1
