time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	distance	antenna	LoS
7.582074	5.024169	2.993958	78.97281	-63.654079	19466867.40721	769.456193	7.0	662.0	26.0	1089.0	199.0	33397.0	5	horizontal	1
7.682386	5.001538	3.0	77.415385	-63.378462	19129198.06975	752.930769	2.0	650.0	30.0	997.0	185.0	20857.0	5	horizontal	1
7.783078	5.0	3.0	79.351988	-63.584683	19486191.797081	773.195876	2.0	679.0	22.0	998.0	161.0	33108.0	5	horizontal	1
7.883453	5.0	3.0	76.886544	-63.391821	22299747.125513	747.308707	10.0	758.0	45.0	1074.0	184.0	45418.0	5	horizontal	1
7.988179	5.007648	3.0	78.929254	-63.661568	14660241.648509	769.502868	75.0	523.0	29.0	1243.0	149.0	25069.0	5	horizontal	1
8.088582	5.032949	3.0	76.507414	-63.467875	17853901.794596	744.415157	39.0	607.0	32.0	1201.0	162.0	37747.0	5	horizontal	1
8.192857	5.0	3.0	78.507463	-63.462687	11430105.06328	764.328358	60.0	402.0	15.0	1246.0	119.0	33402.0	5	horizontal	1
8.296644	5.013308	3.0	75.513308	-63.31749	14809331.775601	733.887833	42.0	526.0	28.0	1143.0	135.0	21253.0	5	horizontal	1
8.396857	5.0	3.0	79.416058	-63.652555	20288237.767549	773.868613	16.0	685.0	27.0	1162.0	191.0	53852.0	5	horizontal	1
8.498256	5.0	3.0	78.348387	-63.63871	22681960.322245	762.658065	3.0	775.0	26.0	1188.0	208.0	33208.0	5	horizontal	1
8.599243	5.0	3.0	79.101796	-63.636228	19774369.990126	770.568862	27.0	668.0	26.0	1196.0	189.0	21035.0	5	horizontal	1
8.699708	5.011799	3.0	77.522124	-63.560472	19932002.024841	754.513274	14.0	678.0	28.0	1187.0	220.0	53777.0	5	horizontal	1
8.800402	5.008876	3.0	79.64497	-63.705621	19778360.449524	776.671598	29.0	676.0	25.0	1158.0	192.0	61957.0	5	horizontal	1
8.901721	5.010417	3.0	79.722222	-63.664931	16643595.140989	777.734375	33.0	576.0	23.0	1103.0	146.0	29222.0	5	horizontal	1
9.002031	5.004231	3.0	77.461213	-63.479549	20725637.157017	753.533145	2.0	709.0	28.0	1039.0	172.0	29031.0	5	horizontal	1
9.102331	5.004304	3.0	79.483501	-63.596844	20386276.888217	774.770445	12.0	697.0	18.0	1093.0	195.0	33182.0	5	horizontal	1
9.203462	5.027244	3.0	78.205128	-63.783654	18131883.235682	762.379808	5.0	624.0	20.0	1046.0	203.0	45500.0	5	horizontal	1
9.304777	5.011236	3.0	79.550562	-63.653291	18187833.638455	775.786517	18.0	623.0	27.0	1070.0	183.0	25037.0	5	horizontal	1
9.404778	5.021362	3.0	78.878505	-63.64753	22331393.014793	769.185581	21.0	749.0	30.0	1168.0	204.0	49616.0	5	horizontal	1
9.505050	5.0	3.0	79.316689	-63.81866	22400264.656528	772.82523	3.0	761.0	13.0	1161.0	213.0	61853.0	5	horizontal	1
9.605228	5.0	3.0	77.931034	-63.633621	20378345.380964	758.275862	18.0	696.0	27.0	1235.0	185.0	21044.0	5	horizontal	1
9.705671	5.0	3.0	79.00277	-63.614958	21232758.038868	769.529086	16.0	722.0	15.0	1160.0	204.0	33221.0	5	horizontal	1
9.805713	5.005298	3.0	77.192053	-63.536424	22460317.876017	750.754967	11.0	755.0	55.0	1175.0	197.0	20956.0	5	horizontal	1
9.906154	5.007937	3.0	79.68254	-63.756614	22327226.762246	777.02381	8.0	756.0	21.0	1178.0	193.0	20924.0	5	horizontal	1
10.006834	5.0	3.0	77.805643	-63.559561	18539075.141606	756.959248	7.0	638.0	22.0	1056.0	188.0	16824.0	5	horizontal	1
10.106834	5.002597	3.0	79.064935	-63.819481	22858811.54224	770.298701	6.0	770.0	12.0	1209.0	217.0	29127.0	5	horizontal	1
10.207722	5.006098	3.0	76.585366	-63.544715	14446641.795745	744.634146	62.0	492.0	21.0	1170.0	168.0	45753.0	5	horizontal	1
10.308235	5.003247	3.0	79.350649	-63.637987	18083468.803499	773.498377	17.0	616.0	20.0	1212.0	187.0	29289.0	5	horizontal	1
10.409367	5.0	3.0	78.223419	-63.660834	21955031.458939	761.345895	20.0	743.0	33.0	1208.0	209.0	49653.0	5	horizontal	1
10.510124	5.023041	3.0	79.539171	-63.923963	12875775.956258	777.165899	81.0	434.0	19.0	1148.0	125.0	45790.0	5	horizontal	1
10.611120	5.003676	3.0	76.27451	-63.453431	23835473.655147	741.047794	12.0	816.0	27.0	1236.0	222.0	74174.0	5	horizontal	1
10.712524	5.004274	3.0	79.031339	-63.864672	20555579.579326	770.021368	12.0	702.0	20.0	1163.0	216.0	41444.0	5	horizontal	1
10.813413	5.009828	3.0	78.722359	-63.738329	23979194.8862	767.027027	15.0	814.0	28.0	1214.0	191.0	53675.0	5	horizontal	1
10.913714	5.0	3.0	79.23445	-63.832536	18270382.142404	771.961722	11.0	627.0	25.0	1048.0	183.0	29117.0	5	horizontal	1
11.014657	5.0	3.0	78.681319	-63.725275	21133905.201144	766.153846	6.0	728.0	26.0	1113.0	196.0	37275.0	5	horizontal	1
11.116836	5.0	3.0	78.846154	-63.728365	12019311.274581	767.884615	59.0	416.0	14.0	1073.0	109.0	17055.0	5	horizontal	1
11.217226	5.0	3.0	76.901004	-63.608321	20414374.937158	747.460545	7.0	697.0	27.0	1041.0	170.0	33140.0	5	horizontal	1
11.317290	5.0	3.0	79.095023	-63.914027	12989050.635114	770.497738	33.0	442.0	13.0	1013.0	144.0	16968.0	5	horizontal	1
11.417764	5.004862	3.0	77.406807	-63.599676	17823455.282892	752.990276	28.0	617.0	31.0	1037.0	139.0	16835.0	5	horizontal	1
11.519184	5.0	3.0	79.111111	-63.763889	20966722.098022	770.666667	10.0	720.0	17.0	1176.0	215.0	25049.0	5	horizontal	1
11.620009	5.0	3.0	79.317212	-63.70697	20630266.490533	772.830725	5.0	703.0	12.0	1138.0	204.0	33216.0	5	horizontal	1
11.720605	5.022457	2.994716	76.988111	-63.65786	22326233.5451	748.645971	4.0	757.0	24.0	1094.0	165.0	24938.0	5	horizontal	1
11.821811	5.02381	2.994048	78.928571	-63.964286	19422872.433769	768.988095	0.0	672.0	14.0	1091.0	198.0	29106.0	5	horizontal	1
11.925677	5.003008	3.0	75.909774	-63.651128	18963516.847221	737.345865	33.0	665.0	18.0	1142.0	146.0	12808.0	5	horizontal	1
12.026489	5.013966	3.0	78.798883	-63.98324	21018071.642481	767.916201	4.0	716.0	18.0	1072.0	190.0	24927.0	5	horizontal	1
12.127889	5.003937	3.0	76.010499	-63.547244	22255694.769553	738.287402	11.0	762.0	42.0	1099.0	176.0	24955.0	5	horizontal	1
12.229209	5.007143	3.0	79.028571	-63.855714	20525909.691836	770.121429	1.0	700.0	20.0	1096.0	187.0	37280.0	5	horizontal	1
12.365581	5.02651	3.0	78.468336	-63.768778	14608726.585609	765.265096	51.0	679.0	15.0	1445.0	189.0	29042.0	5	horizontal	1
12.466794	5.02805	2.992987	79.719495	-63.976157	20689885.959334	777.335203	16.0	713.0	36.0	1187.0	206.0	29597.0	5	horizontal	1
12.567164	5.020374	2.993209	79.456706	-64.003396	17470215.304919	774.295416	50.0	589.0	22.0	1217.0	146.0	33417.0	5	horizontal	1
12.667387	5.0	3.0	78.007864	-63.775885	22470376.013166	759.082569	12.0	763.0	16.0	1238.0	224.0	49642.0	5	horizontal	1
12.768424	5.003979	3.0	78.779841	-63.793103	22015871.014406	767.367374	4.0	754.0	21.0	1180.0	193.0	8642.0	5	horizontal	1
12.868441	5.0	3.0	79.293478	-63.947011	21817053.712711	772.581522	10.0	736.0	25.0	1184.0	201.0	33247.0	5	horizontal	1
12.969377	5.009396	3.0	78.604027	-63.922148	21730014.718063	765.765101	6.0	745.0	30.0	1205.0	199.0	41444.0	5	horizontal	1
13.072723	5.0	3.0	78.726115	-63.932059	13516211.883551	766.624204	63.0	471.0	11.0	1199.0	134.0	41212.0	5	horizontal	1
13.180962	5.014141	3.0	78.060606	-63.789899	13579635.875129	760.484848	54.0	495.0	34.0	1226.0	180.0	37927.0	5	horizontal	1
13.281324	5.007491	3.0	79.101124	-63.964419	15701499.824385	771.292135	56.0	534.0	20.0	1055.0	141.0	13020.0	5	horizontal	1
13.395232	5.007663	3.0	73.716475	-63.528736	6851161.372373	714.770115	81.0	261.0	23.0	1184.0	87.0	9139.0	5	horizontal	1
13.499696	5.0	3.0	78.951311	-63.838951	7390304.440254	768.988764	75.0	267.0	2.0	1128.0	75.0	13151.0	5	horizontal	1
13.601177	5.007286	3.0	78.251366	-63.952641	15867029.445046	762.349727	37.0	549.0	10.0	1104.0	162.0	33333.0	5	horizontal	1
13.701268	5.003886	3.0	78.963731	-63.935233	22779562.9447	769.294041	7.0	772.0	15.0	1207.0	209.0	49604.0	5	horizontal	1
13.801664	5.005602	3.0	78.59944	-63.908964	21114085.069627	765.546218	14.0	714.0	26.0	1161.0	198.0	45528.0	5	horizontal	1
13.905624	5.049261	3.0	77.044335	-64.009852	5820901.184754	753.768473	102.0	203.0	10.0	1280.0	59.0	27840.0	5	horizontal	1
14.020847	5.239316	3.0	71.111111	-63.589744	2990695.688629	698.333333	134.0	117.0	22.0	1415.0	37.0	7341.0	5	horizontal	1
14.121698	5.025	3.0	79.0	-63.9275	11757875.739473	770.625	81.0	400.0	38.0	1147.0	125.0	33543.0	5	horizontal	1
14.221818	5.0	3.0	78.078603	-63.889374	20157970.968823	759.825328	7.0	687.0	25.0	1122.0	188.0	12754.0	5	horizontal	1
14.322071	5.001497	3.0	79.341317	-63.907186	19531601.842714	773.151198	11.0	668.0	24.0	1021.0	176.0	41338.0	5	horizontal	1
14.422160	5.0	3.0	78.035714	-63.950893	19761545.499001	759.375	2.0	672.0	12.0	1092.0	193.0	20914.0	5	horizontal	1
14.522482	5.0	3.0	79.193798	-63.906977	18717894.85524	771.534884	6.0	645.0	6.0	1013.0	190.0	29045.0	5	horizontal	1
14.622995	5.009375	3.0	77.34375	-63.845312	18614812.156525	752.41875	6.0	640.0	14.0	1050.0	182.0	37289.0	5	horizontal	1
14.723134	5.0	3.0	79.104895	-64.015385	21097966.438002	770.601399	2.0	715.0	19.0	1077.0	197.0	20862.0	5	horizontal	1
14.823761	5.00313	3.0	77.183099	-63.719875	18625693.688961	750.56338	1.0	639.0	19.0	1020.0	181.0	16787.0	5	horizontal	1
14.924187	5.004458	3.0	79.643388	-64.096582	19683732.333981	776.456166	0.0	673.0	22.0	1092.0	198.0	33210.0	5	horizontal	1
15.024471	5.022329	3.0	79.106858	-64.015949	18256953.885086	771.626794	8.0	627.0	30.0	1083.0	205.0	29159.0	5	horizontal	1
15.124850	5.0	3.0	79.078947	-64.090461	17848312.65388	770.328947	0.0	608.0	8.0	1053.0	186.0	16838.0	5	horizontal	1
15.225078	5.004505	3.0	78.078078	-64.039039	19622789.339243	760.022523	2.0	666.0	15.0	1126.0	211.0	53725.0	5	horizontal	1
15.326047	5.003231	3.0	79.870759	-63.969305	18154381.171924	778.788368	54.0	619.0	23.0	1167.0	165.0	25153.0	5	horizontal	1
15.427117	5.003165	3.0	79.493671	-63.996835	18461412.425309	774.825949	45.0	632.0	18.0	1130.0	193.0	29182.0	5	horizontal	1
15.527667	5.0	3.0	78.985314	-63.981308	21967049.783356	769.345794	5.0	749.0	33.0	1218.0	217.0	41465.0	5	horizontal	1
15.627803	5.001319	3.0	77.6781	-63.887863	22529844.81821	755.67942	22.0	758.0	23.0	1252.0	210.0	29188.0	5	horizontal	1
