time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.100999	9.0	2.0	80.0	-64.9683	5609320.0	866.0	3.0	189.0	1.0	1375.0	124.0	50378.0	0.0	8	left	1
8.201722	9.0	2.0	80.0	-64.9577	6168220.0	866.0	2.0	213.0	3.0	1249.0	137.0	42012.0	0.0	8	left	1
8.301939	9.0	2.0	80.0	-64.8158	6753870.0	866.0	0.0	228.0	9.0	1255.0	146.0	50168.0	0.0	8	left	1
8.402566	9.0	2.0	80.0	-64.922	6343670.0	866.0	0.0	218.0	2.0	1224.0	144.0	46091.0	0.0	8	left	1
8.502652	5.50973	2.92389	80.0	-60.069	16745800.0	806.563	44.0	565.0	24.0	1196.0	70.0	37526.0	0.0	8	left	1
8.603095	5.0	3.0	80.0	-59.4231	35255300.0	780.0	3.0	1196.0	2.0	1259.0	20.0	65.0	0.0	8	left	1
8.703102	6.18786	2.70968	80.0	-61.1309	15598400.0	807.558	15.0	527.0	9.0	1222.0	113.0	41629.0	0.0	8	left	1
8.803149	8.9881	2.00595	80.0	-65.0238	4921750.0	866.649	2.0	168.0	1.0	1238.0	119.0	42085.0	0.0	8	left	1
8.903576	9.0	2.0	80.0	-65.1788	5362180.0	866.0	3.0	179.0	0.0	1235.0	124.0	62459.0	0.0	8	left	1
9.003985	8.9901	2.00495	80.0	-65.0545	5848230.0	866.54	1.0	202.0	3.0	1244.0	143.0	25629.0	0.0	8	left	1
9.104525	9.0	2.0	80.0	-64.9306	6333140.0	866.0	0.0	216.0	4.0	1220.0	141.0	25591.0	0.0	8	left	1
9.205120	5.46444	2.88389	80.0	-60.1364	20407200.0	789.985	14.0	689.0	11.0	1239.0	77.0	16952.0	0.0	8	left	1
9.305301	5.10424	2.99879	80.0	-59.6242	24366000.0	789.795	24.0	825.0	13.0	1281.0	43.0	16853.0	0.0	8	left	1
9.406602	5.09125	2.99877	80.0	-59.5906	23374600.0	788.522	36.0	811.0	22.0	1110.0	43.0	8514.0	0.0	8	left	1
9.506744	7.22619	2.44345	80.0	-62.5595	9891730.0	827.863	2.0	336.0	3.0	1250.0	123.0	45972.0	0.0	8	left	1
9.607183	8.99015	2.00493	80.0	-64.9458	6086680.0	866.537	2.0	203.0	5.0	1258.0	144.0	66588.0	0.0	8	left	1
9.707183	8.99057	2.00472	80.0	-64.9764	6227440.0	866.514	1.0	212.0	2.0	1249.0	145.0	46079.0	0.0	8	left	1
9.807606	8.99024	2.00488	80.0	-65.0537	6044650.0	866.532	2.0	205.0	2.0	1229.0	151.0	74780.0	0.0	8	left	1
9.908602	8.54404	2.22798	80.0	-64.2487	5597880.0	890.85	15.0	193.0	9.0	1230.0	124.0	25601.0	0.0	8	left	1
10.008623	5.02956	3.0	80.0	-59.5074	30128000.0	782.882	28.0	1015.0	12.0	1218.0	23.0	12526.0	0.0	8	left	1
10.109903	5.01349	2.99916	80.0	-59.5067	34809300.0	781.059	7.0	1186.0	7.0	1223.0	26.0	12331.0	0.0	8	left	1
10.209906	5.00345	2.99914	80.0	-59.5371	34583000.0	780.074	11.0	1160.0	15.0	1198.0	17.0	57.0	0.0	8	left	1
10.310033	5.00314	2.99921	80.0	-59.5342	37661600.0	780.068	1.0	1273.0	1.0	1301.0	13.0	4121.0	0.0	8	left	1
10.410574	5.0034	2.99915	80.0	-59.5573	34697700.0	780.073	0.0	1177.0	2.0	1198.0	16.0	4120.0	0.0	8	left	1
10.510802	8.62055	2.09486	80.0	-64.5771	7345060.0	857.842	3.0	253.0	4.0	1256.0	148.0	66541.0	0.0	8	left	1
10.611669	9.0	2.0	80.0	-65.1337	5866950.0	866.0	0.0	202.0	2.0	1260.0	132.0	29733.0	0.0	8	left	1
10.712060	9.0	2.0	80.0	-65.0553	6357840.0	866.0	3.0	217.0	1.0	1239.0	149.0	50142.0	0.0	8	left	1
10.813387	9.0	2.0	80.0	-65.0734	5282870.0	866.0	7.0	177.0	1.0	1237.0	124.0	54342.0	0.0	8	left	1
10.914117	7.09091	2.95455	80.0	-61.7727	2529470.0	970.045	49.0	88.0	24.0	1195.0	61.0	46187.0	0.0	8	left	1
11.015256	5.14747	3.0	80.0	-59.6805	19161800.0	794.378	36.0	651.0	30.0	1187.0	45.0	25145.0	0.0	8	left	1
11.116060	5.03074	2.99231	80.0	-59.585	34407000.0	780.661	2.0	1171.0	1.0	1268.0	26.0	4165.0	0.0	8	left	1
