time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	distance	antenna	LoS
7.905312	8.44186	2.04186	79.627907	-62.637209	6156889.584499	825.260465	3.0	215.0	6.0	853.0	91.0	12932.0	9	left	1
8.006452	8.678322	2.118881	76.923077	-62.090909	4043861.755289	834.223776	27.0	143.0	11.0	837.0	90.0	21315.0	9	left	1
8.108044	6.974359	2.975474	80.0	-59.412486	25856051.747028	965.313266	105.0	897.0	227.0	895.0	115.0	41055.0	9	left	1
8.209400	6.646532	3.0	78.881432	-59.071588	25854231.140472	925.855705	59.0	894.0	172.0	957.0	100.0	20718.0	9	left	1
8.310234	7.0	3.0	80.0	-59.436604	26165456.689699	975.0	51.0	907.0	130.0	1016.0	142.0	49391.0	9	left	1
8.410490	6.996625	3.0	79.820022	-59.415073	25879766.286578	972.485939	71.0	889.0	153.0	995.0	125.0	24835.0	9	left	1
8.510641	6.992647	3.0	79.705882	-59.477022	32124214.302282	970.808824	60.0	1088.0	257.0	1032.0	102.0	16585.0	9	left	1
8.611314	6.621567	3.0	79.593082	-59.051882	28620331.818006	933.296033	63.0	983.0	189.0	978.0	80.0	8378.0	9	left	1
8.712356	6.996929	3.0	79.877175	-59.538383	28393583.419065	973.249744	65.0	977.0	169.0	1034.0	117.0	41188.0	9	left	1
8.812825	7.0	3.0	79.913043	-59.567391	26931428.637234	973.858696	43.0	920.0	185.0	961.0	89.0	12514.0	9	left	1
8.913736	7.0	3.0	79.862069	-59.67931	25083491.267645	973.189655	47.0	870.0	159.0	892.0	91.0	16565.0	9	left	1
9.013767	6.976866	3.0	79.074658	-59.525762	27918471.771585	961.81388	83.0	951.0	224.0	947.0	122.0	41181.0	9	left	1
9.114216	7.0	3.0	79.432624	-59.513002	24474531.206332	967.553191	38.0	846.0	128.0	932.0	108.0	16598.0	9	left	1
9.214349	6.720044	3.0	78.736383	-59.126362	26688544.888277	934.379085	90.0	918.0	180.0	943.0	103.0	32972.0	9	left	1
9.314431	5.029724	3.0	78.81104	-57.387473	27417680.562604	768.853503	14.0	942.0	67.0	910.0	12.0	36.0	9	left	1
9.414782	6.075693	3.0	79.872068	-58.63113	27310027.184528	883.36887	30.0	938.0	101.0	976.0	85.0	16528.0	9	left	1
9.514996	6.976109	3.0	78.930603	-59.527873	25700770.98062	960.385666	52.0	879.0	213.0	888.0	103.0	28889.0	9	left	1
9.615198	6.997845	3.0	79.913793	-59.588362	26889699.848439	973.771552	41.0	928.0	191.0	958.0	109.0	24802.0	9	left	1
9.716397	6.982398	3.0	79.29593	-59.526953	26313307.918859	964.966997	36.0	909.0	145.0	967.0	89.0	12490.0	9	left	1
9.817394	6.99359	3.0	79.57265	-59.596154	27192062.545073	969.102564	47.0	936.0	193.0	954.0	107.0	16595.0	9	left	1
9.917517	6.949816	3.0	78.971848	-59.458996	23610797.428842	957.962056	48.0	817.0	147.0	932.0	125.0	20744.0	9	left	1
10.017637	6.990576	3.0	79.623037	-59.631414	27914369.240791	969.628272	48.0	955.0	161.0	987.0	115.0	16577.0	9	left	1
10.118884	6.986667	3.0	79.466667	-59.526667	25813190.38283	967.4	38.0	900.0	177.0	952.0	118.0	8421.0	9	left	1
10.219622	6.993421	3.0	79.649123	-59.628289	26643445.125072	970.098684	67.0	912.0	202.0	939.0	109.0	12517.0	9	left	1
10.320377	6.985366	3.0	79.317073	-59.586585	24034251.444409	965.378049	51.0	820.0	155.0	895.0	106.0	16615.0	9	left	1
10.420589	6.923935	3.0	79.959432	-59.490872	29116659.257262	967.104462	50.0	986.0	169.0	1038.0	100.0	8413.0	9	left	1
10.520924	5.590766	3.0	79.5383	-57.979014	27790009.062868	832.145855	39.0	953.0	142.0	935.0	48.0	12417.0	9	left	1
10.621390	5.638277	2.998998	79.759519	-58.160321	29038350.578576	839.034068	29.0	998.0	96.0	1009.0	50.0	8297.0	9	left	1
10.721925	6.985138	3.0	79.490446	-59.516985	27169882.472434	967.643312	70.0	942.0	173.0	1013.0	115.0	12531.0	9	left	1
10.823076	6.978873	3.0	79.577465	-59.661972	24115511.095511	968.503521	41.0	852.0	133.0	908.0	115.0	32959.0	9	left	1
10.924184	6.908578	3.0	78.148984	-59.384876	25703635.747787	946.591422	41.0	886.0	171.0	946.0	103.0	8423.0	9	left	1
11.024920	6.976546	2.997868	79.360341	-59.599147	27069554.400024	965.250533	45.0	938.0	148.0	994.0	115.0	28876.0	9	left	1
11.125256	6.920482	3.0	78.409639	-59.438554	23918105.858572	950.548193	32.0	830.0	110.0	915.0	102.0	28868.0	9	left	1
11.225832	6.787056	3.0	79.164927	-59.412317	27908786.885091	945.469729	65.0	958.0	163.0	957.0	92.0	28835.0	9	left	1
11.326844	6.332986	3.0	78.293444	-58.798127	27597005.222062	891.992716	52.0	961.0	121.0	978.0	74.0	4234.0	9	left	1
11.427885	6.980993	3.0	79.619852	-59.615628	27189828.209428	969.155227	41.0	947.0	154.0	995.0	121.0	32970.0	9	left	1
11.529745	6.929495	3.0	78.589894	-59.366627	24329731.950899	953.319624	49.0	851.0	164.0	864.0	90.0	20657.0	9	left	1
11.629746	6.394663	3.0	79.494382	-58.824438	20371259.080337	910.59691	25.0	712.0	129.0	672.0	59.0	4188.0	9	left	1
11.730744	6.507353	3.0	78.613445	-58.920168	27279693.043501	912.242647	55.0	952.0	165.0	955.0	84.0	28840.0	9	left	1
11.831677	6.131526	3.0	79.718876	-58.716867	28708918.707473	886.792169	40.0	996.0	149.0	987.0	78.0	24715.0	9	left	1
11.932872	6.970186	3.0	78.708075	-59.580124	23276025.128282	956.701863	40.0	805.0	122.0	925.0	106.0	24816.0	9	left	1
12.033332	6.608195	3.0	79.743918	-59.163892	22570420.34177	934.110115	40.0	781.0	121.0	872.0	97.0	24791.0	9	left	1
12.134899	7.0	3.0	79.54597	-59.572077	25331960.602272	969.040863	48.0	881.0	164.0	949.0	113.0	41182.0	9	left	1
12.235247	7.0	3.0	79.886525	-59.721986	20117244.261489	973.510638	32.0	705.0	105.0	760.0	87.0	4268.0	9	left	1
