time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	distance	antenna	LoS
7.302196	7.0	3.0	80.0	-59.813725	2904162.558437	975.0	5.0	102.0	2.0	1265.0	77.0	17550.0	2	vertical	0
7.404227	7.0	3.0	80.0	-59.802198	2647989.431172	975.0	0.0	91.0	2.0	1292.0	62.0	9398.0	2	vertical	0
7.506164	7.0	3.0	80.0	-59.614679	3183712.501351	975.0	0.0	109.0	1.0	1248.0	79.0	17522.0	2	vertical	0
7.607173	7.0	3.0	80.0	-59.594595	3199794.300776	975.0	0.0	111.0	1.0	1204.0	86.0	13367.0	2	vertical	0
7.709944	7.0	3.0	80.0	-59.627273	3217134.281295	975.0	3.0	110.0	4.0	1280.0	77.0	21668.0	2	vertical	0
7.812493	7.0	3.0	80.0	-59.594059	2981010.146249	975.0	4.0	101.0	0.0	1215.0	75.0	9307.0	2	vertical	0
7.916215	7.0	3.0	80.0	-59.649485	2828054.358627	975.0	1.0	97.0	1.0	1269.0	72.0	17560.0	2	vertical	0
8.016236	7.0	3.0	80.0	-59.859813	3137194.067815	975.0	0.0	107.0	1.0	1190.0	78.0	21561.0	2	vertical	0
8.118590	7.0	3.0	80.0	-59.794326	4051460.318606	975.0	0.0	141.0	2.0	1271.0	98.0	21618.0	2	vertical	0
8.220610	7.0	3.0	80.0	-59.606061	2802057.513547	975.0	2.0	99.0	1.0	1266.0	73.0	9355.0	2	vertical	0
8.321261	7.0	3.0	80.0	-59.680328	3624530.04358	975.0	2.0	122.0	1.0	1196.0	91.0	13365.0	2	vertical	0
8.424637	7.0	3.0	80.0	-59.76	3619432.013528	975.0	0.0	125.0	0.0	1309.0	88.0	5279.0	2	vertical	0
8.525773	7.0	3.0	80.0	-59.625	2377856.914211	975.0	0.0	80.0	3.0	1234.0	61.0	17542.0	2	vertical	0
8.626777	7.0	3.0	80.0	-59.730769	3088643.196407	975.0	0.0	104.0	0.0	1276.0	74.0	17556.0	2	vertical	0
8.730039	7.0	3.0	80.0	-59.700855	3411602.829381	975.0	0.0	117.0	1.0	1278.0	85.0	17548.0	2	vertical	0
8.830199	7.0	3.0	80.0	-59.762295	3597852.566319	975.0	2.0	122.0	3.0	1100.0	90.0	17363.0	2	vertical	0
8.930694	7.0	3.0	80.0	-59.712766	2750711.378092	975.0	4.0	94.0	1.0	1223.0	66.0	21611.0	2	vertical	0
9.031328	7.0	3.0	80.0	-59.784946	2671600.274573	975.0	0.0	93.0	2.0	1037.0	70.0	21433.0	2	vertical	0
9.131558	7.0	3.0	80.0	-59.77907	2556972.315546	975.0	2.0	86.0	1.0	1055.0	65.0	5061.0	2	vertical	0
9.233671	7.0	3.0	80.0	-59.788618	3484436.36768	975.0	7.0	123.0	7.0	1093.0	80.0	21461.0	2	vertical	0
9.334904	7.0	3.0	80.0	-59.725	3498091.859643	975.0	0.0	120.0	4.0	1298.0	95.0	5274.0	2	vertical	0
9.436665	7.0	3.0	80.0	-59.814286	4059244.155287	975.0	0.0	140.0	3.0	1254.0	85.0	17503.0	2	vertical	0
9.538956	7.0	3.0	80.0	-59.80916	3794234.352203	975.0	0.0	131.0	0.0	1256.0	91.0	13412.0	2	vertical	0
9.643786	7.0	3.0	80.0	-59.856	3540458.74233	975.0	0.0	125.0	0.0	1311.0	85.0	22690.0	2	vertical	0
9.744169	7.0	3.0	80.0	-59.684211	2875269.970602	975.0	0.0	95.0	0.0	1202.0	66.0	12372.0	2	vertical	0
9.844966	7.0	3.0	80.0	-59.833333	3387679.315062	975.0	4.0	114.0	2.0	1245.0	78.0	17518.0	2	vertical	0
9.945974	7.0	3.0	80.0	-59.775	3520601.388929	975.0	10.0	120.0	2.0	1215.0	95.0	17481.0	2	vertical	0
10.050138	7.0	3.0	80.0	-59.824818	3919426.00796	975.0	0.0	137.0	1.0	1207.0	92.0	13359.0	2	vertical	0
10.150527	7.0	3.0	80.0	-59.579439	3065843.933763	975.0	0.0	107.0	0.0	1229.0	86.0	5220.0	2	vertical	0
10.250803	7.0	3.0	80.0	-59.690476	3686397.964778	975.0	0.0	126.0	2.0	1176.0	85.0	17435.0	2	vertical	0
10.352741	7.0	3.0	80.0	-59.788136	3413103.441341	975.0	4.0	118.0	3.0	1292.0	90.0	29851.0	2	vertical	0
10.453657	7.0	3.0	80.0	-59.858407	3308560.582422	975.0	3.0	113.0	2.0	1191.0	81.0	34875.0	2	vertical	0
10.556203	7.0	3.0	80.0	-59.72449	2890829.286283	975.0	0.0	98.0	1.0	1276.0	67.0	16536.0	2	vertical	0
10.656599	7.0	3.0	80.0	-59.814159	3295418.969411	975.0	0.0	113.0	2.0	1171.0	83.0	29732.0	2	vertical	0
10.759592	7.0	3.0	80.0	-59.752475	2865031.442545	975.0	15.0	101.0	2.0	1262.0	74.0	25870.0	2	vertical	0
10.859656	7.0	3.0	80.0	-59.611111	3226965.51295	975.0	0.0	108.0	2.0	1214.0	77.0	17363.0	2	vertical	0
10.960951	7.0	3.0	80.0	-59.758065	3692200.598173	975.0	8.0	124.0	3.0	1216.0	75.0	13383.0	2	vertical	0
11.061922	7.0	3.0	80.0	-59.811966	3415331.360579	975.0	0.0	117.0	1.0	1064.0	82.0	13237.0	2	vertical	0
11.163143	7.0	3.0	80.0	-59.701923	2889342.920085	975.0	1.0	104.0	1.0	1102.0	81.0	13288.0	2	vertical	0
11.263588	7.0	3.0	80.0	-59.818182	2462359.122828	975.0	0.0	88.0	1.0	979.0	67.0	17277.0	2	vertical	0
11.363627	7.0	3.0	80.0	-59.898876	2593619.644096	975.0	1.0	89.0	3.0	1079.0	63.0	13279.0	2	vertical	0
11.464640	7.0	3.0	80.0	-59.717647	2356615.474173	975.0	1.0	85.0	0.0	1061.0	63.0	5074.0	2	vertical	0
11.564665	7.0	3.0	80.0	-59.71134	2843449.365135	975.0	5.0	97.0	0.0	1018.0	79.0	37784.0	2	vertical	0
11.664968	7.0	3.0	80.0	-59.74	2881975.912164	975.0	2.0	100.0	1.0	1010.0	70.0	21391.0	2	vertical	0
11.767828	7.0	3.0	80.0	-59.845361	2764624.592168	975.0	0.0	97.0	3.0	1080.0	68.0	9178.0	2	vertical	0
11.868033	7.0	3.0	80.0	-59.75	3103712.733328	975.0	0.0	108.0	0.0	1006.0	84.0	13186.0	2	vertical	0
11.968607	7.0	3.0	80.0	-59.739837	3657828.445794	975.0	8.0	123.0	2.0	1383.0	93.0	21747.0	2	vertical	0
12.072379	7.0	3.0	80.0	-59.751479	4787437.152492	975.0	8.0	169.0	1.0	1498.0	112.0	17713.0	2	vertical	0
12.173646	7.0	3.0	80.0	-59.8	3708248.506152	975.0	1.0	125.0	2.0	1440.0	94.0	17700.0	2	vertical	0
12.274752	7.0	3.0	80.0	-59.8	4435137.666923	975.0	0.0	150.0	2.0	1480.0	102.0	21812.0	2	vertical	0
12.378778	7.0	3.0	80.0	-59.789474	3790025.172692	975.0	0.0	133.0	2.0	1526.0	94.0	38261.0	2	vertical	0
12.480126	7.0	3.0	80.0	-59.824427	3903130.654629	975.0	2.0	131.0	4.0	1438.0	87.0	5410.0	2	vertical	0
12.580896	7.0	3.0	80.0	-59.801325	4421273.409346	975.0	0.0	151.0	1.0	1464.0	108.0	9504.0	2	vertical	0
12.681390	7.0	3.0	80.0	-59.8	2641900.503779	975.0	0.0	90.0	0.0	1370.0	71.0	5375.0	2	vertical	0
12.782863	7.0	3.0	80.0	-59.794118	2997795.753489	975.0	0.0	102.0	0.0	1305.0	75.0	9396.0	2	vertical	0
12.883453	7.0	3.0	80.0	-59.740157	3810339.875398	975.0	0.0	127.0	2.0	1366.0	90.0	9437.0	2	vertical	0
12.984771	7.0	3.0	78.518519	-59.659259	3966451.430152	955.555556	2.0	135.0	7.0	1411.0	96.0	17662.0	2	vertical	0
13.085099	7.0	3.0	80.0	-59.882353	3587280.052065	975.0	1.0	119.0	1.0	1420.0	78.0	17687.0	2	vertical	0
