time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.100331	7.0	3.0	80.0	-59.2441	3775360.0	975.0	0.0	127.0	2.0	1437.0	87.0	21837.0	0.0	2	vertical	0
8.200589	7.0	3.0	80.0	-59.1339	3360390.0	975.0	0.0	112.0	0.0	1184.0	92.0	9279.0	0.0	2	vertical	0
8.301723	7.0	3.0	80.0	-59.0098	2933130.0	975.0	3.0	102.0	4.0	1229.0	71.0	17543.0	0.0	2	vertical	0
8.403093	7.0	3.0	80.0	-59.2549	3031530.0	975.0	1.0	102.0	2.0	1245.0	81.0	33883.0	0.0	2	vertical	0
8.503566	7.0	3.0	80.0	-59.1714	3017060.0	975.0	0.0	105.0	2.0	1185.0	76.0	13348.0	0.0	2	vertical	0
8.604048	7.0	3.0	80.0	-59.1712	3320290.0	975.0	0.0	111.0	1.0	1254.0	78.0	9357.0	0.0	2	vertical	0
8.704847	7.0	3.0	80.0	-59.0522	3434420.0	975.0	0.0	115.0	3.0	1196.0	89.0	17445.0	0.0	2	vertical	0
8.805671	7.0	3.0	80.0	-59.1635	3079520.0	975.0	0.0	104.0	0.0	1196.0	80.0	29768.0	0.0	2	vertical	0
8.906262	7.0	3.0	80.0	-59.1856	2841670.0	975.0	0.0	97.0	3.0	1257.0	67.0	5272.0	0.0	2	vertical	0
9.006320	7.0	3.0	80.0	-59.1683	2934910.0	975.0	0.0	101.0	0.0	1211.0	81.0	17486.0	0.0	2	vertical	0
9.107157	7.0	3.0	80.0	-59.2604	2803760.0	975.0	0.0	96.0	6.0	1181.0	64.0	25681.0	0.0	2	vertical	0
9.208552	7.0	3.0	80.0	-59.1121	3094340.0	975.0	1.0	107.0	5.0	1210.0	79.0	29742.0	0.0	2	vertical	0
9.309743	7.0	3.0	80.0	-59.2604	2853460.0	975.0	0.0	96.0	3.0	1213.0	74.0	1148.0	0.0	2	vertical	0
9.409879	7.0	3.0	80.0	-59.2389	3348370.0	975.0	1.0	113.0	2.0	1219.0	83.0	13384.0	0.0	2	vertical	0
9.509949	7.0	3.0	80.0	-59.1376	3227830.0	975.0	3.0	109.0	3.0	1250.0	80.0	21608.0	0.0	2	vertical	0
9.610310	7.0	3.0	80.0	-59.1402	3141320.0	975.0	0.0	107.0	2.0	1244.0	87.0	17563.0	0.0	2	vertical	0
9.710418	7.0	3.0	80.0	-59.466	3055460.0	975.0	0.0	103.0	0.0	1269.0	74.0	9359.0	0.0	2	vertical	0
9.812189	7.0	3.0	80.0	-59.2987	2197530.0	975.0	4.0	77.0	4.0	1230.0	60.0	13436.0	0.0	2	vertical	0
9.912211	7.0	3.0	80.0	-59.3482	3216710.0	975.0	0.0	112.0	3.0	1272.0	83.0	17557.0	0.0	2	vertical	0
10.012222	7.0	3.0	80.0	-59.1444	2715680.0	975.0	0.0	90.0	1.0	1263.0	68.0	21611.0	0.0	2	vertical	0
10.112635	7.0	3.0	80.0	-59.2407	3200350.0	975.0	0.0	108.0	2.0	1245.0	81.0	13457.0	0.0	2	vertical	0
10.213232	7.0	3.0	80.0	-59.3636	3534840.0	975.0	0.0	121.0	1.0	1249.0	87.0	21628.0	0.0	2	vertical	0
10.313452	7.0	3.0	80.0	-59.225	3532600.0	975.0	0.0	120.0	1.0	1293.0	90.0	33926.0	0.0	2	vertical	0
10.414617	7.0	3.0	80.0	-59.3645	3101020.0	975.0	1.0	107.0	1.0	1250.0	80.0	33921.0	0.0	2	vertical	0
10.515780	7.0	3.0	80.0	-59.4078	2994110.0	975.0	0.0	103.0	1.0	1241.0	78.0	5245.0	0.0	2	vertical	0
10.616295	7.0	3.0	80.0	-59.2927	3629990.0	975.0	0.0	123.0	4.0	1275.0	83.0	9341.0	0.0	2	vertical	0
10.716602	7.0	3.0	80.0	-59.1709	3542040.0	975.0	0.0	117.0	0.0	1264.0	85.0	33914.0	0.0	2	vertical	0
10.816641	7.0	3.0	80.0	-59.4211	2839860.0	975.0	0.0	95.0	4.0	1262.0	68.0	26784.0	0.0	2	vertical	0
10.917397	7.0	3.0	80.0	-59.2683	2374610.0	975.0	2.0	82.0	1.0	1221.0	63.0	12389.0	0.0	2	vertical	0
11.017481	7.0	3.0	80.0	-59.4459	2157800.0	975.0	0.0	74.0	0.0	1279.0	59.0	5272.0	0.0	2	vertical	0
11.118049	7.0	3.0	80.0	-59.3793	2562480.0	975.0	0.0	87.0	1.0	1251.0	65.0	17553.0	0.0	2	vertical	0
11.218684	7.0	3.0	80.0	-59.2667	2684260.0	975.0	1.0	90.0	2.0	1220.0	67.0	25802.0	0.0	2	vertical	0
11.319128	7.0	3.0	80.0	-59.2747	2734330.0	975.0	0.0	91.0	2.0	1250.0	69.0	25654.0	0.0	2	vertical	0
11.419632	7.0	3.0	80.0	-59.3711	2873910.0	975.0	1.0	97.0	2.0	1141.0	71.0	13359.0	0.0	2	vertical	0
11.520137	7.0	3.0	80.0	-59.4412	2967850.0	975.0	0.0	102.0	3.0	1063.0	78.0	17349.0	0.0	2	vertical	0
11.620639	7.0	3.0	80.0	-59.1556	2553450.0	975.0	0.0	90.0	3.0	1015.0	64.0	5022.0	0.0	2	vertical	0
11.721921	7.0	3.0	80.0	-59.0513	2345270.0	975.0	0.0	78.0	1.0	1004.0	65.0	29583.0	0.0	2	vertical	0
11.822349	7.0	3.0	80.0	-59.233	3030770.0	975.0	0.0	103.0	1.0	1245.0	77.0	9356.0	0.0	2	vertical	0
11.922441	7.0	3.0	80.0	-59.1346	3116660.0	975.0	0.0	104.0	6.0	1405.0	71.0	17625.0	0.0	2	vertical	0
12.023540	7.0	3.0	80.0	-59.1417	3516760.0	975.0	0.0	120.0	1.0	1460.0	91.0	17793.0	0.0	2	vertical	0
12.123793	7.0	3.0	80.0	-59.3761	3468550.0	975.0	0.0	117.0	3.0	1440.0	83.0	14992.0	0.0	2	vertical	0
12.224202	7.0	3.0	80.0	-59.2661	3275100.0	975.0	0.0	109.0	3.0	1442.0	79.0	12177.0	0.0	2	vertical	0
12.325285	7.0	3.0	80.0	-59.2458	3455280.0	975.0	0.0	118.0	4.0	1433.0	82.0	13664.0	0.0	2	vertical	0
12.425581	7.0	3.0	80.0	-59.2109	3776550.0	975.0	0.0	128.0	2.0	1478.0	100.0	30013.0	0.0	2	vertical	0
12.525956	7.0	3.0	80.0	-59.0896	3988920.0	975.0	7.0	134.0	0.0	1452.0	98.0	17731.0	0.0	2	vertical	0
12.625992	7.0	3.0	80.0	-58.972	3165430.0	975.0	0.0	107.0	1.0	1435.0	85.0	29995.0	0.0	2	vertical	0
12.726158	7.0	3.0	80.0	-59.1838	4043750.0	975.0	0.0	136.0	0.0	1476.0	98.0	13592.0	0.0	2	vertical	0
12.826168	7.0	3.0	80.0	-59.2541	3677150.0	975.0	5.0	122.0	2.0	1443.0	93.0	21834.0	0.0	2	vertical	0
12.926622	7.0	3.0	80.0	-59.32	3813360.0	975.0	0.0	125.0	3.0	1457.0	101.0	13610.0	0.0	2	vertical	0
13.026697	7.0	3.0	80.0	-59.1579	3456460.0	975.0	1.0	114.0	2.0	1427.0	83.0	1337.0	0.0	2	vertical	0
13.128186	7.0	3.0	80.0	-59.2232	3347330.0	975.0	0.0	112.0	3.0	1474.0	87.0	13653.0	0.0	2	vertical	0
13.228520	7.0	3.0	80.0	-59.4206	3216400.0	975.0	1.0	107.0	0.0	1462.0	77.0	21826.0	0.0	2	vertical	0
13.329315	7.0	3.0	80.0	-59.184	3650470.0	975.0	0.0	125.0	1.0	1460.0	92.0	25913.0	0.0	2	vertical	0
13.429876	7.0	3.0	80.0	-59.2783	3425850.0	975.0	0.0	115.0	1.0	1461.0	81.0	13645.0	0.0	2	vertical	0
13.530861	7.0	3.0	80.0	-59.1364	3273290.0	975.0	0.0	110.0	0.0	1483.0	86.0	34129.0	0.0	2	vertical	0
13.631255	7.0	3.0	80.0	-59.2762	3123330.0	975.0	0.0	105.0	2.0	1325.0	85.0	17608.0	0.0	2	vertical	0
13.732367	7.0	3.0	80.0	-59.371	3683760.0	975.0	0.0	124.0	1.0	1378.0	92.0	17636.0	0.0	2	vertical	0
13.832539	7.0	3.0	80.0	-59.1653	3670640.0	975.0	0.0	121.0	1.0	1465.0	95.0	29982.0	0.0	2	vertical	0
13.932754	7.0	3.0	80.0	-59.2688	2741630.0	975.0	0.0	93.0	3.0	1436.0	73.0	9582.0	0.0	2	vertical	0
