time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	distance	antenna	LoS
7.617837	7.0	3.0	80.0	-57.142857	188012.78193	975.0	1.0	7.0	0.0	1423.0	7.0	5738.0	5	vertical	0
7.746587	7.0	3.0	80.0	-57.333333	72372.78518	975.0	0.0	3.0	0.0	1581.0	3.0	5454.0	5	vertical	0
7.861765	7.0	3.0	80.0	-57.2	134799.245756	975.0	0.0	5.0	0.0	1314.0	5.0	13608.0	5	vertical	0
7.963389	7.0	3.0	80.0	-57.5	122411.866039	975.0	0.0	4.0	0.0	1250.0	4.0	5324.0	5	vertical	0
8.071256	7.0	3.0	80.0	-57.0	187676.643897	975.0	0.0	7.0	0.0	1337.0	7.0	13622.0	5	vertical	0
8.175877	7.0	3.0	80.0	-57.5	59337.978939	975.0	0.0	2.0	0.0	1272.0	2.0	3340.0	5	vertical	0
8.291994	7.0	3.0	80.0	-56.8	133812.687849	975.0	0.0	5.0	1.0	1407.0	4.0	7056.0	5	vertical	0
8.468273	7.0	3.0	80.0	-56.833333	97198.390555	975.0	0.0	6.0	1.0	2183.0	5.0	2760.0	5	vertical	0
8.590476	7.0	3.0	80.0	-57.333333	76250.042235	975.0	0.0	3.0	0.0	1530.0	3.0	5511.0	5	vertical	0
8.741634	7.0	3.0	80.0	-57.166667	123368.105678	975.0	0.0	6.0	0.0	1802.0	6.0	11525.0	5	vertical	0
8.869770	7.0	3.0	80.0	-56.714286	169710.229655	975.0	0.0	7.0	0.0	1470.0	7.0	8103.0	5	vertical	0
9.057918	7.0	3.0	80.0	-58.0	32995.154963	975.0	0.0	2.0	0.0	1879.0	2.0	1893.0	5	vertical	0
9.158768	7.0	3.0	80.0	-56.857143	170472.502638	975.0	0.0	7.0	0.0	1042.0	7.0	11148.0	5	vertical	0
9.273369	7.0	3.0	80.0	-56.666667	81307.995209	975.0	0.0	3.0	1.0	1131.0	2.0	7256.0	5	vertical	0
9.390675	7.0	3.0	80.0	-57.111111	238197.599631	975.0	0.0	9.0	0.0	1223.0	9.0	13648.0	5	vertical	0
9.497894	7.0	3.0	80.0	-57.5	115912.401935	975.0	0.0	4.0	0.0	1085.0	4.0	1081.0	5	vertical	0
9.660665	7.0	3.0	80.0	-57.25	76352.535433	975.0	0.0	4.0	0.0	1833.0	4.0	3884.0	5	vertical	0
9.762995	7.0	3.0	80.0	-58.0	60783.682454	975.0	0.0	2.0	0.0	1039.0	2.0	3077.0	5	vertical	0
9.914488	7.0	3.0	80.0	-57.5	41057.969886	975.0	0.0	2.0	0.0	1587.0	2.0	5908.0	5	vertical	0
10.083722	7.0	3.0	80.0	-57.5	36682.893135	975.0	0.0	2.0	0.0	1679.0	2.0	1451.0	5	vertical	0
10.220658	7.0	3.0	80.0	-57.0	90758.117276	975.0	0.0	4.0	0.0	1436.0	4.0	5530.0	5	vertical	0
10.360452	7.0	3.0	80.0	-58.0	78158.053181	975.0	0.0	4.0	0.0	1391.0	4.0	11634.0	5	vertical	0
10.466731	7.0	3.0	80.0	-57.333333	87561.339631	975.0	2.0	3.0	0.0	1093.0	3.0	3130.0	5	vertical	0
10.572312	7.0	3.0	80.0	-56.5	117597.089866	975.0	0.0	4.0	1.0	1115.0	3.0	5209.0	5	vertical	0
10.688149	7.0	3.0	80.0	-57.0	67473.947209	975.0	4.0	3.0	0.0	1205.0	3.0	5299.0	5	vertical	0
10.876951	7.0	3.0	80.0	-58.5	98706.705926	975.0	0.0	6.0	0.0	1931.0	6.0	6152.0	5	vertical	0
10.992162	7.0	3.0	80.0	-58.8	134970.067458	975.0	0.0	5.0	0.0	1070.0	5.0	10551.0	5	vertical	0
11.099858	7.0	3.0	80.0	-58.75	115510.148388	975.0	0.0	4.0	0.0	1059.0	4.0	11119.0	5	vertical	0
11.209638	7.0	3.0	80.0	-57.333333	84769.23407	975.0	0.0	3.0	0.0	1151.0	3.0	3740.0	5	vertical	0
11.375040	7.0	3.0	80.0	-57.5	75138.591645	975.0	0.0	4.0	0.0	1686.0	4.0	5158.0	5	vertical	0
11.523242	7.0	3.0	80.0	-57.666667	62873.342522	975.0	0.0	3.0	0.0	1523.0	3.0	4457.0	5	vertical	0
11.624524	7.0	3.0	80.0	-57.714286	214827.030276	975.0	0.0	7.0	1.0	1023.0	6.0	9082.0	5	vertical	0
11.757118	7.0	3.0	80.0	-57.5	46909.835337	975.0	0.0	2.0	0.0	1640.0	2.0	3769.0	5	vertical	0
11.877341	7.0	3.0	80.0	-58.5	103374.830548	975.0	0.0	4.0	0.0	1499.0	4.0	3612.0	5	vertical	0
11.980944	7.0	3.0	80.0	-58.333333	179879.902077	975.0	0.0	6.0	1.0	1249.0	5.0	4955.0	5	vertical	0
12.086576	7.0	3.0	80.0	-57.666667	88325.069275	975.0	0.0	3.0	0.0	1297.0	3.0	6761.0	5	vertical	0
12.200756	7.0	3.0	80.0	-58.25	95690.951333	975.0	1.0	4.0	0.0	1599.0	4.0	8770.0	5	vertical	0
12.312148	7.0	3.0	80.0	-58.3	251687.923206	975.0	0.0	10.0	1.0	1638.0	9.0	11597.0	5	vertical	0
12.470229	7.0	3.0	80.0	-57.875	157083.989777	975.0	0.0	8.0	3.0	2275.0	5.0	8681.0	5	vertical	0
12.571734	7.0	3.0	80.0	-57.666667	61967.506762	975.0	0.0	3.0	0.0	1476.0	3.0	4421.0	5	vertical	0
12.694178	7.0	3.0	80.0	-58.0	76002.262068	975.0	0.0	3.0	0.0	1745.0	3.0	7007.0	5	vertical	0
12.794417	7.0	3.0	80.0	-57.333333	92957.559068	975.0	0.0	3.0	1.0	1449.0	2.0	5527.0	5	vertical	0
12.910032	7.0	3.0	80.0	-58.666667	67396.073473	975.0	0.0	3.0	0.0	1663.0	3.0	1662.0	5	vertical	0
13.022032	7.0	3.0	80.0	-57.4	138517.504665	975.0	0.0	5.0	0.0	1583.0	5.0	5670.0	5	vertical	0
13.127401	7.0	3.0	80.0	-57.777778	250928.480458	975.0	0.0	9.0	0.0	1440.0	9.0	12726.0	5	vertical	0
13.276002	7.0	3.0	80.0	-57.0	31587.930587	975.0	0.0	2.0	0.0	2039.0	2.0	3292.0	5	vertical	0
13.427566	7.0	3.0	80.0	-58.4	92449.158868	975.0	1.0	5.0	1.0	2191.0	4.0	6027.0	5	vertical	0
13.551927	7.0	3.0	80.0	-57.75	87664.423161	975.0	0.0	4.0	0.0	1814.0	4.0	5907.0	5	vertical	0
13.684094	7.0	3.0	80.0	-58.333333	70501.705206	975.0	0.0	3.0	0.0	1905.0	3.0	3052.0	5	vertical	0
13.894180	7.0	3.0	80.0	-58.0	59156.677298	975.0	0.0	4.0	0.0	3047.0	4.0	10084.0	5	vertical	0
14.010851	7.0	3.0	80.0	-57.5	93545.274091	975.0	0.0	4.0	1.0	1618.0	3.0	2135.0	5	vertical	0
14.151622	7.0	3.0	80.0	-58.0	165645.409227	975.0	0.0	8.0	1.0	2049.0	7.0	13809.0	5	vertical	0
14.290045	7.0	3.0	80.0	-58.333333	101991.745344	975.0	0.0	6.0	0.0	2016.0	6.0	5983.0	5	vertical	0
14.409563	7.0	3.0	80.0	-57.857143	181847.136004	975.0	0.0	7.0	2.0	1745.0	5.0	10059.0	5	vertical	0
14.521049	7.0	3.0	80.0	-58.5	55791.503885	975.0	0.0	2.0	0.0	1633.0	2.0	1630.0	5	vertical	0
14.630878	7.0	3.0	80.0	-58.2	141583.380205	975.0	0.0	5.0	0.0	1601.0	5.0	7706.0	5	vertical	0
14.735918	7.0	3.0	80.0	-58.0	119097.550166	975.0	0.0	5.0	0.0	1520.0	5.0	6670.0	5	vertical	0
14.881531	7.0	3.0	80.0	-58.333333	43196.903525	975.0	0.0	3.0	0.0	2098.0	3.0	3116.0	5	vertical	0
15.009824	7.0	3.0	80.0	-58.0	72723.755797	975.0	0.0	3.0	0.0	1681.0	3.0	5776.0	5	vertical	0
15.112887	7.0	3.0	80.0	-58.25	120470.466669	975.0	0.0	4.0	0.0	1376.0	4.0	5467.0	5	vertical	0
15.214536	7.0	3.0	80.0	-58.4	152977.461324	975.0	0.0	5.0	1.0	1349.0	4.0	1344.0	5	vertical	0
15.399396	7.0	3.0	80.0	-59.0	33582.177194	975.0	0.0	2.0	0.0	2478.0	2.0	2995.0	5	vertical	0
15.537909	7.0	3.0	80.0	-58.333333	56341.059143	975.0	0.0	3.0	0.0	1698.0	3.0	7593.0	5	vertical	0
15.640717	7.0	3.0	80.0	-58.142857	196793.872591	975.0	1.0	7.0	0.0	1364.0	7.0	13378.0	5	vertical	0
15.839564	7.0	3.0	80.0	-57.75	62560.676375	975.0	0.0	4.0	0.0	2646.0	4.0	4689.0	5	vertical	0
16.007797	7.0	3.0	80.0	-57.714286	129261.147123	975.0	0.0	7.0	0.0	2222.0	7.0	9087.0	5	vertical	0
16.114135	7.0	3.0	80.0	-58.0	146119.718374	975.0	0.0	5.0	0.0	1424.0	5.0	8931.0	5	vertical	0
16.221157	7.0	3.0	80.0	-58.666667	174131.506962	975.0	0.0	6.0	0.0	1438.0	6.0	15717.0	5	vertical	0
16.347523	7.0	3.0	80.0	-57.833333	135495.419868	975.0	0.0	6.0	2.0	1693.0	4.0	5807.0	5	vertical	0
16.463800	7.0	3.0	80.0	-57.5	53492.925952	975.0	0.0	2.0	0.0	1548.0	2.0	5626.0	5	vertical	0
16.581293	7.0	3.0	80.0	-58.5	105776.917672	975.0	0.0	4.0	0.0	1572.0	4.0	5663.0	5	vertical	0
16.700340	7.0	3.0	80.0	-58.285714	182667.308441	975.0	0.0	7.0	2.0	1584.0	5.0	3619.0	5	vertical	0
