time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.100827	7.0	3.0	80.0	-27.0662	29708200.0	975.0	5.0	1027.0	7.0	1883.0	93.0	17305.0	0.0	4	vertical	1
8.201293	7.0	3.0	80.0	-27.1423	32047700.0	975.0	3.0	1096.0	4.0	1232.0	96.0	20628.0	0.0	4	vertical	1
8.302326	7.0	3.0	80.0	-27.1237	30108600.0	975.0	5.0	1043.0	12.0	1182.0	73.0	16536.0	0.0	4	vertical	1
8.402516	7.0	3.0	80.0	-27.1508	31411700.0	975.0	2.0	1074.0	11.0	1193.0	94.0	20610.0	0.0	4	vertical	1
8.503268	7.0	3.0	80.0	-27.0981	29614400.0	975.0	0.0	1030.0	2.0	1164.0	94.0	24712.0	0.0	4	vertical	1
8.603382	7.0	3.0	80.0	-27.066	31376000.0	975.0	0.0	1075.0	1.0	1176.0	79.0	12391.0	0.0	4	vertical	1
8.704151	7.0	3.0	80.0	-27.1817	32881200.0	975.0	1.0	1134.0	6.0	1246.0	85.0	8310.0	0.0	4	vertical	1
8.804355	7.0	3.0	80.0	-27.2073	31009900.0	975.0	1.0	1066.0	1.0	1189.0	98.0	16508.0	0.0	4	vertical	1
8.904360	7.0	3.0	80.0	-27.2309	31751800.0	975.0	1.0	1087.0	2.0	1192.0	72.0	111.0	0.0	4	vertical	1
9.005073	7.0	3.0	80.0	-27.2207	29374600.0	975.0	0.0	1015.0	0.0	1131.0	72.0	12397.0	0.0	4	vertical	1
9.105590	7.0	3.0	80.0	-27.2345	29985700.0	975.0	1.0	1032.0	2.0	1177.0	101.0	12440.0	0.0	4	vertical	1
9.206052	7.0	3.0	80.0	-27.1854	32348400.0	975.0	0.0	1111.0	2.0	1196.0	77.0	12375.0	0.0	4	vertical	1
9.307091	7.0	3.0	80.0	-27.1286	31168500.0	975.0	0.0	1081.0	0.0	1194.0	77.0	8303.0	0.0	4	vertical	1
9.407226	7.0	3.0	80.0	-27.1331	31091600.0	975.0	0.0	1067.0	5.0	1184.0	104.0	28796.0	0.0	4	vertical	1
9.508380	7.0	3.0	80.0	-27.1786	32173700.0	975.0	1.0	1114.0	2.0	1237.0	81.0	8317.0	0.0	4	vertical	1
9.609362	7.0	3.0	80.0	-27.1081	31426600.0	975.0	4.0	1082.0	5.0	1198.0	78.0	12410.0	0.0	4	vertical	1
9.709605	7.0	3.0	80.0	-27.1991	31367600.0	975.0	3.0	1075.0	3.0	1167.0	80.0	20575.0	0.0	4	vertical	1
9.810091	7.0	3.0	80.0	-27.2105	32783900.0	975.0	0.0	1121.0	0.0	1229.0	84.0	16492.0	0.0	4	vertical	1
9.910908	7.0	3.0	80.0	-27.1801	31302400.0	975.0	0.0	1088.0	6.0	1197.0	73.0	12404.0	0.0	4	vertical	1
10.012172	7.0	3.0	80.0	-27.1002	32365800.0	975.0	5.0	1118.0	7.0	1233.0	95.0	16507.0	0.0	4	vertical	1
10.112233	7.0	3.0	80.0	-27.1967	31965300.0	975.0	0.0	1093.0	5.0	1207.0	107.0	49271.0	0.0	4	vertical	1
10.212295	7.0	3.0	80.0	-27.218	30712800.0	975.0	3.0	1055.0	4.0	1187.0	105.0	28807.0	0.0	4	vertical	1
10.312685	7.0	3.0	80.0	-27.1456	32523300.0	975.0	0.0	1113.0	0.0	1225.0	74.0	108.0	0.0	4	vertical	1
10.413935	7.0	3.0	80.0	-27.0835	30952500.0	975.0	1.0	1078.0	1.0	1180.0	87.0	32877.0	0.0	4	vertical	1
10.514604	7.0	3.0	80.0	-27.2595	32793600.0	975.0	1.0	1133.0	1.0	1232.0	85.0	24675.0	0.0	4	vertical	1
10.615198	7.0	3.0	80.0	-27.1425	31838700.0	975.0	1.0	1088.0	6.0	1179.0	75.0	8290.0	0.0	4	vertical	1
10.715664	7.0	3.0	80.0	-27.2222	31067400.0	975.0	0.0	1071.0	0.0	1190.0	79.0	8313.0	0.0	4	vertical	1
10.815714	7.0	3.0	80.0	-27.2107	26715000.0	975.0	0.0	935.0	3.0	1032.0	76.0	12388.0	0.0	4	vertical	1
10.916032	7.0	3.0	80.0	-27.1956	27462700.0	975.0	0.0	961.0	1.0	1042.0	64.0	16465.0	0.0	4	vertical	1
11.016231	7.0	3.0	80.0	-27.1621	26146700.0	975.0	1.0	913.0	4.0	1007.0	55.0	4194.0	0.0	4	vertical	1
11.116579	7.0	3.0	80.0	-27.1745	26725200.0	975.0	1.0	934.0	2.0	1050.0	91.0	20600.0	0.0	4	vertical	1
11.217059	7.0	3.0	80.0	-27.0887	24348300.0	975.0	0.0	857.0	0.0	965.0	81.0	24683.0	0.0	4	vertical	1
11.318261	7.0	3.0	80.0	-27.2665	25984900.0	975.0	0.0	923.0	1.0	1014.0	76.0	8284.0	0.0	4	vertical	1
11.419093	7.0	3.0	80.0	-27.1799	25151400.0	975.0	4.0	884.0	5.0	999.0	78.0	16505.0	0.0	4	vertical	1
