time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	distance	antenna	LoS
5.208815	7.0	3.0	80.0	-27.525068	31791653.865035	975.0	38.0	1097.0	68.0	1064.0	21.0	12324.0	7	vertical	1
5.309117	7.0	3.0	80.0	-27.488329	30954552.916554	975.0	22.0	1071.0	37.0	1074.0	18.0	42.0	7	vertical	1
5.409905	7.0	3.0	80.0	-27.510858	27729364.428921	975.0	33.0	967.0	48.0	959.0	26.0	39.0	7	vertical	1
5.510497	7.0	3.0	80.0	-27.550424	30437061.120543	975.0	35.0	1061.0	55.0	1028.0	15.0	23.0	7	vertical	1
5.610669	7.0	3.0	80.0	-27.616946	32775589.257146	975.0	45.0	1133.0	83.0	1083.0	16.0	4129.0	7	vertical	1
5.711808	7.0	3.0	80.0	-27.660748	30578442.253679	975.0	34.0	1070.0	56.0	1047.0	25.0	34.0	7	vertical	1
5.812670	6.971731	3.0	80.0	-27.646643	32716065.490865	972.243816	51.0	1132.0	95.0	1064.0	16.0	27.0	7	vertical	1
5.912672	7.0	3.0	80.0	-27.745975	32638899.749754	975.0	56.0	1118.0	94.0	1061.0	25.0	12327.0	7	vertical	1
6.012843	7.0	3.0	80.0	-27.812672	31762805.518024	975.0	38.0	1089.0	87.0	1021.0	11.0	4113.0	7	vertical	1
6.113373	7.0	3.0	80.0	-27.748863	31747523.835407	975.0	21.0	1099.0	45.0	1073.0	14.0	20.0	7	vertical	1
6.214289	7.0	3.0	80.0	-27.754537	30000058.663153	975.0	20.0	1047.0	36.0	1048.0	24.0	37.0	7	vertical	1
6.315028	7.0	3.0	80.0	-27.74581	30823022.174901	975.0	22.0	1074.0	37.0	1070.0	21.0	33.0	7	vertical	1
6.416241	7.0	3.0	80.0	-27.836174	30188128.269514	975.0	15.0	1056.0	33.0	1049.0	16.0	4122.0	7	vertical	1
6.516871	7.0	3.0	80.0	-27.915399	30057953.184445	975.0	23.0	1052.0	32.0	1043.0	23.0	8216.0	7	vertical	1
6.617707	7.0	3.0	80.0	-28.019175	29751620.582602	975.0	12.0	1043.0	24.0	1056.0	27.0	4133.0	7	vertical	1
6.718746	7.0	3.0	80.0	-28.107109	30193466.094072	975.0	15.0	1055.0	40.0	1056.0	27.0	41.0	7	vertical	1
6.819329	7.0	3.0	80.0	-28.053555	31251946.149279	975.0	19.0	1083.0	25.0	1109.0	37.0	8243.0	7	vertical	1
6.919698	7.0	3.0	80.0	-28.125103	35768195.213306	975.0	24.0	1215.0	40.0	1234.0	40.0	12348.0	7	vertical	1
7.020406	7.0	3.0	80.0	-28.098361	31808751.375044	975.0	35.0	1098.0	40.0	1138.0	35.0	80.0	7	vertical	1
7.120566	7.0	3.0	80.0	-28.134842	32200890.3804	975.0	36.0	1105.0	56.0	1092.0	24.0	43.0	7	vertical	1
