time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	distance	antenna	LoS
0.603236	7.0	3.0	80.0	-24.430222	33074922.90253	975.0	5.0	1125.0	25.0	1224.0	32.0	124.0	4	vertical	0
0.703521	7.005254	3.0	80.0	-24.395797	33677469.759409	976.024518	2.0	1142.0	2.0	1272.0	29.0	4229.0	4	vertical	0
0.804613	7.0	3.0	80.0	-24.385553	33309325.095769	975.0	0.0	1149.0	0.0	1248.0	22.0	99.0	4	vertical	0
0.904667	7.002639	3.0	80.0	-24.434477	33735874.672878	975.514512	0.0	1137.0	5.0	1267.0	36.0	135.0	4	vertical	0
1.004773	7.036609	3.0	80.0	-24.345857	30486031.39287	982.138728	15.0	1038.0	21.0	1224.0	36.0	207.0	4	vertical	0
1.105084	7.001756	3.0	80.0	-24.368745	33486571.529541	975.342406	3.0	1139.0	4.0	1238.0	30.0	104.0	4	vertical	0
1.205495	7.0	3.0	80.0	-24.419753	30813468.440093	975.0	0.0	1053.0	3.0	1205.0	37.0	155.0	4	vertical	0
1.306792	7.0	3.0	80.0	-24.464824	34664043.615207	975.0	0.0	1194.0	9.0	1263.0	24.0	78.0	4	vertical	0
1.406945	7.0	3.0	80.0	-24.434174	31434009.816759	975.0	1.0	1071.0	13.0	1192.0	26.0	135.0	4	vertical	0
1.507026	7.0	3.0	80.0	-24.432769	33036906.992402	975.0	1.0	1123.0	4.0	1253.0	31.0	4230.0	4	vertical	0
1.607253	7.0	3.0	80.0	-24.399134	33933316.317361	975.0	0.0	1155.0	0.0	1245.0	21.0	90.0	4	vertical	0
1.708101	7.023762	3.0	80.0	-24.414851	29447085.30307	979.633663	10.0	1010.0	7.0	1211.0	41.0	209.0	4	vertical	0
1.809082	7.457391	3.0	80.0	-24.629565	16952245.265789	1064.191304	30.0	575.0	23.0	1287.0	153.0	13024.0	4	vertical	0
1.909429	8.0	3.0	80.0	-24.870861	9018456.016349	1170.0	29.0	302.0	21.0	1246.0	191.0	41924.0	4	vertical	0
2.009927	8.0	3.0	80.0	-24.875	7554422.921372	1170.0	30.0	256.0	25.0	1246.0	156.0	25592.0	4	vertical	0
2.110518	7.001778	3.0	80.0	-24.471111	32945926.339343	975.346667	11.0	1125.0	18.0	1220.0	28.0	113.0	4	vertical	0
2.211949	7.307692	3.0	80.0	-24.627219	19575106.941978	1035.0	26.0	676.0	50.0	1220.0	120.0	29252.0	4	vertical	0
2.312397	8.0	3.0	80.0	-24.87234	8211410.556103	1170.0	41.0	282.0	44.0	1100.0	152.0	21356.0	4	vertical	0
2.413981	8.0	3.0	80.0	-24.883895	7707443.766038	1170.0	12.0	267.0	23.0	1061.0	160.0	29490.0	4	vertical	0
2.514511	7.627119	3.0	80.0	-24.806295	12108726.052579	1097.288136	29.0	413.0	51.0	1078.0	155.0	17100.0	4	vertical	0
2.615549	7.78777	3.0	80.0	-24.76259	8071673.766238	1128.615108	8.0	278.0	11.0	1017.0	136.0	751.0	4	vertical	0
2.716530	7.075377	3.0	80.0	-24.525126	22797833.995436	989.698492	12.0	796.0	7.0	1112.0	60.0	4418.0	4	vertical	0
2.817451	8.0	3.0	80.0	-24.9	7542681.022531	1170.0	27.0	260.0	27.0	1111.0	161.0	17264.0	4	vertical	0
2.917535	7.01385	3.0	80.0	-24.461681	31676090.04329	977.700831	8.0	1083.0	15.0	1207.0	36.0	4234.0	4	vertical	0
3.018226	7.434511	3.0	80.0	-24.665281	14106230.334493	1059.72973	13.0	481.0	12.0	1301.0	142.0	25408.0	4	vertical	0
3.118227	8.0	3.0	80.0	-24.914062	7682399.360568	1170.0	8.0	256.0	17.0	1246.0	157.0	21489.0	4	vertical	0
3.218373	7.240299	3.0	80.0	-24.516418	19717946.952836	1021.761194	18.0	670.0	22.0	1218.0	119.0	12857.0	4	vertical	0
3.318955	7.336957	3.0	80.0	-24.557971	16251212.612719	1040.706522	26.0	552.0	25.0	1238.0	138.0	29380.0	4	vertical	0
3.419210	8.0	3.0	80.0	-24.9	7653107.637132	1170.0	7.0	260.0	6.0	1141.0	168.0	21371.0	4	vertical	0
3.519422	8.003891	3.0	80.0	-24.824903	7547716.423017	1170.505837	10.0	257.0	12.0	1234.0	170.0	17355.0	4	vertical	0
3.620640	8.0	3.0	80.0	-24.864964	8037811.657336	1170.0	18.0	274.0	19.0	1297.0	185.0	29736.0	4	vertical	0
3.721687	7.049702	3.0	80.0	-24.505964	29131305.527683	984.691849	12.0	1006.0	24.0	1242.0	52.0	4353.0	4	vertical	0
3.821707	7.000916	3.0	80.0	-24.479853	32157178.336585	975.178571	2.0	1092.0	19.0	1216.0	34.0	4240.0	4	vertical	0
3.922605	7.0	3.0	80.0	-24.489796	26995638.800704	975.0	2.0	931.0	15.0	1042.0	29.0	126.0	4	vertical	0
4.023852	7.00883	3.0	80.0	-24.546358	26106140.717445	976.721854	3.0	906.0	6.0	1064.0	37.0	164.0	4	vertical	0
4.124883	7.074419	3.0	80.0	-24.484884	24556458.707938	989.511628	14.0	860.0	31.0	1060.0	58.0	231.0	4	vertical	0
4.225864	7.0	3.0	80.0	-24.473085	27973080.719863	975.0	0.0	966.0	5.0	1078.0	32.0	118.0	4	vertical	0
4.326859	7.011918	3.0	80.0	-24.433369	26590400.746394	977.323944	13.0	923.0	22.0	999.0	24.0	4194.0	4	vertical	0
4.427741	7.012733	3.0	80.0	-24.510284	29433217.81239	977.48286	1.0	1021.0	35.0	1085.0	30.0	99.0	4	vertical	0
4.527920	7.0	3.0	80.0	-24.507592	26549138.548906	975.0	1.0	922.0	12.0	1022.0	35.0	112.0	4	vertical	0
4.629112	7.002043	3.0	80.0	-24.451481	28088553.262072	975.398366	0.0	979.0	2.0	1092.0	38.0	116.0	4	vertical	0
4.729636	7.143266	3.0	80.0	-24.550143	20164063.118475	1002.936963	6.0	698.0	12.0	1065.0	79.0	4475.0	4	vertical	0
4.829732	7.326923	3.0	80.0	-24.619231	14992675.157193	1038.625	51.0	520.0	61.0	1034.0	108.0	8767.0	4	vertical	0
4.930278	7.414286	3.0	80.0	-24.709524	12157818.009334	1055.785714	14.0	420.0	25.0	1056.0	117.0	17045.0	4	vertical	0
5.031260	7.001107	3.0	80.0	-24.54928	25844483.710433	975.215947	3.0	903.0	19.0	993.0	32.0	110.0	4	vertical	0
5.132025	7.001783	3.0	80.0	-24.487522	32631289.684778	975.347594	0.0	1122.0	0.0	1257.0	33.0	135.0	4	vertical	0
5.232638	7.008734	3.0	80.0	-24.510044	33388043.586358	976.703057	0.0	1145.0	34.0	1269.0	40.0	159.0	4	vertical	0
5.332962	7.004633	3.0	80.0	-24.467954	38265653.748452	975.903475	14.0	1295.0	51.0	1377.0	23.0	134.0	4	vertical	0
5.433864	7.01098	3.0	80.0	-24.547451	37415488.919478	977.141176	6.0	1275.0	17.0	1495.0	43.0	237.0	4	vertical	0
5.534799	7.001529	3.0	80.0	-24.462538	38612073.331422	975.298165	6.0	1308.0	26.0	1466.0	34.0	184.0	4	vertical	0
5.634822	7.00086	3.0	80.0	-24.50215	34292227.114183	975.16767	0.0	1163.0	10.0	1323.0	33.0	171.0	4	vertical	0
5.736238	7.078708	3.0	80.0	-24.484359	29053406.574544	990.348133	4.0	991.0	6.0	1471.0	64.0	489.0	4	vertical	0
5.837235	8.0	3.0	80.0	-24.869427	9341465.791415	1170.0	8.0	314.0	21.0	1460.0	184.0	42124.0	4	vertical	0
5.937246	7.301471	3.0	80.0	-24.639706	20352120.46883	1033.786765	16.0	680.0	40.0	1412.0	122.0	21257.0	4	vertical	0
6.037687	7.00089	3.0	80.0	-24.580588	32826004.286147	975.173642	2.0	1123.0	6.0	1310.0	35.0	4285.0	4	vertical	0
6.138705	7.0	3.0	80.0	-24.547743	33797433.04668	975.0	0.0	1152.0	28.0	1322.0	43.0	4294.0	4	vertical	0
6.239440	7.0	3.0	80.0	-24.509821	34206124.662833	975.0	4.0	1171.0	12.0	1342.0	40.0	184.0	4	vertical	0
6.339575	7.0	3.0	80.0	-24.572506	35093148.094846	975.0	0.0	1193.0	0.0	1328.0	29.0	135.0	4	vertical	0
6.439603	7.0	3.0	80.0	-24.531165	32631252.291173	975.0	0.0	1107.0	4.0	1337.0	42.0	234.0	4	vertical	0
