time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	distance	antenna	LoS
7.450788	5.80663	1.981584	20.14733	-26.239411	12012264.435954	109.06814	238.0	543.0	456.0	100.0	0.0	0.0	0	fan	1
7.550792	2.997927	2.929534	38.673575	-27.679793	16577001.910518	170.223834	117.0	965.0	529.0	434.0	0.0	0.0	0	fan	1
7.652393	5.839369	1.391829	74.837512	-32.170845	27231576.05206	312.626741	65.0	1077.0	686.0	399.0	0.0	0.0	0	fan	1
7.753449	3.149776	2.035768	80.0	-31.652012	24580040.491287	267.374069	94.0	1342.0	203.0	1143.0	0.0	0.0	0	fan	1
7.853902	3.005138	2.0	80.0	-32.538215	24559867.69633	260.164419	4.0	1557.0	34.0	1523.0	0.0	0.0	0	fan	1
7.953948	3.002561	2.0	80.0	-32.519846	24739042.614532	260.332907	2.0	1562.0	55.0	1490.0	0.0	0.0	0	fan	1
8.054046	3.007812	2.0	80.0	-32.532552	24314747.599566	260.505208	6.0	1536.0	14.0	1538.0	0.0	0.0	0	fan	1
8.154081	3.0	2.0	80.0	-32.496732	24235161.074562	260.0	2.0	1530.0	27.0	1512.0	1.0	25.0	0	fan	1
8.254084	3.002616	2.0	80.0	-32.460432	24227183.543915	260.340092	3.0	1529.0	7.0	1530.0	0.0	0.0	0	fan	1
8.354943	3.010396	1.997401	80.0	-32.519168	24166027.563738	260.421053	7.0	1539.0	34.0	1512.0	0.0	0.0	0	fan	1
8.455243	2.997416	2.002584	80.0	-32.576873	24455247.707265	260.082687	2.0	1548.0	3.0	1522.0	1.0	1.0	0	fan	1
8.555550	3.002601	2.0	80.0	-32.379064	24295915.173893	260.338101	1.0	1538.0	54.0	1507.0	0.0	0.0	0	fan	1
8.655710	3.0	2.002577	80.0	-32.455541	24552608.061903	260.417526	3.0	1552.0	11.0	1541.0	0.0	0.0	0	fan	1
8.756611	3.010237	1.997441	80.0	-32.413948	24545183.118119	260.414587	2.0	1563.0	7.0	1552.0	0.0	0.0	0	fan	1
8.856612	3.0	2.0	80.0	-32.489744	24718234.09711	260.0	4.0	1560.0	57.0	1489.0	0.0	0.0	0	fan	1
