time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.100522	9.0	3.0	80.0	-43.4862	10449700.0	1300.0	0.0	362.0	0.0	3454.0	226.0	44117.0	0.0	1	fan	1
8.201586	9.0	3.0	80.0	-43.567	10026000.0	1300.0	1.0	351.0	1.0	1229.0	212.0	25450.0	0.0	1	fan	1
8.301974	9.0	3.0	80.0	-43.5537	10232600.0	1300.0	1.0	354.0	1.0	1213.0	236.0	37723.0	0.0	1	fan	1
8.403006	9.0	3.0	80.0	-43.4593	9859580.0	1300.0	0.0	344.0	3.0	1251.0	228.0	62353.0	0.0	1	fan	1
8.503868	9.0	3.0	80.0	-43.5069	10369300.0	1300.0	0.0	361.0	4.0	1230.0	225.0	37745.0	0.0	1	fan	1
8.604191	9.0	3.0	80.0	-43.5349	9884770.0	1300.0	0.0	344.0	2.0	1244.0	233.0	37766.0	0.0	1	fan	1
8.704202	9.0	3.0	80.0	-43.503	9695790.0	1300.0	0.0	334.0	1.0	1250.0	225.0	66449.0	0.0	1	fan	1
8.805289	9.0	3.0	80.0	-43.5	9914730.0	1300.0	0.0	344.0	0.0	1211.0	229.0	45923.0	0.0	1	fan	1
8.905787	9.0	3.0	80.0	-43.4777	9107030.0	1300.0	0.0	314.0	1.0	1250.0	217.0	17324.0	0.0	1	fan	1
9.006681	9.0	3.0	80.0	-43.4667	9637180.0	1300.0	0.0	330.0	2.0	1244.0	211.0	54151.0	0.0	1	fan	1
9.107456	9.0	3.0	80.0	-43.4844	8176360.0	1300.0	0.0	289.0	1.0	1232.0	214.0	54206.0	0.0	1	fan	1
9.208023	9.0	3.0	80.0	-43.4734	10306200.0	1300.0	1.0	357.0	0.0	1259.0	252.0	50059.0	0.0	1	fan	1
9.309197	9.0	3.0	80.0	-43.4456	8522440.0	1300.0	0.0	294.0	1.0	1248.0	206.0	50095.0	0.0	1	fan	1
9.409818	9.0	3.0	80.0	-43.4412	8713030.0	1300.0	0.0	306.0	1.0	1256.0	207.0	46020.0	0.0	1	fan	1
9.510052	9.0	3.0	80.0	-43.5105	8294660.0	1300.0	0.0	286.0	2.0	1256.0	205.0	46023.0	0.0	1	fan	1
9.611148	9.0	3.0	80.0	-43.4441	8528250.0	1300.0	0.0	295.0	2.0	1236.0	197.0	50080.0	0.0	1	fan	1
9.711368	9.0	3.0	80.0	-43.3994	9873480.0	1300.0	0.0	338.0	2.0	1269.0	220.0	54195.0	0.0	1	fan	1
9.811544	9.0	3.0	80.0	-43.4455	9217210.0	1300.0	0.0	321.0	1.0	1228.0	210.0	29582.0	0.0	1	fan	1
9.911832	9.0	3.0	80.0	-43.5095	9202360.0	1300.0	0.0	316.0	2.0	1252.0	214.0	58281.0	0.0	1	fan	1
10.012179	9.0	3.0	80.0	-43.4347	9507190.0	1300.0	0.0	329.0	4.0	1218.0	208.0	45951.0	0.0	1	fan	1
10.112935	9.0	3.0	80.0	-43.4818	9530650.0	1300.0	0.0	330.0	1.0	1254.0	228.0	54177.0	0.0	1	fan	1
