time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.100366	7.0	3	80.0	-51.2947	5646480.0	975.0	5.0	190.0	5.0	4476.0	170.0	172294.0	0.0	1	horizontal	1
8.200801	7.0	3	80.0	-51.3827	4928480.0	975.0	3.0	162.0	4.0	1215.0	146.0	156702.0	0.0	1	horizontal	1
8.302080	7.0	3	80.0	-51.3	5946130.0	975.0	4.0	200.0	2.0	1283.0	176.0	209986.0	0.0	1	horizontal	1
8.402708	7.0	3	80.0	-51.3622	5567540.0	975.0	0.0	185.0	3.0	1237.0	171.0	185361.0	0.0	1	horizontal	1
8.503574	7.0	3	80.0	-51.4421	5782980.0	975.0	3.0	190.0	5.0	1275.0	167.0	197717.0	0.0	1	horizontal	1
8.603982	7.0	3	80.0	-51.4682	5210670.0	975.0	3.0	173.0	3.0	1225.0	155.0	152595.0	0.0	1	horizontal	1
8.704750	7.0	3	80.0	-51.3886	5282180.0	975.0	3.0	175.0	2.0	1237.0	156.0	164912.0	0.0	1	horizontal	1
8.805098	7.0	3	80.0	-51.399	6109430.0	975.0	2.0	203.0	2.0	1257.0	186.0	197660.0	0.0	1	horizontal	1
8.905895	7.0	3	80.0	-51.483	5311090.0	975.0	1.0	176.0	2.0	1236.0	157.0	132381.0	0.0	1	horizontal	1
9.006608	7.0	3	80.0	-51.4581	5424060.0	975.0	7.0	179.0	5.0	1235.0	163.0	185143.0	0.0	1	horizontal	1
9.106621	7.0	3	80.0	-51.4332	5709140.0	975.0	2.0	187.0	4.0	1250.0	167.0	160797.0	0.0	1	horizontal	1
9.206667	7.0	3	80.0	-51.4462	5675700.0	975.0	4.0	186.0	4.0	1223.0	162.0	177177.0	0.0	1	horizontal	1
9.307792	7.0	3	80.0	-51.3966	5158080.0	975.0	5.0	174.0	4.0	1270.0	159.0	177221.0	0.0	1	horizontal	1
9.408275	7.0	3	80.0	-51.3869	5110780.0	975.0	7.0	168.0	2.0	1256.0	145.0	136267.0	0.0	1	horizontal	1
9.509257	7.0	3	80.0	-51.497	4889530.0	975.0	3.0	165.0	3.0	1156.0	148.0	156421.0	0.0	1	horizontal	1
9.610042	7.0	3	80.0	-51.3678	5236210.0	975.0	1.0	174.0	3.0	1250.0	159.0	189719.0	0.0	1	horizontal	1
9.710063	7.0	3	80.0	-51.4053	5757500.0	975.0	6.0	190.0	2.0	1251.0	171.0	181325.0	0.0	1	horizontal	1
9.810535	7.0	3	80.0	-51.5276	4942770.0	975.0	6.0	163.0	2.0	1254.0	149.0	148501.0	0.0	1	horizontal	1
9.911190	7.0	3	80.0	-51.5105	5735310.0	975.0	4.0	190.0	1.0	1291.0	167.0	152653.0	0.0	1	horizontal	1
10.011903	7.0	3	80.0	-51.3933	4545140.0	975.0	5.0	150.0	2.0	1253.0	137.0	132190.0	0.0	1	horizontal	1
10.112317	7.0	3	80.0	-51.5	5564700.0	975.0	1.0	184.0	4.0	1234.0	171.0	181285.0	0.0	1	horizontal	1
10.213383	7.0	3	80.0	-51.5503	5007400.0	975.0	5.0	169.0	6.0	1278.0	149.0	137961.0	0.0	1	horizontal	1
10.313776	7.0	3	80.0	-51.4643	5101180.0	975.0	3.0	168.0	1.0	1225.0	155.0	142740.0	0.0	1	horizontal	1
10.414418	7.0	3	80.0	-51.4011	5229880.0	975.0	2.0	177.0	1.0	1242.0	162.0	160876.0	0.0	1	horizontal	1
10.514425	7.0	3	80.0	-51.4844	5880190.0	975.0	2.0	192.0	5.0	1260.0	170.0	148461.0	0.0	1	horizontal	1
10.615198	7.0	3	80.0	-51.4885	5251280.0	975.0	10.0	174.0	3.0	1255.0	156.0	181313.0	0.0	1	horizontal	1
10.715575	7.0	3	80.0	-51.514	5351270.0	975.0	0.0	179.0	4.0	1234.0	157.0	139304.0	0.0	1	horizontal	1
10.816432	7.0	3	80.0	-51.5	5200470.0	975.0	3.0	172.0	3.0	1259.0	154.0	174143.0	0.0	1	horizontal	1
10.917475	7.0	3	80.0	-51.4246	5361010.0	975.0	6.0	179.0	5.0	1228.0	162.0	140304.0	0.0	1	horizontal	1
11.018409	7.0	3	80.0	-51.4976	6210380.0	975.0	1.0	205.0	1.0	1281.0	186.0	205866.0	0.0	1	horizontal	1
11.118622	7.0	3	80.0	-51.4706	5231980.0	975.0	5.0	170.0	3.0	1245.0	148.0	132176.0	0.0	1	horizontal	1
11.219504	7.0	3	80.0	-51.4413	5384610.0	975.0	4.0	179.0	3.0	1260.0	156.0	156782.0	0.0	1	horizontal	1
11.320111	7.0	3	80.0	-51.5028	5324720.0	975.0	7.0	179.0	3.0	1233.0	159.0	177141.0	0.0	1	horizontal	1
11.421130	7.0	3	80.0	-51.419	5391900.0	975.0	6.0	179.0	4.0	1275.0	157.0	169036.0	0.0	1	horizontal	1
11.521553	7.0	3	80.0	-51.422	5208200.0	975.0	3.0	173.0	3.0	1259.0	157.0	128056.0	0.0	1	horizontal	1
11.622684	7.0	3	80.0	-51.5303	5879840.0	975.0	3.0	198.0	4.0	1266.0	184.0	222274.0	0.0	1	horizontal	1
11.723688	7.0	3	80.0	-51.5789	5132170.0	975.0	6.0	171.0	9.0	1215.0	148.0	142359.0	0.0	1	horizontal	1
11.824710	7.0	3	80.0	-51.4767	5146290.0	975.0	7.0	172.0	7.0	1263.0	157.0	137289.0	0.0	1	horizontal	1
11.924713	7.0	3	80.0	-51.4198	4889940.0	975.0	5.0	162.0	5.0	1233.0	145.0	161848.0	0.0	1	horizontal	1
12.025208	7.0	3	80.0	-51.4112	6439460.0	975.0	2.0	214.0	4.0	1257.0	195.0	168986.0	0.0	1	horizontal	1
12.125585	7.0	3	80.0	-51.5287	4806070.0	975.0	5.0	157.0	5.0	1210.0	139.0	177180.0	0.0	1	horizontal	1
12.226302	7.0	3	80.0	-51.4978	6702640.0	975.0	2.0	223.0	8.0	1442.0	199.0	251087.0	0.0	1	horizontal	1
12.327525	7.0	3	80.0	-51.5256	6586500.0	975.0	7.0	215.0	2.0	1464.0	192.0	214249.0	0.0	1	horizontal	1
12.428406	7.0	3	80.0	-51.5642	6642890.0	975.0	4.0	218.0	2.0	1445.0	197.0	238805.0	0.0	1	horizontal	1
12.528971	7.0	3	80.0	-51.5278	6601490.0	975.0	14.0	216.0	7.0	1459.0	192.0	210120.0	0.0	1	horizontal	1
12.629230	7.0	3	80.0	-51.493	6509540.0	975.0	8.0	213.0	8.0	1430.0	189.0	218329.0	0.0	1	horizontal	1
12.730033	7.0	3	80.0	-51.4118	7725180.0	975.0	7.0	255.0	9.0	1471.0	220.0	238792.0	0.0	1	horizontal	1
12.831362	7.0	3	80.0	-51.5579	5712060.0	975.0	8.0	190.0	4.0	1460.0	173.0	189696.0	0.0	1	horizontal	1
12.931713	7.0	3	80.0	-51.4956	6878840.0	975.0	9.0	226.0	7.0	1453.0	196.0	234712.0	0.0	1	horizontal	1
13.032482	7.0	3	80.0	-51.5205	6666890.0	975.0	5.0	219.0	1.0	1457.0	200.0	259255.0	0.0	1	horizontal	1
13.133311	7.0	3	80.0	-51.6164	6661990.0	975.0	17.0	219.0	3.0	1453.0	201.0	234730.0	0.0	1	horizontal	1
13.234195	7.0	3	80.0	-51.5169	6229100.0	975.0	7.0	207.0	3.0	1395.0	188.0	210104.0	0.0	1	horizontal	1
13.334695	7.0	3	80.0	-51.4009	6762350.0	975.0	6.0	222.0	4.0	1470.0	204.0	267511.0	0.0	1	horizontal	1
13.434738	7.0	3	80.0	-51.4444	6651550.0	975.0	4.0	216.0	4.0	1461.0	198.0	228597.0	0.0	1	horizontal	1
13.534740	7.0	3	80.0	-51.5581	6562270.0	975.0	4.0	215.0	4.0	1425.0	195.0	269459.0	0.0	1	horizontal	1
13.635744	7.0	3	80.0	-51.6453	6143500.0	975.0	6.0	203.0	3.0	1461.0	187.0	230635.0	0.0	1	horizontal	1
13.737303	7.0	3	80.0	-51.5171	6126800.0	975.0	5.0	205.0	6.0	1468.0	185.0	185602.0	0.0	1	horizontal	1
13.838395	7.0	3	80.0	-51.6188	6663090.0	975.0	8.0	223.0	9.0	1469.0	201.0	238831.0	0.0	1	horizontal	1
13.938867	7.0	3	80.0	-51.5848	6794370.0	975.0	5.0	224.0	5.0	1419.0	210.0	244899.0	0.0	1	horizontal	1
14.039061	7.0	3	80.0	-51.6358	5250340.0	975.0	21.0	173.0	5.0	1367.0	162.0	167091.0	0.0	1	horizontal	1
14.140024	7.0	3	80.0	-51.6881	6057130.0	975.0	9.0	202.0	6.0	1448.0	187.0	230629.0	0.0	1	horizontal	1
14.241082	7.0	3	80.0	-51.5541	6708440.0	975.0	8.0	222.0	6.0	1471.0	190.0	234464.0	0.0	1	horizontal	1
14.341142	7.0	3	80.0	-51.6573	6541680.0	975.0	9.0	213.0	2.0	1469.0	198.0	234980.0	0.0	1	horizontal	1
14.441699	7.0	3	80.0	-51.6522	6325790.0	975.0	5.0	207.0	3.0	1452.0	183.0	226536.0	0.0	1	horizontal	1
