time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	distance	antenna	LoS
7.120295	0.784651	2.565865	80.0	-57.969072	13830846.795905	145.676976	0.0	873.0	545.0	0.0	0.0	0.0	2	horizontal	1
7.220298	0.730387	2.763536	80.0	-57.759116	14339148.310604	153.207735	0.0	905.0	540.0	0.0	0.0	0.0	2	horizontal	1
7.321826	0.045662	2.960426	80.0	-57.712329	10253703.103686	98.902588	0.0	657.0	67.0	0.0	0.0	0.0	2	horizontal	1
7.421833	0.006202	3.0	80.0	-57.483721	10219489.601482	97.607752	0.0	645.0	23.0	0.0	1.0	19.0	2	horizontal	1
7.522186	0.006289	2.993711	80.0	-57.577044	10042258.87588	97.207547	0.0	636.0	23.0	0.0	0.0	0.0	2	horizontal	1
7.623180	0.006079	3.0	80.0	-57.93769	10323486.226232	97.595745	0.0	658.0	126.0	0.0	0.0	0.0	2	horizontal	1
7.723448	0.006182	3.0	80.0	-57.513138	10224484.050745	97.605873	0.0	647.0	23.0	0.0	0.0	0.0	2	horizontal	1
7.824810	0.0	3.0	80.0	-57.854103	10286050.846797	97.0	0.0	658.0	25.0	0.0	0.0	0.0	2	horizontal	1
7.926792	0.012066	2.993967	80.0	-57.926094	10301281.639573	97.790347	0.0	663.0	46.0	0.0	0.0	0.0	2	horizontal	1
8.029267	0.006042	3.0	80.0	-57.592145	10236208.416501	97.592145	0.0	662.0	162.0	0.0	0.0	0.0	2	horizontal	1
8.131439	0.0	3.0	80.0	-57.974359	10281970.308125	97.0	0.0	663.0	73.0	0.0	0.0	0.0	2	horizontal	1
8.232181	0.006107	3.0	80.0	-57.935878	10302241.795839	97.598473	0.0	655.0	23.0	0.0	0.0	0.0	2	horizontal	1
8.333728	0.259312	2.746418	80.0	-57.885387	10891501.874721	105.929799	0.0	698.0	196.0	0.0	0.0	0.0	2	horizontal	1
8.436233	0.0	3.0	80.0	-57.884498	10171217.067706	97.0	0.0	658.0	216.0	0.0	0.0	0.0	2	horizontal	1
8.537716	0.173913	2.831884	80.0	-58.065217	10773341.404592	103.115942	0.0	690.0	179.0	0.0	0.0	0.0	2	horizontal	1
8.639091	0.066165	2.93985	80.0	-57.87218	10394161.321249	99.574436	0.0	665.0	109.0	0.0	0.0	0.0	2	horizontal	1
8.739094	0.0	3.0	80.0	-58.050769	10299056.898755	97.0	0.0	650.0	19.0	0.0	0.0	0.0	2	horizontal	1
8.839170	0.012365	2.993818	80.0	-57.927357	10244162.348504	97.809892	0.0	647.0	103.0	0.0	0.0	0.0	2	horizontal	1
8.939373	0.006135	3.0	80.0	-58.067485	10310082.592014	97.601227	0.0	652.0	60.0	0.0	0.0	0.0	2	horizontal	1
9.040142	0.0	3.0	80.0	-57.884615	10220803.72027	97.0	0.0	650.0	155.0	0.0	0.0	0.0	2	horizontal	1
9.141906	0.777658	2.758324	80.0	-57.976369	14495992.001268	157.501611	0.0	931.0	512.0	0.0	0.0	0.0	2	horizontal	1
9.244167	0.388021	2.802083	80.0	-58.291667	11899727.775358	122.161458	0.0	768.0	294.0	0.0	0.0	0.0	2	horizontal	1
9.344520	0.0	3.0	80.0	-58.041284	10326162.689288	97.0	0.0	654.0	47.0	0.0	0.0	0.0	2	horizontal	1
9.445838	0.156342	2.849558	80.0	-58.132743	10603405.91846	102.542773	0.0	678.0	132.0	0.0	0.0	0.0	2	horizontal	1
9.547611	0.257511	2.748212	80.0	-58.23176	10882677.397018	105.869814	0.0	699.0	308.0	0.0	0.0	0.0	2	horizontal	1
9.648953	0.006079	2.993921	80.0	-58.259878	10288061.640745	97.200608	0.0	658.0	126.0	0.0	0.0	0.0	2	horizontal	1
9.749547	0.006144	3.0	80.0	-57.804916	10254322.470414	97.602151	0.0	651.0	51.0	0.0	0.0	0.0	2	horizontal	1
9.850356	0.01227	2.993865	80.0	-57.753067	10248352.18701	97.803681	0.0	652.0	177.0	0.0	0.0	0.0	2	horizontal	1
9.951776	0.0	3.0	80.0	-57.927052	10280085.515141	97.0	0.0	658.0	28.0	0.0	0.0	0.0	2	horizontal	1
10.053128	0.006079	3.0	80.0	-57.803951	10286971.952894	97.595745	0.0	658.0	126.0	0.0	0.0	0.0	2	horizontal	1
10.155206	0.01227	2.993865	80.0	-58.156442	10121055.420924	97.803681	0.0	652.0	119.0	0.0	0.0	0.0	2	horizontal	1
10.255531	0.0	3.0	80.0	-57.711864	10250249.330712	97.0	0.0	649.0	60.0	0.0	0.0	0.0	2	horizontal	1
10.357476	0.006061	3.0	80.0	-57.89697	10258350.165277	97.593939	0.0	660.0	68.0	0.0	0.0	0.0	2	horizontal	1
10.458027	0.382609	3.0	80.0	-57.924224	12685053.011323	134.495652	0.0	805.0	319.0	0.0	0.0	0.0	2	horizontal	1
10.559022	0.734205	2.775599	80.0	-58.050109	14401682.733061	154.366013	0.0	918.0	617.0	0.0	0.0	0.0	2	horizontal	1
10.661282	0.201754	2.804094	80.0	-57.988304	10598717.587795	104.038012	0.0	684.0	186.0	0.0	0.0	0.0	2	horizontal	1
10.763708	0.006024	3.0	80.0	-57.957831	10271860.165113	97.590361	0.0	664.0	172.0	0.0	0.0	0.0	2	horizontal	1
10.865508	0.00607	2.99393	80.0	-57.822458	10257453.533555	97.200303	0.0	659.0	95.0	0.0	0.0	0.0	2	horizontal	1
10.966206	0.006154	3.0	80.0	-57.82	10228015.221167	97.603077	0.0	650.0	137.0	0.0	0.0	0.0	2	horizontal	1
11.068150	0.006182	3.0	80.0	-57.976816	10056546.320734	97.605873	0.0	647.0	156.0	0.0	0.0	0.0	2	horizontal	1
11.168942	0.0	3.0	80.0	-57.884498	10344116.120216	97.0	0.0	658.0	27.0	0.0	0.0	0.0	2	horizontal	1
11.270099	0.012365	2.993818	80.0	-57.902628	10134647.402458	97.809892	0.0	647.0	121.0	0.0	0.0	0.0	2	horizontal	1
11.370441	0.006079	3.0	80.0	-57.762918	10390591.765074	97.595745	0.0	658.0	89.0	0.0	0.0	0.0	2	horizontal	1
11.471587	0.0	3.0	80.0	-57.936508	9869309.682202	97.0	0.0	630.0	66.0	0.0	0.0	0.0	2	horizontal	1
11.573019	0.005926	3.0	80.0	-57.871111	10544606.299206	97.580741	0.0	675.0	32.0	0.0	0.0	0.0	2	horizontal	1
11.673244	0.374841	2.994917	80.0	-58.073698	12442146.755423	133.404066	0.0	787.0	223.0	0.0	0.0	0.0	2	horizontal	1
11.774630	0.797849	2.724731	80.0	-58.647312	14534413.748927	157.296774	0.0	930.0	538.0	0.0	0.0	0.0	2	horizontal	1
11.876186	0.65408	2.526188	80.0	-58.496955	12794552.918226	130.302071	0.0	821.0	542.0	0.0	0.0	0.0	2	horizontal	1
11.977146	0.416321	2.589212	80.0	-58.355463	11347114.059414	111.098202	0.0	723.0	246.0	0.0	0.0	0.0	2	horizontal	1
12.077156	0.121257	2.884731	80.0	-58.169162	10583408.959013	101.390719	0.0	668.0	193.0	0.0	0.0	0.0	2	horizontal	1
12.178427	0.0	3.0	80.0	-58.079511	10232623.852901	97.0	0.0	654.0	0.0	0.0	0.0	0.0	2	horizontal	1
12.279559	0.678815	2.724374	80.0	-57.984055	13755730.145169	145.6082	0.0	878.0	525.0	0.0	0.0	0.0	2	horizontal	1
12.381261	0.006126	2.993874	80.0	-57.998469	10173811.011672	97.202144	0.0	653.0	139.0	0.0	0.0	0.0	2	horizontal	1
12.482029	0.006126	3.0	80.0	-58.030628	10268109.702432	97.600306	0.0	653.0	42.0	0.0	0.0	0.0	2	horizontal	1
12.584244	0.199422	2.806358	80.0	-58.339595	10727248.909433	103.956647	0.0	692.0	209.0	0.0	0.0	0.0	2	horizontal	1
12.684249	0.0	3.0	80.0	-58.310398	10362083.657371	97.0	0.0	654.0	73.0	0.0	0.0	0.0	2	horizontal	1
12.784251	0.012195	2.993902	80.0	-57.842988	10394354.72976	97.79878	0.0	656.0	64.0	0.0	0.0	0.0	2	horizontal	1
12.885019	0.006289	3.0	80.0	-58.072327	10000894.528358	97.616352	0.0	636.0	61.0	0.0	0.0	0.0	2	horizontal	1
12.986540	0.0	3.0	80.0	-58.080547	10269900.589484	97.0	0.0	658.0	27.0	0.0	0.0	0.0	2	horizontal	1
13.087020	0.006088	3.0	80.0	-57.835616	10360502.851984	97.596651	0.0	657.0	75.0	0.0	0.0	0.0	2	horizontal	1
13.187109	0.012442	2.993779	80.0	-58.178849	10179553.024045	97.81493	0.0	643.0	101.0	0.0	0.0	0.0	2	horizontal	1
13.287405	0.0	3.0	80.0	-57.856921	10158408.165891	97.0	0.0	643.0	85.0	0.0	0.0	0.0	2	horizontal	1
13.388825	0.006299	3.0	80.0	-58.096063	9908307.837653	97.617323	0.0	635.0	70.0	0.0	1.0	19.0	2	horizontal	1
13.489031	0.171108	3.0	80.0	-57.948107	11274209.514739	113.768583	0.0	713.0	104.0	0.0	0.0	0.0	2	horizontal	1
13.590800	0.106928	2.938253	80.0	-58.240964	10338351.054801	103.465361	0.0	664.0	246.0	0.0	0.0	0.0	2	horizontal	1
13.692070	0.006107	3.0	80.0	-58.08855	10248540.345222	97.598473	0.0	655.0	71.0	0.0	0.0	0.0	2	horizontal	1
13.793782	0.204906	2.795094	80.0	-58.352092	10795591.78036	103.761905	0.0	693.0	176.0	0.0	0.0	0.0	2	horizontal	1
13.894452	0.012232	2.993884	80.0	-58.009174	10293918.509766	97.801223	0.0	654.0	62.0	0.0	0.0	0.0	2	horizontal	1
13.995633	0.006079	3.0	80.0	-57.849544	10304524.1785	97.595745	0.0	658.0	46.0	0.0	0.0	0.0	2	horizontal	1
14.097253	0.006126	2.993874	80.0	-58.091884	10182036.248817	97.202144	0.0	653.0	32.0	0.0	0.0	0.0	2	horizontal	1
14.197616	0.537295	2.672566	80.0	-58.605563	12487679.254369	128.371681	0.0	791.0	383.0	0.0	0.0	0.0	2	horizontal	1
14.298347	0.586164	2.602516	80.0	-58.586164	12504856.74226	128.607547	0.0	795.0	509.0	0.0	0.0	0.0	2	horizontal	1
14.398605	0.01227	2.993865	80.0	-58.161043	10304647.892762	97.803681	0.0	652.0	60.0	0.0	0.0	0.0	2	horizontal	1
14.500499	0.365079	2.804233	80.0	-58.329365	11755956.554866	120.05291	0.0	756.0	235.0	0.0	0.0	0.0	2	horizontal	1
14.601324	0.01227	2.993865	80.0	-58.121166	10246573.409382	97.803681	0.0	652.0	36.0	0.0	0.0	0.0	2	horizontal	1
14.704809	0.00625	3.0	80.0	-58.028125	9799457.812733	97.6125	0.0	640.0	124.0	0.0	0.0	0.0	2	horizontal	1
14.804883	0.352459	2.647541	80.0	-58.329235	11590216.605783	108.631148	0.0	732.0	248.0	0.0	0.0	0.0	2	horizontal	1
14.906797	0.822665	2.681007	80.0	-58.438615	14816011.46566	156.886674	0.0	953.0	648.0	0.0	0.0	0.0	2	horizontal	1
15.007853	0.012251	2.993874	80.0	-58.013783	10238805.822161	97.80245	0.0	653.0	140.0	0.0	0.0	0.0	2	horizontal	1
15.110070	0.006088	3.0	80.0	-58.010654	10184585.561134	97.596651	0.0	657.0	107.0	0.0	0.0	0.0	2	horizontal	1
15.211744	0.006107	2.993893	80.0	-58.0	10207869.675152	97.201527	0.0	655.0	63.0	0.0	0.0	0.0	2	horizontal	1
