time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	distance	antenna	LoS
7.525699	7.0	3.0	80.0	-48.108696	10883891.859406	975.0	0.0	368.0	3.0	1265.0	257.0	177541.0	1	left	1
7.626724	7.0	3.0	80.0	-48.0	11034035.237232	975.0	0.0	375.0	0.0	1268.0	270.0	193405.0	1	left	1
7.726825	7.0	3.0	80.0	-48.101449	12389070.524408	975.0	0.0	414.0	5.0	1250.0	280.0	197449.0	1	left	1
7.826832	7.0	3.0	80.0	-48.113889	10861125.912028	975.0	18.0	360.0	6.0	1243.0	248.0	127868.0	1	left	1
7.927350	7.0	3.0	80.0	-48.052632	9561228.499754	975.0	0.0	323.0	3.0	1233.0	229.0	172947.0	1	left	1
8.028765	7.0	3.0	80.0	-48.074286	10376052.425033	975.0	2.0	350.0	5.0	1235.0	252.0	185243.0	1	left	1
8.129380	7.0	3.0	80.0	-48.145401	10056021.901162	975.0	0.0	337.0	4.0	1248.0	245.0	172916.0	1	left	1
8.229490	7.0	3.0	80.0	-48.10585	10655648.483309	975.0	0.0	359.0	1.0	1244.0	249.0	172922.0	1	left	1
8.330899	7.0	3.0	80.0	-48.225434	10238892.974192	975.0	0.0	346.0	3.0	1224.0	251.0	148338.0	1	left	1
8.432286	7.0	3.0	80.0	-48.14248	11235825.171751	975.0	0.0	379.0	1.0	1299.0	275.0	205721.0	1	left	1
8.533069	7.0	3.0	80.0	-48.170659	9960954.449265	975.0	1.0	334.0	2.0	1234.0	226.0	160646.0	1	left	1
8.634321	7.0	3.0	80.0	-48.182957	11758473.2256	975.0	0.0	399.0	6.0	1268.0	289.0	197488.0	1	left	1
8.734493	7.0	3.0	80.0	-48.117347	11577948.479388	975.0	0.0	392.0	4.0	1255.0	277.0	156513.0	1	left	1
8.834780	7.0	3.0	80.0	-48.205556	10665414.424808	975.0	1.0	360.0	5.0	1221.0	260.0	168809.0	1	left	1
8.934863	7.0	3.0	80.0	-48.179894	11259045.27925	975.0	0.0	378.0	2.0	1267.0	262.0	181112.0	1	left	1
9.035922	7.0	3.0	80.0	-48.253846	11579131.096333	975.0	1.0	390.0	2.0	1237.0	269.0	152403.0	1	left	1
9.136534	7.0	3.0	80.0	-48.174286	10502392.575855	975.0	1.0	350.0	3.0	1237.0	240.0	147839.0	1	left	1
9.237572	7.0	3.0	80.0	-48.167959	11445351.020196	975.0	0.0	387.0	1.0	1257.0	258.0	152932.0	1	left	1
9.339006	7.0	3.0	80.0	-48.170799	10681363.690371	975.0	0.0	363.0	2.0	1261.0	254.0	156552.0	1	left	1
9.439874	7.0	3.0	80.0	-48.238342	11494898.078556	975.0	0.0	386.0	3.0	1257.0	271.0	193384.0	1	left	1
9.541024	7.0	3.0	80.0	-48.12605	10438128.681267	975.0	0.0	357.0	5.0	1237.0	273.0	209784.0	1	left	1
9.641283	7.0	3.0	80.0	-48.270349	10310344.04891	975.0	1.0	344.0	3.0	1164.0	252.0	168759.0	1	left	1
9.741294	7.0	3.0	80.0	-48.180371	11081404.893346	975.0	0.0	377.0	4.0	1239.0	266.0	181092.0	1	left	1
9.842254	7.0	3.0	80.0	-48.064067	10638866.139274	975.0	7.0	359.0	2.0	1262.0	269.0	214409.0	1	left	1
9.943466	7.0	3.0	80.0	-48.214286	10352399.745369	975.0	1.0	350.0	1.0	1223.0	263.0	205164.0	1	left	1
10.043521	7.0	3.0	80.0	-48.193299	11602808.417577	975.0	4.0	388.0	1.0	1266.0	268.0	185199.0	1	left	1
10.144590	7.0	3.0	80.0	-48.201705	10100211.063614	975.0	0.0	352.0	2.0	1076.0	227.0	176856.0	1	left	1
10.245946	7.0	3.0	80.0	-48.205405	10935174.970022	975.0	0.0	370.0	4.0	1187.0	266.0	160713.0	1	left	1
10.347008	7.0	3.0	80.0	-48.143236	11149308.639383	975.0	1.0	377.0	3.0	1282.0	276.0	176890.0	1	left	1
10.447945	7.0	3.0	80.0	-48.178082	10840569.661129	975.0	0.0	365.0	2.0	1240.0	259.0	156526.0	1	left	1
10.548174	7.0	3.0	80.0	-48.125356	10392924.969803	975.0	1.0	351.0	2.0	1250.0	258.0	222087.0	1	left	1
10.648175	7.0	3.0	80.0	-48.087855	11593566.498984	975.0	0.0	387.0	1.0	1265.0	275.0	181104.0	1	left	1
10.748560	7.0	3.0	80.0	-48.216837	11777269.055859	975.0	1.0	392.0	10.0	1236.0	260.0	160598.0	1	left	1
10.848591	7.0	3.0	80.0	-48.172507	11230187.625986	975.0	0.0	371.0	4.0	1237.0	259.0	201577.0	1	left	1
10.948775	7.0	3.0	80.0	-48.193122	11158960.072169	975.0	1.0	378.0	5.0	1248.0	268.0	226142.0	1	left	1
11.049281	7.0	3.0	80.0	-48.179625	11059178.45577	975.0	0.0	373.0	5.0	1216.0	270.0	146279.0	1	left	1
11.150022	7.0	3.0	80.0	-48.185075	9998869.77481	975.0	0.0	335.0	1.0	1259.0	249.0	179096.0	1	left	1
11.250984	7.0	3.0	80.0	-48.210959	10941715.569673	975.0	0.0	365.0	4.0	1276.0	255.0	168852.0	1	left	1
11.352080	7.0	3.0	80.0	-48.156085	11311852.926109	975.0	1.0	378.0	3.0	1232.0	275.0	193368.0	1	left	1
11.453264	7.0	3.0	80.0	-48.286111	10615556.901751	975.0	1.0	360.0	6.0	1259.0	241.0	152459.0	1	left	1
11.554428	7.0	3.0	80.0	-48.166667	11155450.555534	975.0	8.0	378.0	2.0	1279.0	269.0	177034.0	1	left	1
11.654779	7.0	3.0	80.0	-48.176471	10146706.784128	975.0	2.0	340.0	5.0	1216.0	238.0	148337.0	1	left	1
11.754781	7.0	3.0	80.0	-48.201681	10814986.404018	975.0	0.0	357.0	3.0	1240.0	263.0	181113.0	1	left	1
11.855544	7.0	3.0	80.0	-48.255376	11015981.099038	975.0	0.0	372.0	1.0	1174.0	267.0	185125.0	1	left	1
11.955603	7.0	3.0	80.0	-48.243697	10658324.635639	975.0	0.0	357.0	3.0	1225.0	257.0	176872.0	1	left	1
12.056398	7.0	3.0	80.0	-48.209945	10630013.51853	975.0	0.0	362.0	2.0	1156.0	267.0	168864.0	1	left	1
12.157940	7.0	3.0	80.0	-48.208226	11597146.249021	975.0	0.0	389.0	3.0	1348.0	276.0	164548.0	1	left	1
12.259222	7.0	3.0	80.0	-48.232984	11398613.700317	975.0	0.0	382.0	1.0	1455.0	274.0	181558.0	1	left	1
12.359458	7.0	3.0	80.0	-48.189573	12769623.832683	975.0	0.0	422.0	7.0	1424.0	293.0	185326.0	1	left	1
12.460887	7.0	3.0	80.0	-48.180905	11973650.306814	975.0	0.0	398.0	0.0	1431.0	277.0	226319.0	1	left	1
12.561297	7.0	3.0	80.0	-48.294554	12205944.398497	975.0	0.0	404.0	1.0	1443.0	282.0	201745.0	1	left	1
12.661789	7.0	3.0	80.0	-48.253333	11316843.383838	975.0	0.0	375.0	3.0	1419.0	267.0	222232.0	1	left	1
12.762384	7.0	3.0	80.0	-48.348039	12291086.384203	975.0	0.0	408.0	3.0	1442.0	279.0	226318.0	1	left	1
12.863587	7.0	3.0	80.0	-48.321508	13519354.852033	975.0	1.0	451.0	6.0	1465.0	313.0	209917.0	1	left	1
12.964983	7.0	3.0	80.0	-48.258824	12669589.435883	975.0	0.0	425.0	3.0	1453.0	290.0	234506.0	1	left	1
13.066175	7.0	3.0	80.0	-48.309091	13109247.617134	975.0	0.0	440.0	3.0	1453.0	292.0	205818.0	1	left	1
13.166262	7.0	3.0	80.0	-48.219212	12269664.71798	975.0	0.0	406.0	4.0	1447.0	288.0	230422.0	1	left	1
13.266343	7.0	3.0	80.0	-48.276042	11565686.268505	975.0	0.0	384.0	2.0	1409.0	266.0	141318.0	1	left	1
13.367428	7.0	3.0	80.0	-48.345912	14200100.175458	975.0	0.0	477.0	2.0	1444.0	342.0	276426.0	1	left	1
13.468039	7.0	3.0	80.0	-48.292804	12151585.499405	975.0	0.0	403.0	6.0	1427.0	279.0	228359.0	1	left	1
13.569077	7.0	3.0	80.0	-48.406326	12239723.057604	975.0	0.0	411.0	6.0	1441.0	280.0	177172.0	1	left	1
13.669368	7.0	3.0	80.0	-48.268409	12701133.039046	975.0	22.0	421.0	2.0	1436.0	286.0	214005.0	1	left	1
13.769822	7.0	3.0	80.0	-48.352113	12847895.991683	975.0	0.0	426.0	2.0	1433.0	296.0	209906.0	1	left	1
13.870258	7.0	3.0	80.0	-48.326781	12295843.199468	975.0	0.0	407.0	1.0	1425.0	297.0	222205.0	1	left	1
13.970454	7.0	3.0	80.0	-48.342995	12465399.644893	975.0	0.0	414.0	3.0	1433.0	295.0	242688.0	1	left	1
14.070457	7.0	3.0	80.0	-48.430518	11034603.693524	975.0	1.0	367.0	0.0	1317.0	264.0	189367.0	1	left	1
14.171337	7.0	3.0	80.0	-48.343387	12979907.983409	975.0	0.0	431.0	5.0	1413.0	301.0	225251.0	1	left	1
14.271595	7.0	3.0	80.0	-48.353887	11279962.58139	975.0	0.0	373.0	1.0	1446.0	273.0	190522.0	1	left	1
14.371858	7.0	3.0	80.0	-48.311392	11915318.541873	975.0	0.0	395.0	5.0	1444.0	279.0	201741.0	1	left	1
14.472737	7.0	3.0	80.0	-48.329412	12796059.362891	975.0	0.0	425.0	1.0	1450.0	307.0	263176.0	1	left	1
14.573115	7.0	3.0	80.0	-48.426267	12999636.434416	975.0	0.0	434.0	4.0	1453.0	293.0	218116.0	1	left	1
14.674037	7.0	3.0	80.0	-48.341121	12820620.926233	975.0	0.0	428.0	3.0	1458.0	305.0	263204.0	1	left	1
14.774434	7.0	3.0	80.0	-48.293814	11743843.904034	975.0	0.0	388.0	1.0	1436.0	279.0	238589.0	1	left	1
14.875230	7.0	3.0	80.0	-48.300493	12100382.922367	975.0	0.0	406.0	2.0	1451.0	296.0	222235.0	1	left	1
14.975432	7.0	3.0	80.0	-48.384416	11522875.889722	975.0	1.0	385.0	3.0	1421.0	280.0	229122.0	1	left	1
15.075532	7.0	3.0	80.0	-48.33995	12151280.807197	975.0	0.0	403.0	2.0	1425.0	289.0	190737.0	1	left	1
15.176944	7.0	3.0	80.0	-48.370892	12684355.711482	975.0	0.0	426.0	5.0	1481.0	307.0	255017.0	1	left	1
15.278334	7.0	3.0	80.0	-48.337047	10638535.630687	975.0	0.0	359.0	3.0	1389.0	268.0	205832.0	1	left	1
15.378623	7.0	3.0	80.0	-48.396752	12979422.813497	975.0	0.0	431.0	2.0	1445.0	295.0	246777.0	1	left	1
15.479622	7.0	3.0	80.0	-48.370192	12518219.387189	975.0	0.0	416.0	2.0	1427.0	290.0	175095.0	1	left	1
15.580039	7.0	3.0	80.0	-48.30102	11788853.607137	975.0	0.0	392.0	2.0	1444.0	270.0	191519.0	1	left	1
15.680477	7.0	3.0	80.0	-48.397959	11772963.518473	975.0	0.0	392.0	2.0	1440.0	279.0	215972.0	1	left	1
15.780493	7.0	3.0	80.0	-48.372449	11822138.285539	975.0	0.0	392.0	4.0	1440.0	271.0	199830.0	1	left	1
15.880496	7.0	3.0	80.0	-48.413876	12689144.079053	975.0	0.0	418.0	4.0	1407.0	276.0	213984.0	1	left	1
15.981079	7.0	3.0	80.0	-48.460621	12572580.203782	975.0	0.0	419.0	6.0	1430.0	265.0	193528.0	1	left	1
16.081574	7.0	3.0	80.0	-48.415755	13709779.72732	975.0	0.0	457.0	2.0	1438.0	305.0	230363.0	1	left	1
16.182372	7.0	3.0	80.0	-48.366505	12373760.652662	975.0	0.0	412.0	3.0	1445.0	290.0	234512.0	1	left	1
16.283422	7.0	3.0	80.0	-48.344444	10645781.937037	975.0	0.0	360.0	1.0	1289.0	270.0	148384.0	1	left	1
16.384289	7.0	3.0	80.0	-48.31713	12965984.750173	975.0	0.0	432.0	3.0	1434.0	295.0	209904.0	1	left	1
16.485362	7.0	3.0	80.0	-48.393519	12850010.774878	975.0	27.0	432.0	2.0	1452.0	289.0	197827.0	1	left	1
16.585902	7.0	3.0	80.0	-48.453237	12512268.446164	975.0	0.0	417.0	3.0	1454.0	280.0	187213.0	1	left	1
16.686916	7.0	3.0	80.0	-48.439716	12597111.740882	975.0	1.0	423.0	2.0	1426.0	299.0	220140.0	1	left	1
16.787401	7.0	3.0	80.0	-48.411348	12691772.823705	975.0	0.0	423.0	1.0	1441.0	297.0	222208.0	1	left	1
16.888404	7.0	3.0	80.0	-48.337379	12319038.113549	975.0	0.0	412.0	2.0	1435.0	293.0	177154.0	1	left	1
16.988819	7.0	3.0	80.0	-48.345455	11409049.307568	975.0	1.0	385.0	3.0	1419.0	277.0	238603.0	1	left	1
17.088868	7.0	3.0	80.0	-48.47541	13008337.004793	975.0	0.0	427.0	4.0	1413.0	290.0	250596.0	1	left	1
17.188869	7.0	3.0	80.0	-48.431072	13778107.889689	975.0	0.0	457.0	5.0	1433.0	298.0	187747.0	1	left	1
17.289620	7.0	3.0	80.0	-48.362187	13107016.352396	975.0	0.0	439.0	3.0	1427.0	305.0	224084.0	1	left	1
17.389867	7.0	3.0	80.0	-48.36	13677550.735887	975.0	0.0	450.0	5.0	1432.0	294.0	200668.0	1	left	1
17.491079	7.0	3.0	80.0	-48.450495	12094383.732886	975.0	1.0	404.0	7.0	1443.0	288.0	210968.0	1	left	1
17.592528	7.0	3.0	80.0	-48.34186	12875977.810818	975.0	3.0	430.0	3.0	1440.0	295.0	246777.0	1	left	1
17.693503	7.0	3.0	80.0	-48.400552	10847191.341277	975.0	0.0	362.0	3.0	1438.0	258.0	177207.0	1	left	1
17.794150	7.0	3.0	80.0	-48.381779	13826814.782108	975.0	0.0	461.0	3.0	1439.0	304.0	213971.0	1	left	1
17.895125	7.0	3.0	80.0	-48.42619	12371903.327691	975.0	0.0	420.0	4.0	1441.0	290.0	225701.0	1	left	1
17.995510	7.0	3.0	80.0	-48.465686	12363651.13582	975.0	0.0	408.0	3.0	1403.0	273.0	181836.0	1	left	1
18.096220	7.0	3.0	80.0	-48.433014	12539288.667992	975.0	0.0	418.0	3.0	1427.0	294.0	173045.0	1	left	1
18.197594	7.0	3.0	80.0	-48.359036	12456560.791631	975.0	0.0	415.0	6.0	1426.0	302.0	259064.0	1	left	1
18.297621	7.0	3.0	80.0	-48.331606	11678931.096892	975.0	0.0	386.0	1.0	1383.0	275.0	185321.0	1	left	1
18.398181	7.0	3.0	80.0	-48.351351	11138263.275241	975.0	0.0	370.0	8.0	1313.0	251.0	166585.0	1	left	1
18.499364	7.0	3.0	80.0	-48.472081	11865209.404259	975.0	0.0	394.0	3.0	1451.0	284.0	249126.0	1	left	1
18.599377	7.0	3.0	80.0	-48.425197	11525848.500228	975.0	0.0	381.0	2.0	1420.0	261.0	181264.0	1	left	1
18.700249	7.0	3.0	80.0	-48.381818	13135961.151439	975.0	0.0	440.0	4.0	1449.0	309.0	254966.0	1	left	1
18.800272	7.0	3.0	80.0	-48.426273	11246398.595541	975.0	0.0	373.0	1.0	1439.0	259.0	196557.0	1	left	1
18.900626	7.0	3.0	80.0	-48.461347	12135230.000036	975.0	0.0	401.0	5.0	1412.0	295.0	240217.0	1	left	1
19.000629	7.0	3.0	80.0	-48.423888	13012782.708672	975.0	4.0	427.0	2.0	1427.0	301.0	209388.0	1	left	1
19.101073	7.0	3.0	80.0	-48.431981	12603190.076024	975.0	0.0	419.0	5.0	1446.0	291.0	201737.0	1	left	1
19.201402	7.0	3.0	80.0	-48.357664	12417106.60174	975.0	0.0	411.0	5.0	1414.0	279.0	244717.0	1	left	1
19.302797	7.0	3.0	80.0	-48.375315	11843189.534329	975.0	0.0	397.0	3.0	1451.0	288.0	216104.0	1	left	1
19.404165	7.0	3.0	80.0	-48.365079	11296765.654125	975.0	1.0	378.0	3.0	1439.0	275.0	230442.0	1	left	1
19.505306	7.0	3.0	80.0	-48.428571	11566109.848886	975.0	0.0	385.0	2.0	1449.0	278.0	226346.0	1	left	1
19.605313	7.0	3.0	80.0	-48.4025	12009693.96553	975.0	2.0	400.0	3.0	1432.0	280.0	218123.0	1	left	1
19.705424	7.0	3.0	80.0	-48.417526	11702273.402092	975.0	0.0	388.0	2.0	1426.0	269.0	177175.0	1	left	1
19.806716	7.0	3.0	80.0	-48.392857	10697152.469184	975.0	0.0	364.0	7.0	1442.0	268.0	160828.0	1	left	1
19.906905	7.0	3.0	80.0	-48.439776	10763447.035075	975.0	0.0	357.0	1.0	1419.0	268.0	181288.0	1	left	1
20.007773	7.0	3.0	80.0	-48.458738	12379642.734079	975.0	0.0	412.0	5.0	1458.0	279.0	189466.0	1	left	1
20.108562	7.0	3.0	80.0	-48.462651	12347468.594812	975.0	0.0	415.0	3.0	1444.0	283.0	201739.0	1	left	1
20.209064	7.0	3.0	80.0	-48.464548	12108555.090992	975.0	0.0	409.0	4.0	1440.0	288.0	234506.0	1	left	1
20.310277	7.0	3.0	80.0	-48.412935	11899191.177881	975.0	0.0	402.0	2.0	1377.0	289.0	177108.0	1	left	1
20.411380	7.0	3.0	80.0	-48.389831	12324277.027576	975.0	1.0	413.0	3.0	1431.0	290.0	160768.0	1	left	1
20.511997	7.0	3.0	80.0	-48.420673	12431370.735115	975.0	0.0	416.0	3.0	1420.0	319.0	223220.0	1	left	1
20.613212	7.0	3.0	80.0	-48.410256	10381542.84274	975.0	0.0	351.0	4.0	1321.0	266.0	204754.0	1	left	1
20.713308	7.0	3.0	80.0	-48.469849	12072689.57371	975.0	0.0	398.0	4.0	1410.0	278.0	226294.0	1	left	1
20.814472	7.0	3.0	80.0	-48.473039	12207712.640898	975.0	0.0	408.0	0.0	1449.0	274.0	185365.0	1	left	1
20.915454	7.0	3.0	80.0	-48.519231	12518868.120903	975.0	0.0	416.0	6.0	1441.0	274.0	197637.0	1	left	1
21.015571	7.0	3.0	80.0	-48.447689	12398262.874001	975.0	0.0	411.0	3.0	1432.0	290.0	199684.0	1	left	1
21.116252	7.0	3.0	80.0	-48.373368	11452018.46136	975.0	3.0	383.0	6.0	1420.0	291.0	228370.0	1	left	1
