time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.100283	7.0	3	80.0	-49.2299	12399300.0	975.0	1.0	435.0	5.0	1690.0	261.0	140588.0	0.0	1	left	1
8.200672	7.0	3	80.0	-49.2082	12763500.0	975.0	0.0	437.0	4.0	1023.0	256.0	131659.0	0.0	1	left	1
8.300678	7.0	3	80.0	-49.2468	13499400.0	975.0	0.0	462.0	1.0	1014.0	268.0	119339.0	0.0	1	left	1
8.401449	7.0	3	80.0	-49.234	12269900.0	975.0	0.0	423.0	7.0	1018.0	265.0	135773.0	0.0	1	left	1
8.502204	7.0	3	80.0	-49.2199	12431800.0	975.0	0.0	432.0	1.0	1009.0	258.0	139842.0	0.0	1	left	1
8.603466	7.0	3	80.0	-49.1908	13027400.0	975.0	0.0	456.0	3.0	1001.0	267.0	156199.0	0.0	1	left	1
8.704358	7.0	3	80.0	-49.2441	12197700.0	975.0	6.0	426.0	9.0	1068.0	258.0	127625.0	0.0	1	left	1
8.805581	7.0	3	80.0	-49.1595	14443900.0	975.0	0.0	489.0	3.0	1163.0	283.0	123554.0	0.0	1	left	1
8.906549	7.0	3	80.0	-49.1682	15786600.0	975.0	0.0	535.0	4.0	1303.0	310.0	211724.0	0.0	1	left	1
9.007774	7.0	3	80.0	-49.1756	15528500.0	975.0	3.0	524.0	3.0	1259.0	311.0	199389.0	0.0	1	left	1
9.108746	7.0	3	80.0	-49.2275	16095100.0	975.0	0.0	545.0	2.0	1238.0	326.0	139963.0	0.0	1	left	1
9.209033	7.0	3	80.0	-49.2457	15615200.0	975.0	2.0	525.0	1.0	1271.0	319.0	135918.0	0.0	1	left	1
9.309192	7.0	3	80.0	-49.1863	15170500.0	975.0	1.0	510.0	7.0	1236.0	303.0	144091.0	0.0	1	left	1
9.409996	7.0	3	80.0	-49.2397	16579700.0	975.0	0.0	559.0	3.0	1284.0	322.0	193236.0	0.0	1	left	1
9.511233	7.0	3	80.0	-49.1682	15593200.0	975.0	0.0	535.0	5.0	1272.0	317.0	172781.0	0.0	1	left	1
9.611547	7.0	3	80.0	-49.2509	16155300.0	975.0	0.0	546.0	2.0	1242.0	310.0	164541.0	0.0	1	left	1
9.712610	7.0	3	80.0	-49.1941	16852100.0	975.0	0.0	577.0	1.0	1255.0	328.0	148137.0	0.0	1	left	1
9.812635	7.0	3	80.0	-49.2485	15512200.0	975.0	1.0	515.0	4.0	1258.0	308.0	152306.0	0.0	1	left	1
9.912760	7.0	3	80.0	-49.2119	14403900.0	975.0	0.0	486.0	1.0	1121.0	297.0	143998.0	0.0	1	left	1
10.013320	7.0	3	80.0	-49.2486	15869900.0	975.0	0.0	539.0	0.0	1256.0	317.0	172747.0	0.0	1	left	1
10.113519	7.0	3	80.0	-49.2128	15755500.0	975.0	0.0	531.0	2.0	1259.0	304.0	152535.0	0.0	1	left	1
10.214579	7.0	3	80.0	-49.2038	15313700.0	975.0	2.0	520.0	3.0	1267.0	303.0	160242.0	0.0	1	left	1
10.314822	7.0	3	80.0	-49.1426	14929500.0	975.0	0.0	505.0	2.0	1230.0	294.0	148185.0	0.0	1	left	1
10.415982	7.0	3	80.0	-49.2077	15208800.0	975.0	0.0	520.0	3.0	1267.0	308.0	135920.0	0.0	1	left	1
10.516716	7.0	3	80.0	-49.1818	15946100.0	975.0	1.0	539.0	5.0	1240.0	314.0	176838.0	0.0	1	left	1
10.616896	7.0	3	80.0	-49.2278	16513500.0	975.0	0.0	553.0	1.0	1273.0	311.0	144082.0	0.0	1	left	1
10.717395	7.0	3	80.0	-49.2625	17053600.0	975.0	0.0	579.0	3.0	1244.0	334.0	144028.0	0.0	1	left	1
10.818008	7.0	3	80.0	-49.2933	16318900.0	975.0	1.0	549.0	3.0	1276.0	308.0	221904.0	0.0	1	left	1
