time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	distance	antenna	LoS
7.175738	0.0	1.0	20.0	-54.5	738044.391629	7.0	0.0	48.0	42.0	0.0	0.0	0.0	18.80	vertical	1
7.276548	0.08	1.0	20.0	-54.4	788498.281276	7.56	0.0	50.0	34.0	0.0	0.0	0.0	18.80	vertical	1
7.377267	0.0	1.818182	21.212121	-54.515152	1040949.22528	14.181818	0.0	66.0	36.0	0.0	0.0	0.0	18.80	vertical	1
7.480164	0.0	2.753731	20.597015	-55.544776	2065717.908064	19.753731	0.0	134.0	95.0	0.0	0.0	0.0	18.80	vertical	1
7.580543	0.04	2.0	20.8	-58.8	1581015.776236	15.2	0.0	100.0	65.0	0.0	0.0	0.0	18.80	vertical	1
7.683222	0.038462	2.038462	20.769231	-58.769231	1607409.541701	15.423077	0.0	104.0	56.0	0.0	0.0	0.0	18.80	vertical	1
7.785377	0.04	1.96	20.8	-58.75	1553523.677541	14.64	0.0	100.0	63.0	0.0	0.0	0.0	18.80	vertical	1
7.885809	0.04	2.0	20.8	-59.01	1580183.137351	15.2	0.0	100.0	60.0	0.0	0.0	0.0	18.80	vertical	1
7.987883	0.024691	2.808642	27.037037	-56.481481	2516984.797988	28.648148	0.0	162.0	84.0	0.0	0.0	0.0	18.80	vertical	1
8.088734	0.0	2.852273	55.454545	-59.696023	5531623.310243	62.681818	0.0	352.0	235.0	0.0	0.0	0.0	18.80	vertical	1
8.190876	0.0	2.486957	80.0	-62.313043	7136306.103667	80.482609	0.0	460.0	432.0	0.0	0.0	0.0	18.80	vertical	1
8.294339	0.0	2.121076	57.578475	-62.130045	3416383.677965	45.098655	0.0	223.0	197.0	0.0	1.0	1.0	18.80	vertical	1
8.395458	0.0	2.584699	32.896175	-58.590164	2869630.245	29.961749	0.0	183.0	162.0	0.0	0.0	0.0	18.80	vertical	1
8.497724	0.0	2.794118	20.588235	-55.367647	2109438.334322	20.029412	0.0	136.0	84.0	0.0	0.0	0.0	18.80	vertical	1
8.601404	0.0	2.855072	20.57971	-55.376812	2111222.412746	20.681159	0.0	138.0	110.0	0.0	0.0	0.0	18.80	vertical	1
8.705482	0.0	2.142857	26.326531	-57.5	1494384.901482	22.265306	0.0	98.0	76.0	0.0	0.0	0.0	18.80	vertical	1
8.807524	0.0	2.481328	40.6639	-60.236515	3743972.139588	37.80083	0.0	241.0	194.0	0.0	0.0	0.0	18.80	vertical	1
8.910875	0.019231	2.0	40.769231	-62.254808	3191031.779908	31.25	0.0	208.0	127.0	0.0	0.0	0.0	18.80	vertical	1
9.012493	0.039216	2.0	40.784314	-62.093137	3183087.427709	31.27451	0.0	204.0	109.0	0.0	0.0	0.0	18.80	vertical	1
9.115866	0.019231	2.0	40.769231	-62.442308	3190353.893476	31.25	0.0	208.0	119.0	0.0	0.0	0.0	18.80	vertical	1
9.217008	0.0	2.010989	40.879121	-60.967033	2853410.203374	30.934066	0.0	182.0	134.0	0.0	0.0	0.0	18.80	vertical	1
9.318899	0.0	1.857955	40.0	-61.477273	2739062.972214	27.869318	0.0	176.0	121.0	0.0	0.0	0.0	18.80	vertical	1
9.420578	0.0	1.93	21.6	-58.99	1560794.049399	14.23	0.0	100.0	72.0	0.0	0.0	0.0	18.80	vertical	1
9.523103	0.0	2.0	21.4	-59.22	1547909.737609	15.12	0.0	100.0	68.0	0.0	0.0	0.0	18.80	vertical	1
9.627204	0.0	2.31068	23.495146	-56.640777	1570131.060584	20.058252	0.0	103.0	78.0	0.0	0.0	0.0	18.80	vertical	1
9.729670	0.025723	2.987138	40.514469	-57.903537	4810726.803523	46.440514	0.0	311.0	142.0	0.0	0.0	0.0	18.80	vertical	1
