time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	distance	antenna	LoS
7.031256	5.006623	2.003311	80.0	-52.39404	36018725.698519	520.860927	0.0	1208.0	112.0	0.0	0.0	0.0	5	vertical	1
7.131784	5.822222	2.006584	80.0	-52.803292	36317986.479088	574.728395	0.0	1215.0	197.0	0.0	0.0	0.0	5	vertical	1
7.232243	6.015453	2.96468	80.0	-50.612215	40351372.918899	868.675497	0.0	1359.0	375.0	0.0	2.0	5.0	5	vertical	1
7.332277	7.0	3.0	80.0	-52.474205	42032172.562775	975.0	0.0	1415.0	334.0	0.0	0.0	0.0	5	vertical	1
7.432293	7.775433	3.0	80.0	-53.422005	39104984.032798	1126.062547	0.0	1327.0	230.0	0.0	21.0	88.0	5	vertical	1
7.532677	7.958464	3.0	80.0	-53.474922	37536171.322878	1161.90047	0.0	1276.0	301.0	0.0	36.0	183.0	5	vertical	1
7.632974	8.003157	3.0	80.0	-53.761642	36903416.196242	1170.410418	0.0	1267.0	141.0	0.0	36.0	8275.0	5	vertical	1
7.733081	7.905518	3.0	80.0	-53.867725	39127436.081055	1150.445956	0.0	1323.0	237.0	0.0	32.0	16487.0	5	vertical	1
7.833448	6.601845	2.752498	80.0	-52.914681	38630660.839041	863.714835	0.0	1301.0	275.0	814.0	14.0	40.0	5	vertical	1
7.933788	8.902721	2.009893	80.0	-55.631492	35280690.874654	860.41385	0.0	1213.0	21.0	0.0	0.0	0.0	5	vertical	1
8.034016	7.562977	2.613868	80.0	-53.772901	46572918.245563	913.306616	9.0	1572.0	722.0	1966.0	2.0	2.0	5	vertical	1
8.134301	6.695527	3.0	80.0	-52.726551	40864499.970913	945.313853	0.0	1386.0	514.0	918.0	4.0	4.0	5	vertical	1
8.234635	6.639687	3.0	80.0	-52.808529	33666989.906064	939.869452	0.0	1149.0	154.0	0.0	21.0	46.0	5	vertical	1
8.334860	6.86422	3.0	80.0	-51.494495	31818822.872892	961.761468	0.0	1090.0	161.0	0.0	26.0	72.0	5	vertical	1
8.435040	7.0	3.0	80.0	-51.070463	29926596.96454	975.0	0.0	1036.0	26.0	0.0	1.0	1.0	5	vertical	1
8.535124	7.002841	3.0	80.0	-51.163826	30332539.737168	975.553977	0.0	1056.0	12.0	0.0	0.0	0.0	5	vertical	1
8.635355	7.0	3.0	80.0	-50.743139	25868448.746708	975.0	0.0	911.0	28.0	0.0	1.0	3.0	5	vertical	1
8.735597	7.0	3.0	80.0	-49.729262	31777892.812998	975.0	0.0	1097.0	37.0	0.0	8.0	12.0	5	vertical	1
8.835612	7.0	3.0	80.0	-51.307317	30116205.649524	975.0	0.0	1025.0	137.0	0.0	31.0	4170.0	5	vertical	1
8.935789	6.687904	3.0	80.0	-50.176362	31453451.111829	944.570637	0.0	1083.0	96.0	0.0	10.0	25.0	5	vertical	1
9.036048	5.979896	3.0	80.0	-50.198809	39848501.487088	875.539836	0.0	1343.0	307.0	0.0	1.0	1.0	5	vertical	1
9.136166	6.511016	3.0	80.0	-51.346837	41835846.171066	927.324094	48.0	1407.0	548.0	2184.0	34.0	8322.0	5	vertical	1
9.236168	5.825301	2.998494	80.0	-50.493223	39349754.117036	860.009036	0.0	1328.0	286.0	0.0	12.0	4110.0	5	vertical	1
9.336424	6.027798	3.0	80.0	-50.79444	40604692.263882	880.281639	176.0	1367.0	303.0	1422.0	7.0	20.0	5	vertical	1
9.436428	6.902012	3.0	80.0	-50.91951	33289714.657946	965.446194	62.0	1143.0	196.0	1762.0	26.0	8243.0	5	vertical	1
9.536513	6.830632	3.0	80.0	-51.897893	36213561.439032	958.56564	60.0	1234.0	271.0	113.0	6.0	9.0	5	vertical	1
9.636768	6.88132	2.427669	80.0	-53.100421	42693554.397469	788.092697	0.0	1424.0	848.0	0.0	0.0	0.0	5	vertical	1
9.737254	6.159177	2.158416	80.0	-53.26428	39215947.748161	630.990099	0.0	1313.0	810.0	0.0	0.0	0.0	5	vertical	1
9.837257	6.334862	1.865443	80.0	-52.851682	38822948.160218	533.552752	0.0	1308.0	903.0	0.0	0.0	0.0	5	vertical	1
9.937453	5.329815	1.751099	80.0	-51.154793	29122525.085289	381.226913	0.0	1137.0	667.0	0.0	0.0	0.0	5	vertical	1
10.037456	2.307893	2.847358	80.0	-48.203523	26411043.323609	292.511416	0.0	1533.0	99.0	0.0	0.0	0.0	5	vertical	1
10.137916	2.007164	2.997612	80.0	-48.072836	26419902.74096	292.46806	0.0	1675.0	4.0	0.0	0.0	0.0	5	vertical	1
10.237940	2.004739	2.99763	80.0	-48.212678	26740531.354668	292.232227	0.0	1688.0	4.0	0.0	0.0	0.0	5	vertical	1
10.338695	2.235571	3.0	80.0	-48.241461	26705175.090907	315.085984	0.0	1698.0	249.0	0.0	0.0	0.0	5	vertical	1
10.438752	2.0	3.0	80.0	-48.203369	26320460.478232	292.0	0.0	1662.0	0.0	0.0	0.0	0.0	5	vertical	1
10.539664	2.002391	3.0	80.0	-48.14465	26270258.533024	292.23431	0.0	1673.0	4.0	0.0	0.0	0.0	5	vertical	1
10.639784	2.007207	2.997598	80.0	-48.272673	26351619.591917	292.470871	0.0	1665.0	8.0	0.0	0.0	0.0	5	vertical	1
10.740205	2.0	3.0	80.0	-48.602488	26634737.028446	292.0	0.0	1688.0	0.0	0.0	0.0	0.0	5	vertical	1
10.840249	2.414776	3.0	80.0	-49.087842	27228245.41333	332.648051	0.0	1719.0	222.0	0.0	0.0	0.0	5	vertical	1
10.940754	4.257009	3.0	80.0	-49.569315	33784232.129901	634.509346	0.0	1284.0	252.0	0.0	0.0	0.0	5	vertical	1
11.040757	5.620797	3.0	80.0	-50.641126	37983484.031334	840.527756	0.0	1279.0	150.0	2237.0	6.0	16.0	5	vertical	1
11.140801	6.762076	3.0	80.0	-52.657534	41114774.057999	951.802451	152.0	1387.0	372.0	1086.0	9.0	23.0	5	vertical	1
11.241711	4.589528	2.226891	80.0	-51.417582	35306348.490449	437.409179	0.0	1547.0	1080.0	0.0	0.0	0.0	5	vertical	1
11.341714	2.0	3.0	80.0	-49.525862	25733026.781972	292.0	0.0	1624.0	0.0	0.0	0.0	0.0	5	vertical	1
