time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	distance	antenna	LoS
7.078698	0.012177	2.993912	80.0	-44.304414	10361134.560537	97.797565	0.0	657.0	116.0	0.0	0.0	0.0	1	left	1
7.179208	0.0	3.0	80.0	-44.191358	10215469.583962	97.0	0.0	648.0	107.0	0.0	0.0	0.0	1	left	1
7.280330	0.006182	3.0	80.0	-44.200927	10138210.59509	97.605873	0.0	647.0	98.0	0.0	0.0	0.0	1	left	1
7.381966	0.515006	2.911164	80.0	-44.270108	12986169.77268	141.696279	0.0	833.0	481.0	0.0	0.0	0.0	1	left	1
7.483018	0.012346	2.993827	80.0	-44.174383	10161004.086026	97.808642	0.0	648.0	122.0	0.0	0.0	0.0	1	left	1
7.583250	0.413497	3.0	80.0	-44.322699	12883603.506819	137.522699	0.0	815.0	283.0	0.0	0.0	0.0	1	left	1
7.683491	0.249296	2.890141	80.0	-44.340845	11222866.44823	114.290141	0.0	710.0	238.0	0.0	0.0	0.0	1	left	1
7.785444	0.006098	3.0	80.0	-44.375	10195415.564613	97.597561	0.0	656.0	154.0	0.0	0.0	0.0	1	left	1
7.885597	0.006098	2.993902	80.0	-44.565549	10378382.186599	97.20122	0.0	656.0	170.0	0.0	0.0	0.0	1	left	1
7.985603	0.006163	3.0	80.0	-44.260401	10282881.638708	97.604006	0.0	649.0	147.0	0.0	0.0	0.0	1	left	1
8.086794	0.006144	3.0	80.0	-44.310292	10193794.55721	97.602151	0.0	651.0	267.0	0.0	0.0	0.0	1	left	1
8.187034	0.0	3.0	80.0	-44.139144	10337736.296923	97.0	0.0	654.0	178.0	0.0	0.0	0.0	1	left	1
8.288268	0.470588	2.907384	80.0	-44.516896	12505721.911072	137.097622	0.0	799.0	415.0	0.0	0.0	0.0	1	left	1
8.390334	0.012195	2.993902	80.0	-44.4375	10184238.321037	97.79878	0.0	656.0	98.0	0.0	0.0	0.0	1	left	1
8.490594	0.514218	2.868483	80.0	-44.588863	13337930.065275	138.844787	0.0	844.0	422.0	0.0	0.0	0.0	1	left	1
8.590601	0.012422	2.993789	80.0	-44.246894	10203659.624112	97.813665	0.0	644.0	165.0	0.0	0.0	0.0	1	left	1
8.691412	0.006221	3.0	80.0	-44.18507	10106565.277767	97.609642	0.0	643.0	107.0	0.0	0.0	0.0	1	left	1
8.791493	0.006192	2.993808	80.0	-44.410217	10227744.98247	97.204334	0.0	646.0	101.0	0.0	0.0	0.0	1	left	1
8.891885	0.006182	3.0	80.0	-44.304482	10211875.325784	97.605873	0.0	647.0	117.0	0.0	0.0	0.0	1	left	1
