time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	distance	antenna	LoS
7.208411	0.689962	2.368488	80.0	-46.409149	12465224.804003	123.56798	0.0	787.0	467.0	0.0	0.0	0.0	1	fan	1
7.309686	1.003636	2.83	80.0	-45.654545	17210317.268125	184.302727	0.0	1100.0	551.0	0.0	0.0	0.0	1	fan	1
7.411782	0.482803	2.75414	80.0	-45.949045	12183034.54093	128.333758	0.0	785.0	340.0	0.0	0.0	0.0	1	fan	1
7.511786	1.356614	2.122751	80.0	-46.869841	14973148.390276	156.693122	0.0	945.0	356.0	0.0	0.0	0.0	1	fan	1
7.612519	1.373662	2.004283	80.0	-47.224839	14691930.627157	154.566381	0.0	934.0	391.0	0.0	0.0	0.0	1	fan	1
7.712927	1.287762	1.99559	80.0	-47.248071	14312935.389606	148.131202	0.0	907.0	541.0	0.0	0.0	0.0	1	fan	1
7.813505	0.97497	2.230036	80.0	-46.802145	13217171.178971	135.891538	0.0	839.0	521.0	0.0	0.0	0.0	1	fan	1
7.915762	0.006042	2.993958	80.0	-45.699396	10258019.572516	97.199396	0.0	662.0	73.0	0.0	0.0	0.0	1	fan	1
8.016618	0.006135	3.0	80.0	-45.766871	10243542.677194	97.601227	0.0	652.0	105.0	0.0	0.0	0.0	1	fan	1
8.117976	0.507442	2.503383	80.0	-46.437077	11552758.561334	114.270636	0.0	739.0	264.0	0.0	0.0	0.0	1	fan	1
8.217980	0.0	3.0	80.0	-45.571429	10425743.665509	97.0	0.0	658.0	19.0	0.0	0.0	0.0	1	fan	1
8.318002	0.712632	2.995789	80.0	-45.614737	15049961.032094	166.56	0.0	950.0	232.0	0.0	0.0	0.0	1	fan	1
8.418516	1.017204	2.393548	80.0	-46.623656	14660924.704291	156.419355	0.0	930.0	468.0	0.0	0.0	0.0	1	fan	1
8.518521	1.157895	2.722323	80.0	-46.171506	17460587.399517	192.266788	0.0	1102.0	600.0	0.0	0.0	0.0	1	fan	1
8.618524	1.8679	2.997358	80.0	-45.632761	23989391.140014	278.935271	0.0	1514.0	832.0	0.0	0.0	0.0	1	fan	1
8.718596	1.726346	2.872635	80.0	-45.789665	21756429.390444	253.101164	0.0	1374.0	779.0	0.0	0.0	0.0	1	fan	1
8.819613	2.003419	2.003419	80.0	-47.339316	18352496.210468	195.553846	0.0	1170.0	642.0	0.0	0.0	0.0	1	fan	1
8.919616	1.459826	2.178122	80.0	-47.04453	16366789.846075	171.466602	0.0	1033.0	757.0	0.0	0.0	0.0	1	fan	1
9.019624	0.489301	2.516405	80.0	-46.256776	11106633.880513	108.245364	0.0	701.0	195.0	0.0	0.0	0.0	1	fan	1
9.120550	0.0	3.0	80.0	-46.331298	10283327.543287	97.0	0.0	655.0	0.0	0.0	0.0	0.0	1	fan	1
9.221768	0.012214	2.993893	80.0	-46.770992	10253841.965047	97.8	0.0	655.0	8.0	0.0	0.0	0.0	1	fan	1
9.323570	0.006042	3.0	80.0	-46.743202	10303888.058737	97.592145	0.0	662.0	4.0	0.0	0.0	0.0	1	fan	1
9.424624	0.0	3.0	80.0	-46.642857	10317389.091615	97.0	0.0	658.0	0.0	0.0	0.0	0.0	1	fan	1
9.524907	0.559242	2.907583	80.0	-46.920616	13335795.169194	145.798578	0.0	844.0	309.0	0.0	0.0	0.0	1	fan	1
9.626646	0.0	3.0	80.0	-46.753067	10154454.143981	97.0	0.0	652.0	141.0	0.0	0.0	0.0	1	fan	1
9.727733	0.98125	2.529167	80.0	-47.376042	15047261.967514	158.364583	0.0	960.0	512.0	0.0	0.0	0.0	1	fan	1
9.828228	1.004762	2.0	80.0	-48.471429	13244044.370267	130.309524	0.0	840.0	505.0	0.0	0.0	0.0	1	fan	1
9.929493	1.792857	1.880952	80.0	-47.860714	13277621.569032	136.466667	0.0	840.0	510.0	0.0	0.0	0.0	1	fan	1
10.030846	0.012658	2.987342	80.0	-46.859177	9880639.183928	97.417722	0.0	632.0	32.0	0.0	1.0	28.0	1	fan	1
10.130859	0.006061	3.0	80.0	-46.621212	10456416.5596	97.593939	0.0	660.0	29.0	0.0	0.0	0.0	1	fan	1
10.231243	0.006154	3.0	80.0	-46.673846	10260034.681067	97.603077	0.0	650.0	78.0	0.0	0.0	0.0	1	fan	1
10.331533	0.436006	2.563994	80.0	-47.62166	11233261.29559	111.388186	0.0	711.0	278.0	0.0	0.0	0.0	1	fan	1
10.433951	0.006042	3.0	80.0	-46.752266	10241953.602297	97.592145	0.0	662.0	71.0	0.0	0.0	0.0	1	fan	1
10.536254	0.012066	2.993967	80.0	-46.831071	10268988.4334	97.790347	0.0	663.0	93.0	0.0	0.0	0.0	1	fan	1
10.638691	0.0	3.0	80.0	-46.786466	10286342.72299	97.0	0.0	665.0	54.0	0.0	0.0	0.0	1	fan	1
10.738697	0.811682	2.930514	80.0	-46.787513	15733802.07722	172.028197	0.0	993.0	437.0	0.0	0.0	0.0	1	fan	1
10.838969	0.891304	2.84585	80.0	-47.145257	15991497.210733	174.328063	0.0	1012.0	634.0	0.0	0.0	0.0	1	fan	1
10.940083	0.914932	2.99638	80.0	-46.80362	17316113.217673	186.18552	0.0	1105.0	600.0	0.0	0.0	0.0	1	fan	1
11.041309	1.0	2.868561	80.0	-47.044405	17625558.244924	186.456483	0.0	1126.0	712.0	0.0	0.0	0.0	1	fan	1
11.141317	1.164646	2.50303	80.0	-47.508081	15684891.876492	167.365657	0.0	990.0	632.0	0.0	0.0	0.0	1	fan	1
11.241436	0.997191	2.785581	80.0	-47.322097	16902699.538134	180.663858	0.0	1068.0	595.0	0.0	0.0	0.0	1	fan	1
11.341533	0.702517	2.796339	80.0	-47.283753	13835371.68073	152.457666	0.0	874.0	423.0	0.0	0.0	0.0	1	fan	1
11.441728	0.0	3.0	80.0	-46.92604	10263547.137271	97.0	0.0	649.0	38.0	0.0	0.0	0.0	1	fan	1
11.542379	0.560256	2.601282	80.0	-47.5	12279060.462468	125.988462	0.0	780.0	365.0	0.0	0.0	0.0	1	fan	1
11.642989	0.019078	2.987281	80.0	-46.829889	9906355.655844	98.042925	0.0	629.0	8.0	2098.0	1.0	28.0	1	fan	1
11.744452	0.006279	3.0	80.0	-46.863422	9947966.018409	97.615385	0.0	637.0	58.0	775.0	1.0	19.0	1	fan	1
11.844782	0.006339	2.993661	80.0	-46.982567	9950938.220639	97.209192	0.0	631.0	72.0	0.0	1.0	21.0	1	fan	1
11.945413	0.006182	3.0	80.0	-46.791345	10187723.550452	97.605873	0.0	647.0	50.0	0.0	0.0	0.0	1	fan	1
12.045420	0.006154	3.0	80.0	-47.030769	10298603.876503	97.603077	0.0	650.0	44.0	0.0	0.0	0.0	1	fan	1
12.147830	0.0	3.0	80.0	-46.867176	10134448.506616	97.0	0.0	655.0	107.0	0.0	0.0	0.0	1	fan	1
12.247836	0.012214	2.993893	80.0	-46.839695	10378006.15606	97.8	0.0	655.0	32.0	0.0	0.0	0.0	1	fan	1
12.348078	0.617162	3.0	80.0	-47.070407	14368257.266564	157.481848	0.0	909.0	336.0	0.0	0.0	0.0	1	fan	1
12.448103	1.443323	2.889752	80.0	-47.040373	20403266.101388	227.30823	0.0	1288.0	839.0	0.0	0.0	0.0	1	fan	1
12.548587	1.066155	2.628955	80.0	-47.680729	16446871.747376	175.182167	0.0	1043.0	706.0	0.0	0.0	0.0	1	fan	1
12.648812	0.652632	2.563158	80.0	-47.726316	12015058.603658	125.615789	0.0	760.0	318.0	0.0	0.0	0.0	1	fan	1
12.750435	0.0	3.0	80.0	-47.071429	10259546.123957	97.0	0.0	658.0	28.0	0.0	0.0	0.0	1	fan	1
12.850442	1.521073	2.996935	80.0	-47.133333	20677984.432785	245.181609	0.0	1305.0	545.0	0.0	0.0	0.0	1	fan	1
12.950485	1.472995	2.686579	80.0	-47.476268	19353175.501631	213.909165	0.0	1222.0	939.0	0.0	0.0	0.0	1	fan	1
13.050555	1.002727	2.883636	80.0	-47.186364	17417665.34736	187.642727	0.0	1100.0	732.0	0.0	0.0	0.0	1	fan	1
13.151304	0.380153	2.619847	80.0	-46.949618	10301377.035575	98.259542	0.0	655.0	198.0	0.0	0.0	0.0	1	fan	1
13.252539	0.006107	3.0	80.0	-47.112977	10252039.326254	97.598473	0.0	655.0	24.0	0.0	0.0	0.0	1	fan	1
13.352921	0.458225	2.727154	80.0	-47.48564	12091238.312196	124.171018	0.0	766.0	255.0	0.0	0.0	0.0	1	fan	1
13.452939	1.721042	1.997104	80.0	-48.513514	16413301.362524	176.428571	0.0	1036.0	485.0	0.0	0.0	0.0	1	fan	1
13.554163	1.783333	2.0	80.0	-48.750926	16905888.593489	180.916667	0.0	1080.0	593.0	0.0	0.0	0.0	1	fan	1
13.655761	1.391032	2.0	80.0	-48.680918	14956543.139685	155.145985	0.0	959.0	496.0	0.0	0.0	0.0	1	fan	1
13.755966	1.376471	2.0	80.0	-48.694118	14784939.959085	154.470588	0.0	935.0	572.0	0.0	0.0	0.0	1	fan	1
13.856154	1.0	2.106101	80.0	-47.582228	11924784.029477	120.440318	0.0	754.0	356.0	0.0	0.0	0.0	1	fan	1
13.956964	0.648718	2.448718	80.0	-47.833333	12259850.430174	124.069231	0.0	780.0	339.0	0.0	0.0	0.0	1	fan	1
14.058012	0.985731	2.019025	80.0	-48.564804	13187323.052452	129.681332	0.0	841.0	473.0	0.0	0.0	0.0	1	fan	1
14.158894	0.012658	2.993671	80.0	-46.911392	9926844.935053	97.829114	0.0	632.0	48.0	3944.0	1.0	19.0	1	fan	1
14.260074	0.340996	3.0	80.0	-46.962963	12261977.628207	130.417625	0.0	783.0	194.0	0.0	0.0	0.0	1	fan	1
14.360549	1.010435	2.996522	80.0	-47.006087	18136381.997713	195.563478	0.0	1150.0	630.0	0.0	0.0	0.0	1	fan	1
14.460555	1.297428	3.0	80.0	-46.838424	19711053.775345	223.850482	0.0	1244.0	594.0	0.0	0.0	0.0	1	fan	1
14.560996	1.277147	2.931929	80.0	-47.165316	19467197.446141	215.280389	0.0	1234.0	835.0	0.0	0.0	0.0	1	fan	1
14.661004	1.166828	2.461688	80.0	-47.964113	16334752.698428	170.85354	0.0	1031.0	718.0	0.0	0.0	0.0	1	fan	1
14.761729	0.798578	2.475118	80.0	-47.838863	13276849.995668	141.143365	0.0	844.0	461.0	0.0	0.0	0.0	1	fan	1
14.863214	0.909457	2.695171	80.0	-47.495976	15519667.831582	166.18008	0.0	994.0	585.0	0.0	0.0	0.0	1	fan	1
14.963218	0.012177	2.993912	80.0	-47.027397	10409906.023998	97.797565	0.0	657.0	36.0	0.0	0.0	0.0	1	fan	1
15.065052	0.006154	3.0	80.0	-46.910769	10114035.617049	97.603077	0.0	650.0	49.0	0.0	0.0	0.0	1	fan	1
15.167403	0.006024	2.993976	80.0	-46.932229	10279557.126801	97.198795	0.0	664.0	53.0	0.0	0.0	0.0	1	fan	1
15.269366	0.006015	3.0	80.0	-47.033083	10334195.052395	97.589474	0.0	665.0	4.0	0.0	0.0	0.0	1	fan	1
15.369902	0.006079	3.0	80.0	-47.072948	10370560.994306	97.595745	0.0	658.0	78.0	0.0	0.0	0.0	1	fan	1
15.470945	0.0	3.0	80.0	-46.962006	10318432.233434	97.0	0.0	658.0	0.0	0.0	0.0	0.0	1	fan	1
15.571773	0.742038	2.860934	80.0	-47.16879	14802832.757499	160.680467	0.0	942.0	556.0	0.0	0.0	0.0	1	fan	1
15.671924	1.003571	2.879464	80.0	-47.169643	17720009.790464	187.397321	0.0	1120.0	723.0	0.0	0.0	0.0	1	fan	1
15.772335	1.00813	2.607724	80.0	-47.605691	15528314.959425	170.160569	0.0	984.0	523.0	0.0	0.0	0.0	1	fan	1
15.872393	0.779206	2.466121	80.0	-47.949766	13517017.829173	138.660047	0.0	856.0	422.0	0.0	0.0	0.0	1	fan	1
15.972434	1.280547	2.354839	80.0	-48.265885	16203012.179308	171.045943	0.0	1023.0	578.0	0.0	0.0	0.0	1	fan	1
16.072901	1.730282	2.030185	78.325219	-48.506329	16196868.160367	175.466407	0.0	1027.0	710.0	0.0	0.0	0.0	1	fan	1
16.173368	1.534959	2.734959	80.0	-47.643902	19399599.758388	225.552846	0.0	1230.0	734.0	0.0	0.0	0.0	1	fan	1
16.274292	1.316248	2.338491	80.0	-48.062863	16233666.699252	172.558027	0.0	1034.0	727.0	0.0	0.0	0.0	1	fan	1
16.376506	0.14963	2.856296	80.0	-47.302222	10463909.067186	102.322963	0.0	675.0	130.0	0.0	0.0	0.0	1	fan	1
16.478162	0.006042	3.0	80.0	-47.18429	10318731.643458	97.592145	0.0	662.0	4.0	0.0	0.0	0.0	1	fan	1
16.579575	0.006126	2.993874	80.0	-47.026034	10202770.473725	97.202144	0.0	653.0	70.0	0.0	0.0	0.0	1	fan	1
16.679917	0.564311	2.914253	80.0	-47.100811	13627262.010476	146.728853	0.0	863.0	405.0	0.0	0.0	0.0	1	fan	1
16.780259	0.012365	2.993818	80.0	-47.153014	10216922.800134	97.809892	0.0	647.0	84.0	0.0	0.0	0.0	1	fan	1
16.882298	0.006042	3.0	80.0	-47.070997	10279965.383778	97.592145	0.0	662.0	69.0	0.0	0.0	0.0	1	fan	1
16.983625	0.22446	2.77554	80.0	-47.558273	10868121.218947	104.407194	0.0	695.0	152.0	0.0	0.0	0.0	1	fan	1
17.083632	0.006033	3.0	80.0	-46.962293	10504512.330239	97.591252	0.0	663.0	26.0	0.0	0.0	0.0	1	fan	1
17.185913	0.012327	2.993837	80.0	-47.016949	10054392.659301	97.807396	0.0	649.0	55.0	0.0	0.0	0.0	1	fan	1
17.286582	0.006135	3.0	80.0	-46.941718	10262402.792396	97.601227	0.0	652.0	85.0	0.0	0.0	0.0	1	fan	1
17.387982	0.0	3.0	80.0	-47.056231	10282129.2649	97.0	0.0	658.0	29.0	0.0	0.0	0.0	1	fan	1
17.489522	0.622896	2.916947	80.0	-47.249158	13903840.114131	152.645342	0.0	891.0	371.0	0.0	0.0	0.0	1	fan	1
17.590246	0.827778	2.518889	80.0	-47.691111	14157696.802114	146.703333	0.0	900.0	490.0	0.0	0.0	0.0	1	fan	1
17.690251	0.791343	2.641509	80.0	-47.621532	14275587.634	151.249723	0.0	901.0	515.0	0.0	0.0	0.0	1	fan	1
17.790491	0.778338	2.297229	80.0	-48.289673	12551075.949524	126.770781	0.0	794.0	380.0	0.0	0.0	0.0	1	fan	1
17.891722	0.975223	2.643211	80.0	-47.638256	15792903.245767	169.249752	0.0	1009.0	704.0	0.0	0.0	0.0	1	fan	1
17.991941	0.012085	2.993958	80.0	-47.02568	10466628.454387	97.791541	0.0	662.0	44.0	0.0	0.0	0.0	1	fan	1
18.092591	0.006221	3.0	80.0	-46.897356	10122693.123525	97.609642	0.0	643.0	107.0	0.0	0.0	0.0	1	fan	1
18.194086	0.006098	2.993902	80.0	-47.025915	10241441.380514	97.20122	0.0	656.0	63.0	0.0	0.0	0.0	1	fan	1
18.295418	0.194118	2.811765	80.0	-47.283824	10633006.774704	103.788235	0.0	680.0	287.0	0.0	0.0	0.0	1	fan	1
18.395932	0.466102	2.995157	80.0	-47.056901	13021286.189876	142.363196	0.0	826.0	267.0	0.0	0.0	0.0	1	fan	1
18.495983	1.565302	2.086745	80.0	-48.587719	16249493.85623	172.12963	0.0	1026.0	485.0	0.0	0.0	0.0	1	fan	1
18.596868	1.285092	2.0	80.0	-48.668118	14433286.50681	148.531012	0.0	919.0	625.0	0.0	0.0	0.0	1	fan	1
18.697666	1.450205	1.555252	80.0	-48.140518	11522548.875241	115.497954	0.0	733.0	441.0	0.0	0.0	0.0	1	fan	1
18.798448	1.542234	1.463215	80.0	-47.780654	11539991.583364	112.46594	0.0	734.0	446.0	0.0	0.0	0.0	1	fan	1
18.900410	0.043939	2.962121	80.0	-47.342424	10256737.476568	98.843939	0.0	660.0	104.0	0.0	0.0	0.0	1	fan	1
19.000715	0.320413	3.0	80.0	-47.093023	12226609.747772	128.400517	0.0	774.0	239.0	0.0	0.0	0.0	1	fan	1
19.101587	1.555882	3.0	80.0	-47.143382	21363242.242577	248.923529	0.0	1360.0	815.0	0.0	0.0	0.0	1	fan	1
19.201595	1.428289	2.153314	80.0	-48.488625	16018047.411252	167.804154	0.0	1011.0	691.0	0.0	0.0	0.0	1	fan	1
19.302903	1.300876	2.292113	80.0	-48.208374	16062519.115613	168.544304	0.0	1027.0	704.0	0.0	0.0	0.0	1	fan	1
19.403383	1.682616	2.527911	80.0	-47.863636	19774085.94071	219.711324	0.0	1254.0	878.0	0.0	0.0	0.0	1	fan	1
19.505166	1.234968	2.578168	80.0	-47.789084	16828835.773464	182.972248	0.0	1081.0	710.0	0.0	0.0	0.0	1	fan	1
19.605283	0.512262	2.487738	80.0	-48.03406	11616391.434372	113.904632	0.0	734.0	367.0	0.0	0.0	0.0	1	fan	1
19.705344	0.012085	2.993958	80.0	-47.152568	10483172.393397	97.791541	0.0	662.0	36.0	0.0	0.0	0.0	1	fan	1
19.805345	0.006202	3.0	80.0	-46.978295	10220196.09219	97.607752	0.0	645.0	23.0	0.0	0.0	0.0	1	fan	1
19.905476	1.083527	2.132251	80.0	-48.583527	13640658.921209	139.661253	0.0	862.0	324.0	0.0	0.0	0.0	1	fan	1
20.006747	0.926659	2.433062	80.0	-47.940629	13440406.894965	145.126892	0.0	859.0	444.0	0.0	0.0	0.0	1	fan	1
20.108180	0.665169	2.829213	80.0	-47.408989	13902704.37561	151.085393	0.0	890.0	496.0	0.0	0.0	0.0	1	fan	1
20.209664	0.0	3.0	80.0	-47.174772	10273596.405542	97.0	0.0	658.0	0.0	0.0	0.0	0.0	1	fan	1
20.310031	0.811262	2.789364	80.0	-47.402503	15139607.242247	162.812304	0.0	959.0	521.0	0.0	0.0	0.0	1	fan	1
20.410037	0.757921	2.297845	80.0	-48.26616	12501150.061528	124.637516	0.0	789.0	366.0	0.0	0.0	0.0	1	fan	1
20.510044	0.799145	2.720085	80.0	-47.488248	14829435.335624	157.121795	0.0	936.0	534.0	0.0	0.0	0.0	1	fan	1
20.610052	0.809917	2.842975	80.0	-47.451446	15336608.65224	166.028926	0.0	968.0	606.0	0.0	0.0	0.0	1	fan	1
20.711277	0.775061	2.356968	80.0	-48.149144	12804528.800923	130.997555	0.0	818.0	423.0	0.0	0.0	0.0	1	fan	1
20.812228	1.0	2.684261	80.0	-47.6238	16354934.781635	174.476967	0.0	1042.0	627.0	0.0	0.0	0.0	1	fan	1
20.912787	0.552318	2.45298	80.0	-48.092715	11896454.863571	115.570861	0.0	755.0	354.0	0.0	0.0	0.0	1	fan	1
