time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	distance	antenna	LoS
7.128696	1.607084	2.633443	80.0	-44.389621	19099297.287383	219.543657	0.0	1214.0	662.0	0.0	0.0	0.0	0	horizontal	1
7.228701	1.868587	2.009001	80.0	-43.786679	17603465.975601	186.924392	0.0	1111.0	662.0	0.0	0.0	0.0	0	horizontal	1
7.330136	1.860465	1.432285	80.0	-45.090287	11418799.412021	120.709986	0.0	731.0	482.0	0.0	0.0	0.0	0	horizontal	1
7.430403	0.83543	2.785115	80.0	-44.822851	15075669.921148	162.898323	0.0	954.0	575.0	0.0	0.0	0.0	0	horizontal	1
7.530830	0.636129	2.369032	80.0	-44.267097	12227445.104415	118.327742	0.0	775.0	398.0	0.0	0.0	0.0	0	horizontal	1
7.631466	0.004666	2.995334	80.0	-45.066874	10124100.842741	97.153966	0.0	643.0	4.0	0.0	0.0	0.0	0	horizontal	1
7.733643	0.012012	2.993994	80.0	-44.806306	10328240.778615	97.786787	0.0	666.0	5.0	0.0	0.0	0.0	0	horizontal	1
7.835456	0.006042	3.0	80.0	-44.862538	10302775.825669	97.592145	0.0	662.0	30.0	0.0	0.0	0.0	0	horizontal	1
7.936703	0.0	3.0	80.0	-45.214612	10281937.764974	97.0	0.0	657.0	46.0	0.0	0.0	0.0	0	horizontal	1
8.038610	0.006042	3.0	80.0	-45.110272	10293314.662106	97.592145	0.0	662.0	51.0	0.0	0.0	0.0	0	horizontal	1
8.140714	0.012085	2.993958	80.0	-45.228097	10273530.265451	97.791541	0.0	662.0	75.0	0.0	0.0	0.0	0	horizontal	1
8.242299	0.0	3.0	80.0	-45.295626	10341219.407782	97.0	0.0	663.0	84.0	0.0	0.0	0.0	0	horizontal	1
8.343138	0.006116	3.0	80.0	-45.334862	10276599.802121	97.599388	0.0	654.0	30.0	0.0	0.0	0.0	0	horizontal	1
8.443359	0.395619	3.0	79.072165	-45.302835	12268796.023064	133.420103	0.0	776.0	163.0	0.0	0.0	0.0	0	horizontal	1
8.543624	1.223028	2.653672	80.0	-44.980054	17431122.387917	188.37806	0.0	1103.0	763.0	0.0	0.0	0.0	0	horizontal	1
8.645349	1.277946	2.198389	80.0	-44.406848	15466579.807329	159.997986	0.0	993.0	752.0	0.0	0.0	0.0	0	horizontal	1
8.746137	0.659117	2.767837	80.0	-45.293318	13881143.138514	146.502831	0.0	883.0	502.0	0.0	0.0	0.0	0	horizontal	1
8.847304	0.414127	2.591413	80.0	-45.067867	11308395.243336	111.026316	0.0	722.0	221.0	0.0	0.0	0.0	0	horizontal	1
8.947880	0.006135	3.0	80.0	-45.613497	10271826.617408	97.601227	0.0	652.0	60.0	0.0	0.0	0.0	0	horizontal	1
9.048233	0.24602	2.759768	80.0	-45.412446	10910700.653054	105.303907	0.0	691.0	105.0	0.0	0.0	0.0	0	horizontal	1
9.148233	0.113569	2.89233	80.0	-45.572271	10742820.162492	101.131268	0.0	678.0	149.0	0.0	0.0	0.0	0	horizontal	1
9.248775	0.270014	2.994573	80.0	-45.556309	11615001.998773	123.108548	0.0	737.0	70.0	0.0	0.0	0.0	0	horizontal	1
9.348910	1.260833	2.825833	80.0	-45.481667	18987908.156504	208.876667	0.0	1200.0	731.0	0.0	0.0	0.0	0	horizontal	1
9.449268	1.582278	2.883098	80.0	-45.523455	21204014.233062	240.144453	0.0	1343.0	926.0	0.0	0.0	0.0	0	horizontal	1
9.550084	1.073718	2.403846	80.0	-45.04594	14710996.357295	158.362179	0.0	936.0	640.0	0.0	0.0	0.0	0	horizontal	1
9.652495	0.723913	2.753261	80.0	-45.41087	14233658.65449	151.905435	0.0	920.0	541.0	0.0	0.0	0.0	0	horizontal	1
9.754922	0.012012	2.993994	80.0	-45.641141	10302995.067263	97.786787	0.0	666.0	8.0	0.0	0.0	0.0	0	horizontal	1
9.856788	0.006033	3.0	80.0	-45.94721	10312931.006183	97.591252	0.0	663.0	32.0	0.0	0.0	0.0	0	horizontal	1
9.957811	0.012195	2.993902	80.0	-45.730183	10289219.61203	97.79878	0.0	656.0	61.0	0.0	0.0	0.0	0	horizontal	1
10.059019	0.0	3.0	80.0	-45.756839	10301655.166665	97.0	0.0	658.0	3.0	0.0	0.0	0.0	0	horizontal	1
10.159605	0.006079	3.0	80.0	-45.740122	10365371.5735	97.595745	0.0	658.0	60.0	0.0	0.0	0.0	0	horizontal	1
