time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	distance	antenna	LoS
6.980590	2.0	3.0	80.0	-33.957792	24398179.098723	292.0	0.0	1540.0	600.0	1434.0	1.0	17.0	0	left	1
7.080914	2.007581	2.997473	80.0	-33.979785	25003378.064395	292.495262	0.0	1583.0	576.0	0.0	0.0	0.0	0	left	1
7.181152	2.094221	3.0	80.0	-34.050251	25167208.50106	301.233668	0.0	1592.0	603.0	0.0	0.0	0.0	0	left	1
7.281802	2.002484	3.0	80.0	-34.021118	25346809.301766	292.243478	0.0	1610.0	562.0	0.0	0.0	0.0	0	left	1
7.381996	2.002567	3.0	80.0	-34.138639	24641028.930034	292.251605	0.0	1558.0	453.0	0.0	0.0	0.0	0	left	1
7.482741	2.004887	2.997557	80.0	-34.16066	25747514.38992	292.239462	0.0	1637.0	306.0	0.0	0.0	0.0	0	left	1
7.582986	2.002478	3.0	80.0	-34.143742	25512834.166538	292.242875	0.0	1614.0	425.0	0.0	0.0	0.0	0	left	1
7.683263	2.002509	3.0	80.0	-34.033877	25188749.632282	292.245922	0.0	1594.0	473.0	0.0	0.0	0.0	0	left	1
7.784092	1.877033	3.0	80.0	-34.167209	24154798.364774	280.072219	0.0	1537.0	640.0	0.0	0.0	0.0	0	left	1
7.884129	1.855237	2.997332	80.0	-34.250834	23744033.175896	277.70447	0.0	1499.0	642.0	0.0	0.0	0.0	0	left	1
7.984552	1.856954	3.0	80.0	-34.230464	23826616.984149	278.124503	0.0	1510.0	516.0	0.0	0.0	0.0	0	left	1
8.084564	1.963391	3.0	80.0	-34.183687	24669633.124338	288.451509	0.0	1557.0	545.0	0.0	0.0	0.0	0	left	1
8.184620	2.0	3.0	80.0	-34.146893	25228395.995651	292.0	0.0	1593.0	470.0	0.0	0.0	0.0	0	left	1
8.284964	2.007472	2.997509	80.0	-34.206102	25361568.702112	292.488169	0.0	1606.0	292.0	0.0	0.0	0.0	0	left	1
8.385275	2.002514	3.0	80.0	-34.287869	25132704.62693	292.246386	0.0	1591.0	373.0	0.0	0.0	0.0	0	left	1
8.485301	2.0	3.0	80.0	-34.193125	25346828.375796	292.0	0.0	1600.0	368.0	0.0	0.0	0.0	0	left	1
8.585600	2.002498	3.0	80.0	-34.196752	25294243.165643	292.244847	0.0	1601.0	340.0	0.0	0.0	0.0	0	left	1
8.686421	2.110246	2.997603	80.0	-34.310965	26230894.197339	302.569203	0.0	1669.0	509.0	0.0	0.0	0.0	0	left	1
8.786649	2.0	3.0	80.0	-34.358407	25011412.71019	292.0	0.0	1582.0	637.0	0.0	0.0	0.0	0	left	1
8.886656	2.001254	3.0	80.0	-34.362382	25272514.967555	292.122884	0.0	1595.0	664.0	0.0	0.0	0.0	0	left	1
8.986774	2.0	3.0	80.0	-34.217281	24912536.349236	292.0	0.0	1574.0	524.0	0.0	0.0	0.0	0	left	1
9.087174	2.11351	2.997532	80.0	-34.426897	25583709.446835	302.882171	0.0	1621.0	545.0	2558.0	1.0	20.0	0	left	1
9.187540	2.11271	3.0	80.0	-34.320743	26334164.373853	303.045564	0.0	1668.0	531.0	0.0	0.0	0.0	0	left	1
9.287541	2.002459	3.0	80.0	-34.312846	25780791.334684	292.240934	0.0	1627.0	334.0	0.0	0.0	0.0	0	left	1
9.388377	2.002581	3.0	80.0	-34.256774	24358443.499471	292.252903	0.0	1550.0	554.0	0.0	0.0	0.0	0	left	1
9.489530	2.004994	2.997503	80.0	-34.471286	25095589.726695	292.244694	0.0	1602.0	580.0	0.0	0.0	0.0	0	left	1
9.589845	2.164928	3.0	80.0	-34.511082	24231619.718148	308.162973	0.0	1534.0	574.0	0.0	0.0	0.0	0	left	1
9.689918	2.28543	2.604636	80.0	-35.253642	23909296.721149	275.437086	0.0	1510.0	830.0	0.0	0.0	0.0	0	left	1
9.790316	2.24	2.653793	80.0	-34.61931	22885110.590092	266.757241	0.0	1450.0	714.0	2492.0	1.0	16.0	0	left	1
9.890484	2.0	3.0	80.0	-34.327553	24631568.909548	292.0	0.0	1557.0	482.0	0.0	0.0	0.0	0	left	1
9.990948	2.007421	2.997526	80.0	-34.453927	25504134.652728	292.484848	0.0	1617.0	600.0	0.0	0.0	0.0	0	left	1
10.091632	2.002594	3.0	80.0	-34.575227	24269592.722519	292.254215	0.0	1542.0	556.0	0.0	0.0	0.0	0	left	1
10.191638	2.0	3.0	80.0	-34.472598	24576431.58429	292.0	0.0	1551.0	555.0	0.0	0.0	0.0	0	left	1
10.291814	2.002511	3.0	80.0	-34.421846	25197738.7775	292.246077	0.0	1593.0	619.0	0.0	0.0	0.0	0	left	1
10.391879	2.007638	2.997454	80.0	-34.381286	24878097.510079	292.499045	0.0	1571.0	707.0	0.0	0.0	0.0	0	left	1
10.492485	2.0	3.0	80.0	-34.41292	24870382.394549	292.0	0.0	1579.0	407.0	0.0	0.0	0.0	0	left	1
10.592532	2.002546	3.0	80.0	-34.572884	24882382.052009	292.249523	0.0	1571.0	591.0	0.0	0.0	0.0	0	left	1
10.692539	2.002582	3.0	80.0	-34.567463	24544862.002697	292.253066	0.0	1549.0	427.0	0.0	0.0	0.0	0	left	1
10.793191	1.337461	2.996904	80.0	-34.713622	20339638.367947	227.334365	0.0	1292.0	534.0	0.0	0.0	0.0	0	left	1
10.893912	1.780868	3.0	80.0	-34.478969	23190058.574723	270.746947	0.0	1474.0	494.0	0.0	0.0	0.0	0	left	1
10.994068	2.0	3.0	80.0	-34.492689	24886812.725795	292.0	0.0	1573.0	549.0	3963.0	1.0	18.0	0	left	1
11.094387	2.00254	3.0	80.0	-34.391111	24878313.399292	292.248889	0.0	1575.0	573.0	0.0	0.0	0.0	0	left	1
11.195020	2.007772	2.997409	80.0	-34.431995	24313816.342414	292.507772	0.0	1544.0	414.0	0.0	0.0	0.0	0	left	1
11.295066	2.0	3.0	80.0	-34.577332	25294307.418458	292.0	0.0	1597.0	388.0	0.0	0.0	0.0	0	left	1
11.395488	2.002484	3.0	80.0	-34.472671	25404787.641983	292.243478	0.0	1610.0	431.0	0.0	0.0	0.0	0	left	1
11.495492	2.002559	3.0	80.0	-34.647473	24767083.249895	292.2508	0.0	1563.0	526.0	0.0	0.0	0.0	0	left	1
11.595493	2.005105	2.997447	80.0	-34.498405	24831040.044051	292.25016	0.0	1567.0	479.0	0.0	0.0	0.0	0	left	1
11.696516	2.002558	3.0	80.0	-34.553708	24533084.984706	292.250639	0.0	1564.0	381.0	0.0	0.0	0.0	0	left	1
11.796945	2.002527	3.0	80.0	-34.569804	24977406.675588	292.247631	0.0	1583.0	464.0	0.0	0.0	0.0	0	left	1
11.897338	2.0	3.0	80.0	-34.457036	25348093.171989	292.0	0.0	1606.0	428.0	1917.0	1.0	24.0	0	left	1
11.998266	2.007389	2.997537	80.0	-34.532635	25496544.583542	292.482759	0.0	1624.0	601.0	0.0	0.0	0.0	0	left	1
12.098282	2.002477	3.0	80.0	-34.71517	25586328.106296	292.242724	0.0	1615.0	377.0	2047.0	1.0	22.0	0	left	1
12.198309	2.0	3.0	80.0	-34.802469	25662785.334257	292.0	0.0	1620.0	548.0	0.0	0.0	0.0	0	left	1
12.298424	2.002438	3.0	80.0	-34.659354	25972540.145195	292.238879	0.0	1641.0	607.0	0.0	0.0	0.0	0	left	1
12.398437	2.007752	2.997416	80.0	-34.631783	24526604.493605	292.50646	0.0	1548.0	592.0	0.0	0.0	0.0	0	left	1
12.498708	2.00253	3.0	80.0	-34.817204	24984797.633651	292.247944	0.0	1581.0	473.0	0.0	0.0	0.0	0	left	1
12.600832	2.0	3.0	80.0	-34.538051	23244295.370124	292.0	0.0	1498.0	579.0	0.0	0.0	0.0	0	left	1
