time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	distance	antenna	LoS
7.262496	0.252525	2.753247	80.0	-27.828283	10803986.126112	105.708514	0.0	693.0	274.0	0.0	0.0	0.0	0	vertical	1
7.363445	0.006135	3.0	80.0	-27.645706	10234020.316598	97.601227	0.0	652.0	88.0	0.0	1.0	1.0	0	vertical	1
7.463844	0.006079	2.993921	80.0	-27.829787	10384716.117995	97.200608	0.0	658.0	121.0	0.0	0.0	0.0	0	vertical	1
7.565829	0.006163	3.0	80.0	-27.899846	10083441.141225	97.604006	0.0	649.0	53.0	0.0	0.0	0.0	0	vertical	1
7.666188	0.006107	3.0	80.0	-27.812214	10341387.57213	97.598473	0.0	655.0	123.0	0.0	0.0	0.0	0	vertical	1
7.767103	0.0	3.0	80.0	-27.823718	9797758.4464	97.0	0.0	624.0	97.0	2284.0	0.0	0.0	0	vertical	1
7.868175	0.012195	2.993902	80.0	-27.846037	10284280.432658	97.79878	0.0	656.0	130.0	0.0	0.0	0.0	0	vertical	1
7.969785	0.006079	3.0	80.0	-27.729483	10260895.386063	97.595745	0.0	658.0	180.0	0.0	0.0	0.0	0	vertical	1
8.069876	0.0	3.0	80.0	-28.106452	9815048.07989	97.0	0.0	620.0	143.0	1594.0	1.0	28.0	0	vertical	1
8.170427	0.492701	2.909976	80.0	-27.863747	12952697.038983	139.43309	0.0	822.0	457.0	0.0	0.0	0.0	0	vertical	1
8.270893	0.685996	2.914661	80.0	-28.135667	14415037.093614	158.536105	0.0	914.0	494.0	0.0	0.0	0.0	0	vertical	1
8.371495	0.018433	2.987711	80.0	-28.03533	10253772.377394	98.00768	0.0	651.0	130.0	0.0	0.0	0.0	0	vertical	1
8.471744	0.393094	2.803453	80.0	-28.289509	11901289.145725	122.747676	0.0	753.0	358.0	0.0	0.0	0.0	0	vertical	1
8.573626	0.012195	2.993902	80.0	-28.015244	10202639.886841	97.79878	0.0	656.0	169.0	0.0	0.0	0.0	0	vertical	1
8.673876	0.006182	3.0	80.0	-28.304482	10226292.063589	97.605873	0.0	647.0	176.0	0.0	0.0	0.0	0	vertical	1
