time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	distance	antenna	LoS
8.068126	0.006135	3.0	80.0	-58.961656	10136113.118153	97.601227	0.0	652.0	266.0	0.0	0.0	0.0	2	vertical	0
8.168289	0.012346	2.993827	80.0	-58.645062	10251080.078349	97.808642	0.0	648.0	111.0	0.0	0.0	0.0	2	vertical	0
8.268294	0.0	3.0	80.0	-59.14792	10282863.440186	97.0	0.0	649.0	129.0	0.0	0.0	0.0	2	vertical	0
8.369792	0.006154	3.0	80.0	-59.307692	10147427.296318	97.603077	0.0	650.0	108.0	0.0	0.0	0.0	2	vertical	0
8.470634	0.006126	3.0	80.0	-59.194487	10260505.728908	97.600306	0.0	653.0	107.0	0.0	0.0	0.0	2	vertical	0
8.572105	0.006173	2.993827	80.0	-59.549383	10118907.271782	97.203704	0.0	648.0	208.0	0.0	0.0	0.0	2	vertical	0
8.674143	0.006088	3.0	80.0	-59.38204	10202374.495557	97.596651	0.0	657.0	216.0	0.0	0.0	0.0	2	vertical	0
8.775565	0.006088	3.0	80.0	-59.357686	10264137.078702	97.596651	0.0	657.0	294.0	0.0	0.0	0.0	2	vertical	0
8.878122	0.006088	2.993912	80.0	-59.589041	10150939.163322	97.200913	0.0	657.0	174.0	0.0	0.0	0.0	2	vertical	0
8.980227	0.006061	3.0	80.0	-59.234848	10242180.435339	97.593939	0.0	660.0	162.0	0.0	0.0	0.0	2	vertical	0
9.081300	0.00607	3.0	80.0	-59.446131	10331033.913694	97.594841	0.0	659.0	145.0	0.0	0.0	0.0	2	vertical	0
9.183239	0.0	3.0	80.0	-59.367534	10150176.40677	97.0	0.0	653.0	161.0	0.0	0.0	0.0	2	vertical	0
9.284140	0.01227	2.993865	80.0	-59.409509	10238912.416197	97.803681	0.0	652.0	79.0	0.0	0.0	0.0	2	vertical	0
9.386461	0.006042	3.0	80.0	-59.623867	10251674.606526	97.592145	0.0	662.0	79.0	0.0	0.0	0.0	2	vertical	0
9.487356	0.0	3.0	80.0	-59.357798	10270652.395258	97.0	0.0	654.0	141.0	0.0	0.0	0.0	2	vertical	0
