time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	distance	antenna	LoS
7.194734	2.007566	2.997478	80.0	-54.790038	24975406.789329	292.494325	0.0	1586.0	732.0	0.0	0.0	0.0	2	vertical	0
7.294907	1.892086	3.0	80.0	-54.628515	24186149.459584	281.53499	0.0	1529.0	747.0	0.0	0.0	0.0	2	vertical	0
7.395653	2.0	3.0	80.0	-54.920854	25039739.62746	292.0	0.0	1592.0	685.0	0.0	0.0	0.0	2	vertical	0
7.495666	2.002543	3.0	80.0	-54.853147	24922032.285501	292.249205	0.0	1573.0	793.0	0.0	0.0	0.0	2	vertical	0
7.596044	1.901876	2.760462	80.0	-55.504329	21879396.487207	257.564214	0.0	1386.0	854.0	0.0	0.0	0.0	2	vertical	0
7.696143	2.093633	2.945693	80.0	-54.97628	25360046.453198	295.905743	0.0	1602.0	610.0	0.0	0.0	0.0	2	vertical	0
7.796773	2.0	3.0	80.0	-54.857685	24895804.644136	292.0	0.0	1581.0	677.0	0.0	0.0	0.0	2	vertical	0
7.896774	2.0076	2.997467	80.0	-55.012033	25020872.626797	292.496517	0.0	1579.0	642.0	0.0	0.0	0.0	2	vertical	0
7.997044	2.00262	3.0	80.0	-54.922069	24133418.178353	292.256713	0.0	1527.0	525.0	0.0	0.0	0.0	2	vertical	0
8.097044	2.002533	3.0	80.0	-55.217859	25020919.11549	292.248258	0.0	1579.0	570.0	0.0	0.0	0.0	2	vertical	0
8.197364	1.750191	2.680672	80.0	-55.86631	20675591.49104	232.613445	0.0	1309.0	752.0	0.0	0.0	0.0	2	vertical	0
8.299145	1.486154	1.995897	80.0	-56.873846	15178682.083495	161.066667	0.0	975.0	531.0	0.0	0.0	0.0	2	vertical	0
8.399456	1.0	2.004756	80.0	-56.634958	13284273.569162	130.309156	0.0	841.0	444.0	0.0	0.0	0.0	2	vertical	0
8.500407	1.659816	2.971651	80.0	-55.233168	22148350.36196	257.074415	0.0	1411.0	566.0	0.0	0.0	0.0	2	vertical	0
8.600410	2.0	3.0	80.0	-55.326621	25178486.911456	292.0	0.0	1589.0	754.0	0.0	0.0	0.0	2	vertical	0
8.700551	2.007605	2.997465	80.0	-55.006971	24970239.500992	292.496831	0.0	1578.0	477.0	0.0	0.0	0.0	2	vertical	0
8.800744	1.895232	3.0	80.0	-55.415715	23549358.148724	281.840161	0.0	1489.0	671.0	0.0	0.0	0.0	2	vertical	0
8.901001	1.0	3.0	80.0	-55.223077	18492101.997296	195.0	0.0	1170.0	407.0	0.0	0.0	0.0	2	vertical	0
9.001463	1.828781	3.0	80.0	-55.357095	23675211.290505	275.394404	0.0	1501.0	691.0	0.0	0.0	0.0	2	vertical	0
9.101852	1.814644	2.997361	80.0	-55.286939	23928943.172809	273.76715	0.0	1516.0	498.0	0.0	0.0	0.0	2	vertical	0
9.201855	1.729488	2.467912	80.0	-56.268887	19505675.115649	213.624695	0.0	1231.0	558.0	0.0	0.0	0.0	2	vertical	0
9.302163	2.002541	3.0	80.0	-55.114994	24864752.411511	292.249047	0.0	1574.0	684.0	0.0	0.0	0.0	2	vertical	0
9.402492	2.007653	2.997449	80.0	-55.26148	24765305.432577	292.5	0.0	1568.0	651.0	0.0	0.0	0.0	2	vertical	0
9.503335	2.0	3.0	80.0	-55.569604	24607859.125042	292.0	0.0	1566.0	653.0	0.0	0.0	0.0	2	vertical	0
9.603462	2.007692	2.997436	80.0	-55.358974	24688897.444694	292.502564	0.0	1560.0	740.0	0.0	0.0	0.0	2	vertical	0
9.703466	1.856164	2.638508	80.0	-56.274734	20820978.19599	242.493151	0.0	1314.0	775.0	0.0	0.0	0.0	2	vertical	0
9.803764	2.0	2.27042	80.0	-56.408406	19922311.710327	221.230769	0.0	1261.0	489.0	0.0	0.0	0.0	2	vertical	0
9.904348	2.007542	2.997486	80.0	-55.194846	25064953.558272	292.492772	0.0	1591.0	544.0	0.0	0.0	0.0	2	vertical	0
10.004727	2.002581	3.0	80.0	-55.433548	24469280.985939	292.252903	0.0	1550.0	605.0	0.0	0.0	0.0	2	vertical	0
10.104742	2.005102	2.997449	80.0	-55.22449	24842974.921531	292.25	0.0	1568.0	671.0	0.0	0.0	0.0	2	vertical	0
10.205902	2.002581	3.0	80.0	-55.600645	24280518.787879	292.252903	0.0	1550.0	672.0	0.0	0.0	0.0	2	vertical	0
10.306270	2.002571	3.0	80.0	-55.453085	24566406.476628	292.251928	0.0	1556.0	636.0	0.0	0.0	0.0	2	vertical	0
10.406465	2.0	3.0	80.0	-55.172918	24877727.631645	292.0	0.0	1573.0	562.0	0.0	0.0	0.0	2	vertical	0
10.506958	2.007717	2.997428	80.0	-55.373633	24520304.080047	292.50418	0.0	1555.0	593.0	0.0	0.0	0.0	2	vertical	0
